"* Required Fields","* Camps obligatoris"
"Address","Adreça"
"Address Information","Informació de l'adreça"
"Back","Torna"
"City","Ciutat"
"Close","Tanca"
"Company","Empresa"
"Confirm Password","Confirmeu la contrasenya"
"Country","País"
"Create an Account","Crear un compte"
"Email Address","Adreça electrònica"
"Forgot Your Password?","Heu oblidat la contrasenya?"
"Forgot your password?","Heu oblidat la constrasenya?"
"Login","Iniciar Sessió"
"New Customers","Nous clients"
"Password","Contrasenya"
"Persistence Lifetime (seconds)","Durada de la persistència (segons)"
"Personal Information","Informació personal"
"Registered Customers","Clients registrats"
"Save in address book","Desar a la llibreta d'adreces"
"Sign Up for Newsletter","Inscriure's al butlletí"
"State/Province","Província"
"Street Address","Carrer de l'adreça"
"Submit","Enviar"
"VAT Number","Número d'IVA"
"What's this?","Què és això?"
"Zip/Postal Code","Codi Postal"
