"Address","Adreça"
"Allowed Credit Card Types","Tipus de targeta de crèdit permesos"
"City","Ciutat"
"Close","Tanca"
"Company","Empresa"
"Configure","Configura"
"Country","País"
"Custom","Personalitzat"
"Discount","Descompte"
"Don't have a PayPal account? Simply enter your email address.","No teniu cap compte de PayPal? Simplement introduïu la vostra adreça de correu electrònic."
"Edit","Edita"
"Email Address","Adreça electrònica"
"Enabled","Habilitat"
"Login","Iniciar Sessió"
"Never","Mai"
"Order","Comanda"
"Password","Contrasenya"
"Payment Action","Acció de pagament"
"Payment Method","Mètode de pagament"
"Place Order","Realitzar Comanda"
"Please agree to all the terms and conditions before placing the order.","Si us plau, accepteu els termes i condicions abans de realitzar la comanda."
"Position","Posició"
"Price","Preu"
"Product","Producte"
"Product Name","Nom del producte"
"Qty","Quantitat"
"Reports","Informes"
"Review Order","Revisar comanda"
"Sales","Vendes"
"Schedule","Planificació"
"Shipping","Enviament"
"Shipping Address","Adreça d'enviament"
"Shipping Method","Mètode d'enviament"
"Shortcut","Drecera"
"Skip Order Review Step","Saltar el pas de revisió de la comanda"
"Sort Order","Criteri d'Ordenació"
"State/Province","Província"
"Street Address","Carrer de l'adreça"
"Test Mode","Mode de Prova"
"The payment is pending while it is being reviewed by PayPal for risk.","El pagament està pendent mentre PayPal n'està revisant el risc."
"Title","Títol"
"VAT Number","Número d'IVA"
"View","Vista"
"Yes","Si"
"Zip/Postal Code","Codi Postal"
