"Action","Acció"
"Back","Torna"
"Cancel","Cancel·la"
"Customer","Client"
"Date Added","Data en què s'ha afegit"
"Delete","Eliminar"
"Email","Correu electrònic"
"Enter your email address","Introduïu l'adreça de correu electrònic"
"Guest","Convidat"
"Message","Missatge"
"Newsletter","Butlletí"
"Newsletter Message Preview","Vista prèvia del missatge del butlletí"
"Not Sent","No enviat"
"Paused","En pausa"
"Please enter a valid email address.","Si us plau, introdueixi una adreça de correu electrònic vàlida."
"Preview","Vista prèvia"
"Preview Template","Plantilla de previsualització"
"Reset","Restablir"
"Resume","Reprendre"
"Save and Resume","Desar i reprendre"
"Sender Email","Correu electrònic del remitent"
"Sender Name","Nom del remitent"
"Sending","Enviant"
"Sent","Enviat"
"Status","Estat"
"Store","Botiga"
"Store View","Vista de Botiga"
"Subject","Assumpte"
"Submit","Enviar"
"Subscribe","Subscriure"
"Subscribed","Subscrit"
"Type","Tipus"
"Unsubscribe","Anul·lar la subscripció"
"Unsubscribed","Subscripció anul·lada"
"Website","Lloc web"
