"* Required Fields","* Camps obligatoris"
"Add New Address","Afegir nova adreça"
"Add New Condition","Afegeix condició"
"Add to Cart","Afegir a la cistella"
"Add to Compare","Afegir per Comparar"
"Address","Adreça"
"After Adding a Product Redirect to Shopping Cart","Redirigir a la cistella després d'afegir un producte"
"Allow Guest Checkout","Permetre la compra a convidats"
"Apply","Aplica"
"Apply Coupon","Aplica cupó"
"Are you sure you would like to remove this item from the shopping cart?","Segur que voleu eliminar el producte de la cistella?"
"Back","Torna"
"Billing Address","Adreça de facturació"
"Cancel","Cancel·la"
"Cancel Coupon","Cancel·lar cupó"
"Change","Canvi"
"Change Billing Address","Canvia adreça de facturació"
"Checkout","Compra"
"Checkout Conditions","Opcions de formalització"
"Checkout Options","Opcions de formalització"
"Checkout Terms and Conditions","Condicions d'ús"
"City","Ciutat"
"Clear Shopping Cart","Buida la cistella"
"Close","Tanca"
"Company","Empresa"
"Condition Name","Nom de la condició"
"Confirm Password","Confirmeu la contrasenya"
"Content","Contingut"
"Continue Shopping","Seguir comprant"
"Country","País"
"Customer Information","Informació del consumidor"
"Delete Condition","Eliminar condició"
"Details","Detalls"
"Disabled","Deshabilitat"
"Display Cart Summary","Mostrar resum de la cistella"
"Display item quantities","Mostra quantitat dels productes"
"Display number of items in cart","Mostra el nombre de productes a la cistella"
"Edit","Edita"
"Edit Address","Edita l'adreça"
"Edit Condition","Editar condició"
"Edit Terms and Conditions","Editar les condicions d'ús"
"Edit Your Cart","Editeu la cistella"
"Edit item parameters","Edita el paràmetres de l'article"
"Email Address","Adreça electrònica"
"Enable Onepage Checkout","Activar la compra en una pàgina"
"Enable Terms and Conditions","Habilitar les condicions d'ús"
"Enabled","Habilitat"
"Estimate Shipping and Tax","Despeses d'enviament i impostos estimats"
"Excl. Tax","Impostos exclosos"
"Forgot an Item?","Algun producte oblidat?"
"Forgot your password?","Heu oblidat la constrasenya?"
"Incl. Tax","Impostos inclosos"
"Items","Elements"
"Load customer quote error","Error al carregar el pressupost del client"
"Login","Iniciar Sessió"
"My Cart","Cistella"
"My Cart Link","Enllaç a la cistella"
"New Address","Nova adreça"
"New Condition","Nova condició"
"New Terms and Conditions","Noves condicions d'ús"
"Order #","Comanda #"
"Order Review","Revisar comanda"
"Password","Contrasenya"
"Payment Failed Email Sender","Remitent del correu electrònic del pagament fallit"
"Payment Failed Emails","E-mails de pagaments fallits"
"Payment Failed Template","Plantilla del pagament fallit"
"Payment Information","Informació de pagament"
"Payment Method","Mètode de pagament"
"Place Order","Realitzar Comanda"
"Please agree to all the terms and conditions before placing the order.","Si us plau, accepteu els termes i condicions abans de realitzar la comanda."
"Price","Preu"
"Proceed to Checkout","Formalitzar la comanda"
"Product","Producte"
"Product Name","Nom del producte"
"Products","Productes"
"Qty","Quantitat"
"Quantity","Quantitat"
"Quote Lifetime (days)","Duració del pressupost (dies)"
"Remove This Item","Treure aquest element"
"Remove item","Elimina l'article"
"Review Order","Revisar comanda"
"Sales","Vendes"
"Save Condition","Desar condició"
"Save in address book","Desar a la llibreta d'adreces"
"See price before order confirmation.","Consulteu el preu abans de la confirmació de comanda."
"Send Payment Failed Email Copy Method","Mètode d'enviament de còpia de correu electrònic de pagament fallit"
"Send Payment Failed Email Copy To","Enviar una còpia de correu electrònic del pagament fallit a"
"Separate by "","".","Separa per "",""."
"Shipping Address","Adreça d'enviament"
"Shipping Method","Mètode d'enviament"
"Shopping Cart","Cistella"
"Show Content as","Mostrar el contingut com"
"State/Province","Província"
"Status","Estat"
"Store View","Vista de Botiga"
"Street Address","Carrer de l'adreça"
"Terms and Conditions","Condicions d'ús"
"Terms and Conditions Information","Informació de les condicions d'ús"
"Thank you for your purchase!","Gràcies per la comanda!"
"The product does not exist.","El producte no existeix."
"This condition no longer exists.","Aquesta condició ja no existeix."
"Update","Actualitzar"
"Update Cart","Actualitzar la cistella"
"Update Shopping Cart","Actualitzar la cistella"
"VAT Number","Número d'IVA"
"View Shopping Cart","Veure la cistella"
"What's this?","Què és això?"
"You have no items in your shopping cart.","No hi ha cap producte a la cistella."
"Zip/Postal Code","Codi Postal"
"or","o"
