"-- Please Select --","-- Selecteer --"
"Add Block Names to Hints","Bloknamen aan Hints toevoegen"
"Add Secret Key to URLs","Voeg geheime sleutel toe aan URLs"
"Add Store Code to Urls","Winkelcode aan URL's toevoegen"
"Admin","Beheerder"
"Admin Base URL","Admin basis-URL"
"Admin User Emails","Admin gebruikers e-mails"
"Advanced","Geavanceerd"
"Allow Countries","Toegestane landen"
"Allow Symlinks","Symlinks toestaan"
"Allowed IPs (comma separated)","Toegestane IP's (door komma's gescheiden)"
"Anchor Text for Next","Tekst voor 'Volgende'"
"Anchor Text for Previous","Tekst voor 'Vorige'"
"Are you sure?","Weet u het zeker?"
"Auto-redirect to Base URL","Auto-doorverwijzing naar de Basis URL"
"Back","Terug"
"Backup Options","Backup opties"
"Base JavaScript URL","Basis JavaScript-URL"
"Base Link URL","Basis link-URL"
"Base Media URL","Basis media-URL"
"Base Skin URL","Basis skin-URL"
"Base URL","Basis URL"
"Block with name ""%s"" already exists","Blok met naam ""%s"" bestaat al"
"Browser Capabilities Detection","Detectie van browsermogelijkheden"
"CSS Settings","CSS instellingen"
"Cache Storage Management","Beheer cachegeheugen"
"Can't retrieve request object","Kan verzoekobject niet ophalen"
"Can't retrieve entity config: %s","Kan entity-config niet ophalen: %s"
"Cancel","Annuleer"
"Cannot complete this operation from non-admin area.","Kan deze actie niet voltooien vanuit een niet-admin gebied"
"Card type does not match credit card number.","Creditcardtype matcht niet met het creditcardnummer."
"Code","Interne naam/code"
"Controller file was loaded but class does not exist","Controller-bestand is geladen, maar de class bestaat niet"
"Cookie Domain","Cookie Domein"
"Cookie Lifetime","Cookie levensduur"
"Cookie Path","Cookie Pad"
"Cookie Restriction Mode","Cookie restrictiemodus"
"Copyright","Auteursrecht"
"Country","Land"
"Create Store","Winkel aanmaken"
"Create Store View","Winkelaanzicht aanmaken"
"Create Website","Website aanmaken"
"Credit card number does not match credit card type.","Het creditcardnummer komt niet overeen met het type creditcard."
"Custom Admin Path","Custom Admin-pad"
"Custom Admin URL","Aangepaste admin-URL"
"Custom Design","Eigen design"
"Custom Email 1","Eigen e-mail 1"
"Custom Email 2","Eigen e-mail 2"
"Custom Variables","Custom Variabelen"
"Customer Support","Klantenservice"
"Date From","Datum vanaf"
"Date To","Datum tot"
"Date/time format ""%s"" is not supported.","Het datum/tijd-formaat ""%s"" wordt niet ondersteund"
"Debug","Fouten opsporen"
"Default","Standaard"
"Default Country","Standaard land"
"Default Description","Standaard-omschrijving"
"Default Keywords","Standaard-keywords"
"Default No-route URL","Standaard-URL Niet gevonden"
"Default Pages","Standaardpagina's"
"Default Robots","Standaard Robots"
"Default Store","Standaard winkel"
"Default Store View","Standaard winkelaanzicht"
"Default Title","Standaardtitel"
"Default Web URL","Standaard-web-URL"
"Delete","Verwijder"
"Delete Store","Winkel verwijderen"
"Delete Store View","Winkelaanzicht verwijderen"
"Delete Website","Website verwijderen"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Het verwijderen van een %1$s leidt niet tot de verwijdering van de gegevens die eraan gekoppeld zijn (bijv. categorie&euml;n, producten, etc.), maar de verwijdering kan niet ongedaan gemaakt worden. Wij adviseren u een backup te maken van uw database voordat u de verwijdering uitvoert."
"Design","Ontwerp"
"Design Change","Design wijziging"
"Developer","Ontwikkelaar"
"Developer Client Restrictions","Beperk bewerkingen in omgeving o.b.v. IP adres"
"Disable Email Communications","Schakel e-mail communicatie uit"
"Disable Modules Output","Schakel uitvoer van modules uit"
"Display Demo Store Notice","Toon melding demowinkel"
"Duplicate Of Template Name","Kopie van sjabloon-naam"
"Edit Design Change","Design wijziging bewerken"
"Edit Store","Winkel bewerken"
"Edit Store View","Winkelaanzicht bewerken"
"Edit Website","Website wijzigen"
"Empty identifier field name","Lege identifier van veldnaam"
"Empty main table name","Lege naam hoofdtabel"
"Enable Charts","Activeer grafieken"
"Enabled","Ingeschakeld"
"Enabled for Admin","Ingeschakeld voor backend"
"Enabled for Frontend","Ingeschakeld voor front-end"
"Environment Update Time","Updatetijd omgeving"
"Error in file: ""%s"" - %s","Fout in bestand: ""%s"" - %s"
"European Union Countries","Landen uit Europese Unie"
"Exceptions Log File Name","Bestandsnaam uitzonderingen-log"
"Favicon Icon","Favicon Icoon"
"File not found","Bestand niet gevonden"
"File system","Bestandssysteem"
"File with an extension ""%value%"" is protected and cannot be uploaded","Bestand met een extensie ""%value%"" is beveiligd en kan niet worden geüpload."
"First Day of Week","Eerste dag van de week"
"Flush Cache Storage","Leeg Cachegeheugen"
"Flush Magento Cache","Leeg Magento Cache"
"Footer","onderschrift"
"Forgot Password Email Sender","Wachtwoord e-mail afzender vergeten"
"Forgot Password Email Template","Wachtwoord e-mailsjabloon vergeten"
"General","Algemeen"
"General Contact","Algemeen contact"
"General Settings","Algemene instellingen"
"Global","Systeem"
"HTML Head","HTML head"
"Host","Hostnaam"
"How many links to display at once.","Geef aan hoeveel links tegelijkertijd getoond mogen worden."
"Incorrect credit card expiration date.","Onjuiste vervaldatum van creditcard."
"Input type ""%value%"" not found in the input types list.","Input-soort ""%value%"" niet gevonden in input-soorten-lijst."
"Invalid base url type","Ongeldig type basis-URL"
"Invalid block type: %s","Ongeldig bloktype: %s"
"Invalid block: %s","Ongeldig blok: %s"
"Invalid date","Ongeldige datum"
"Invalid layout update handle","Ongeldige handle layout-update"
"Invalid messages storage ""%s"" for layout messages initialization","Ongeldige berichtenopslag ""%s"" voor initialisatie layout berichten"
"JavaScript Settings","JavaScript instellingen"
"Layout","Lay-out"
"Leave empty for access from any location.","Indien het veld leeg is, zal deze functionaliteit voor iedereen toegankelijk zijn."
"Locale","Taal"
"Locale Options","Lokalisatie-opties"
"Log Settings","Log-instellingen"
"Login is Case Sensitive","Wachtwoord is hoofdlettergevoelig"
"Logo Image","Logo afbeelding"
"Logo Image Alt","Alt-tekst logo"
"Logo Image Src","Bestand logo-plaatje"
"Mail Sending Settings","Mailinstellingen"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Let erop dat de URL eindigt met een '/' (slash). Het aanpassen van dit is niet zonder risico's."
"Manage Stores","Beheer winkels"
"Match expressions in the same order as displayed in the configuration.","Zorg dat expressies in dezelfde vorlgorde staan als getoond in de configuratie"
"Media Storage","Media opslag"
"Merge CSS Files","CSS bestanden samenvoegen"
"Merge JavaScript Files","JavaScript-bestanden samenvoegen"
"Miscellaneous HTML","Diverse HTML"
"Name","Naam"
"New Design Change","Nieuw ontwerpverandering"
"New Store","Nieuwe winkel"
"New Store View","Nieuw winkelaanzicht"
"New Website","Nieuwe website"
"No","Nee"
"PHP SOAP extension is required.","PHP SOAP extensie is nodig."
"Package","Pakket"
"Pagination","Paginering"
"Pagination Frame","Paginering frame"
"Pagination Frame Skip","Paginering frame aantal overslaan"
"Path ""%value%"" is not available and cannot be used.","Pad ""%value%"" is niet beschikbaar en kan niet gebruikt worden."
"Path ""%value%"" is protected and cannot be used.","Pad ""%value%"" is beveiligd en kan niet worden gebruikt."
"Please define flag code.","Definieer 'flag code' a.u.b."
"Please enter a number 0 or greater in this field.","Voer in dit veld a.u.b. een getal gelijk aan of groter dan 0 in."
"Please enter a number 1 or greater in this field.","Vul een nummer van 1 of groter in in dit veld."
"Please enter a number greater than 0 in this field.","Voer in dit veld a.u.b. een getal groter dan 0 in."
"Please enter a valid $ amount. For example $100.00.","Voer een geldig € bedrag op. Bijvoorbeeld: €100,00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Geef een geldige URL op. Bijvoorbeeld http://www.example.com of www.example.com"
"Please enter a valid credit card number.","Geef a. u. b. een geldig creditcard-nummer op."
"Please enter a valid credit card verification number.","Geef a. u. b. een geldig credit card verificatie nummer op."
"Please enter a valid date.","Geef a.u.b. een geldige datum op."
"Please enter a valid email address. For example johndoe@domain.com.","Geef een geldig e-mail adres op a.u.b. Bijvoorbeeld: iemand@mail.com ."
"Please enter a valid month (1-12).","Geef a.u.b. een geldige maand op (1-12)."
"Please enter a valid number in this field.","Voer a.u.b. een geldig getal in dit veld in."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Geef a.u.b. een geldig telefoonnummer op. Bijvoorbeeld (123) 456-7889 of 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Geef een geldig burger-service-nummer op a.u.b. Bijvoorbeeld 123-45-6789."
"Please enter a valid zip code.","Geef een geldige postcode op."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Voer een geldige postcode in a.u.b. Bijvoorbeeld: 2900 of 6621BK"
"Please enter issue number or start date for switch/solo card type.","Voer een geldig nummer of een geldige startdatum in voor het switch/solo kaarttype."
"Please make sure your passwords match.","Zorg dat de wachtwoorden overeenkomen."
"Please select State/Province.","Selecteer een staat/provincie."
"Please select an option.","Selecteer a. u. b. een optie."
"Please select one of the above options.","Selecteer &eacute;&eacute;;n van de hierboven genoemde opties a.u.b.."
"Please select one of the options.","Selecteer alstublieft een van de opties."
"Please set available and/or protected paths list(s) before validation.","Stel de beschikbare en/of beveiligde paden in voordat u valideert."
"Please use letters only (a-z or A-Z) in this field.","Gebruik uitsluitend letters (a-z en A-Z) in dit veld."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Gebruik alleen letters (a-z), cijfers (0-9) en underscores (_) in dit veld. Het eerste teken moet een letter zijn."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Gebruik dd/mm/jjjj als datum-formaat. Bijvoorbeeld 17/03/2006 voor 17 maart 2006."
"Please wait, loading...","Wacht a.u.b. Bezig met laden..."
"Port (25)","Poort (25)"
"Recovery Link Expiration Period (hours)","Herstel Link verloopperiode (uur)"
"Request Path for Specified Store","Pad opvragen voor gespecificeerde winkel"
"Requested invalid store ""%s""","Ongeldige winkel opgevraagd:""%s"""
"Return-Path Email","Ontvangstadres voor e-mails."
"Root Category","Hoofd categorie/root"
"Sales Representative","Vertegenwoordiger"
"Save","Opslaan"
"Save Store","Winkel opslaan"
"Save Store View","Winkelaanzicht opslaan"
"Save Website","Website opslaan"
"Search Engines Optimization","Zoekmachine-optimalisatie (SEO)"
"Secure","Veilig"
"Security","Beveiliging"
"Select Date","Datum selecteren"
"Select Media Database","Selecteer mediadatabase"
"Sender Email","E-mailadres Afzender"
"Sender Name","Naam afzender"
"Session Validation Settings","Instellingen sessievalidatie"
"Set Return-Path","Ontvangstadres voor e-mails instellen."
"Set as Default","Instellen als standaard"
"Skin (Images / CSS)","Skin (Afbeeldingen / CSS)"
"Sort Order","Sorteervolgorde"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Gespecificeerde datum/tijd ""%1$s"" is niet in het formaat ""%2$s""."
"Startup Page","Startpagina"
"Status","status"
"Storage Configuration for Media","Opslaglocatie voor mediabestanden"
"Store","Winkel"
"Store Email Addresses","E-mailadressen van winkel"
"Store Hours of Operation","Openingstijden winkel"
"Store Information","Winkelinformatie"
"Store Name","Winkelnaam"
"Store View","Winkelaanzicht"
"Store View Information","Winkelaanzicht gegevens"
"Store View Name","Winkelzicht-naam"
"Store view doesn't exist","Winkelzicht bestaat niet"
"Store with the same code","Opslaan met dezelfde code"
"System","Systeem"
"System Log File Name","Bestandsnaam 'system log'"
"Template Path Hints","Hints template-pad"
"Template Settings","Template instellingen"
"Template Variables","Templatevariabelen"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Opgegeven %s is ongeldig. Zorg dat het voldoet aan het formaat ""http://domain.com/""."
"The store does not exist","De winkel bestaat niet"
"The value is not within the specified range.","De waarde valt niet in het verplichte bereik."
"The website does not exist.","De website bestaat niet."
"Themes","Thema's"
"This category and all its child elements","Deze categorie en alle sub-elementen (""children"")"
"This category and its child categories only","Deze categorie en de sub-categorie&euml;n"
"This category and its products only","Deze categorie en de producten erin"
"This category only","Alleen deze categorie"
"This is a required field.","Dit is een verplicht veld."
"This store cannot be deleted.","Deze winkel kan niet worden verwijderd."
"This store view cannot be deleted.","Het winkelaanzicht kan niet worden verwijderd."
"This website cannot be deleted.","Deze website kan niet worden verwijderd."
"This will be included before head closing tag in page HTML.","Dit script wordt geplaatst aan het begin van de HTML pagina, voor het einde van HEAD."
"Timezone","Tijdzone"
"Title Prefix","Titel (voor de naam)"
"Title Suffix","Titel (achter de naam)"
"Transactional Emails","Transactionele e-mails"
"Translate Inline","Inline vertaling"
"Translations","Vertalingen"
"Unable to delete store view. Please, try again later.","Kan winkelzicht niet verwijderen. Probeer het later opnieuw."
