"Action","Actie"
"Are you sure you want to delete the selected backup(s)?","Weet u zeker dat u de geselecteerde backup(s) wilt verwijderen?"
"Backups","Back-ups"
"Create Backup","Backup maken"
"Database Backup","Databasebackup"
"Database and Media","Database en media"
"Database and Media Backup","Database- en mediabackup"
"Database was successfuly backed up.","Database-backup is met succes gemaakt"
"Download","Downloads"
"Enable Scheduled Backup","Geplande backup inschakelen"
"Frequency","Frequentie"
"Maintenance Mode","Onderhoudsmodus"
"Name","Naam"
"Rollback","Terugdraaien"
"Start Time","Begin Tijd"
"System","Systeem"
"System (excluding Media)","Systeem (exclusief media)"
"System Backup","Systeem-backup"
"Time","Tijd"
"Type","Soort"
"Unable to create backup. Please, try again later.","Kon geen backup maken. Probeer later opnieuw a.u.b."
