"* Required Fields","* Verplichte velden"
"Comment","Opmerking"
"Contact Form","Contactformulier"
"Contact Information","Contactgegevens"
"Contact Us","Neem contact met ons op"
"Contacts","Contacten"
"Email","E-mail"
"Email Options","E-mail opties"
"Email Sender","Afzender E-mail"
"Email Template","E-mail template"
"Enable Contact Us","‘Mail ons’ inschakelen"
"Name","Naam"
"Send Emails To","E-mails versturen aan"
"Submit","Verstuur"
"Telephone","Telefoon"
"Unable to submit your request. Please, try again later","Kan uw verzoek niet opsturen. Probeer het later opnieuw"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Uw vraag is verzonden en zal spoedig worden beantwoord. Bedankt voor uw bericht."
