"Access Key","Toegangstoets"
"Authorize Only","Alleen toestemming verlenen"
"Authorize and Capture","Autoriseren en vastleggen"
"Continue Shopping","Ga verder met winkelen"
"Debug","Fouten opsporen"
"Email Sender","Afzender E-mail"
"Enable","Inschakelen"
"Merchant ID","Merchant-ID"
"Merchant Login","Handelaar Login"
"New Order Status","Nieuwe orderstatus"
"Payment Action","Betaling"
"Secret Key","Geheime Sleutel"
"Thank you for your purchase!","Bedankt voor uw bestelling!"
"Title","Titel"
"You will receive an order confirmation email with details of your order and a link to track its progress.","U ontvangt een e-mail ter bevestiging van uw bestelling met de details van uw bestelling en een link om de voortgang te kunnen volgen."
