"* Required Fields","* Verplichte velden"
"ALL GROUPS","ALLE GROEPEN"
"Account Dashboard","Account-dashboard"
"Account Information","Account Gegevens"
"Account Sharing Options","Opties account delen"
"Action","Actie"
"Add New Address","Adres toevoegen"
"Add New Customer","Nieuwe klant toevoegen"
"Add New Customer Group","Nieuwe klantgroep toevoegen"
"Added From","Toegevoegd vanaf"
"Additional Address Entries","Additionele Adresgegevens"
"Address","Adres"
"Address Book","Adresboek"
"Address Information","Adres Gegevens"
"Address Templates","Adres sjablonen"
"Addresses","Adressen"
"Admin","Beheerder"
"All","Alle"
"All Store Views","Alle Winkelaanzichten"
"All countries","Alle landen"
"Always optional.","Altijd optioneel"
"Amount","Aantal"
"Approved","Akkoord"
"Are you sure that you want to remove this item?","Weet u zeker dat u dit artikel wilt verwijderen?"
"Are you sure you want to cancel adding of this address?","Weet u zeker dat u het toevoegen van dit adres wilt annuleren?"
"Are you sure you want to delete this address?","Weet u zeker dat u het adres wilt verwijderen?"
"Are you sure?","Weet u het zeker?"
"Assign a Customer Group","Klantgroep toewijzen"
"Average Sale","Gemiddeld bedrag"
"Back","Terug"
"Back to Login","Terug naar log-in venster"
"Bad request.","Foute aanvraag"
"Bill to Name","Stuur rekening op naam"
"Bought From","Gekocht van"
"By Email","Per E-mail"
"By IP","Via IP"
"By IP and Email","Via IP en Email"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Door een account aan te maken in deze winkel kunt u het betalingsproces sneller doorlopen, meerdere verzendadressen opslaan, bestellingen bekijken en volgen en meer."
"Cancel","Annuleer"
"Change Account Password","Account-wachtwoord wijzigen"
"Change Billing Address","Verander Factuuradres"
"Change Password","Wachtwoord wijzigen"
"Change Shipping Address","Verzendadres wijzigen"
"City","Plaatsnaam"
"Company","Bedrijf"
"Configure","Configureren"
"Confirm New Password","Bevestig nieuw wachtwoord"
"Confirm Password","Bevestig wachtwoord"
"Confirmation Link Email","Bevestinglink e-mail"
"Confirmed","Bevestigd"
"Contact Information","Contactgegevens"
"Continue Shopping","Ga verder met winkelen"
"Country","Land"
"Create","Creëren"
"Create New Account Options","Nieuwe account-opties aanmaken"
"Create New Customer Account","Nieuw klant-account aanmaken"
"Create Order","Bestelling aanmaken"
"Create an Account","Account aanmaken"
"Create customer","Klant aanmaken"
"Create customer address","Klantadres aanmaken"
"Current Password","Huidig wachtwoord"
"Customer","Klant"
"Customer Addresses","Klantadressen"
"Customer Configuration","Klant-configuratie"
"Customer Group","Klantengroep"
"Customer Groups","Klantengroepen"
"Customer Information","Klantgegevens"
"Customer Login","Klant-login"
"Customer Since","Klant Sinds"
"Customer View","Overzicht"
"Customer will stay on the current page if ""No"" is selected.","Klant zal op de huidige pagina blijven als Nee is geselecteerd."
"Customers","Klanten"
"Customers Only","Alleen klanten"
"Date","Datum"
"Date Added","Datum toegevoegd"
"Date of Birth","Geboortedatum"
"Day","Dag"
"Days in Wishlist","Dagen op verlanglijst"
"Default Addresses","Standaard adres"
"Default Billing Address","Standaard factuuradres"
"Default Email Domain","Standaard e-maildomein"
"Default Group","Standaardgroep"
"Default Shipping Address","Standaard verzendadres"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Standaard-waarde voor 'Uitschakelen automatische verandering van groep a.h.v. BTW-nummer.'"
"Default Welcome Email","Standaard welkomst-mail"
"Delete","Verwijder"
"Delete Address","Adres verwijderen"
"Delete Customer","Klant verwijderen"
"Delete Customer Group","Klantgroep verwijderen"
"Delete customer","Klant verwijderen"
"Delete customer address","Klantadres verwijderen"
"Deleted Stores","Verwijderde winkels"
"Details","Gegevens"
"Disabled","Uitgeschakeld"
"Edit","Bewerken"
"Edit Account Info","Accountgegevens bewerken"
"Edit Account Information","Bewerk accountgegevens"
"Edit Address","Bewerk adres"
"Edit Address Entry","Adres bewerken"
"Edit Customer Group ""%s""","Bewerken klantengroep ""%s"""
"Edit Customer Groups","Klantgroepen bewerken"
"Edit Customer's Address","Klantadres bewerken"
"Edit Group","Groep bewerken"
"Edit Newsletters","Nieuwsbrieven bewerken"
"Email","E-mail"
"Email Address","E-mail adres"
"Email Sender","Afzender E-mail"
"Email:","E-mail:"
"Enable Automatic Assignment to Customer Group","Inschakelen automatische verandering van groep a.h.v. BTW-nummer."
"Failed to confirm customer account.","Bevestigen van klantaccount mislukt"
"First Name","Voornaam"
"Forgot Email Template","Sjabloon e-mail vergeten"
"Forgot Password","Wachtwoord vergeten"
"Forgot Your Password?","Wachtwoord vergeten?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Vanuit uw Account Dashboard kunt u een snapshot bekijken van uw recente account-activiteit en uw accountgegevens updaten. Selecteer een link hieronder om gegevens te bekijken en te bewerken."
"Gender","Geslacht"
"General Subscription","Algemene inschrijving"
"Generate Human-Friendly Customer ID","Genereer klantvriendelijk klant-ID"
"Global","Systeem"
"Group","Groep"
"Group Information","Groepsgegevens"
"Group Name","Groepsnaam"
