"1 star","1  ster"
"2 stars","2 sterren"
"3 stars","3 sterren"
"4 stars","4 sterren"
"5 stars","5 sterren"
"Add New Rating","Nieuwe waardering toevoegen"
"Assigned Options","Toegewezen opties"
"Be the first to review this product","Schrijf de eerste review over dit product"
"Default Value","Standaardwaarde"
"Delete Rating","Verwijder waardering"
"Edit Rating","Productkenmerk bewerken"
"If you do not specify a rating title for a store, the default value will be used.","Indien u geen kenmerk-titel opgeeft voor een winkel zal de standaard-waarde worden gebruikt"
"New Rating","Nieuwe waardering"
"Option Label","Optie-label"
"Option Title","Titel optie"
"Option Title:","Titel optie:"
"Please select one of each ratings above","Geef een score voor elk kenmerk hierboven a.u.b."
"Rating Information","Informatie waardering"
"Rating Name","Kenmerknaam"
"Rating Options","Waarderingsopties"
"Rating Title","Titel waarding"
"Rating Visibility","Zichtbaarheid scores"
"Rating isn't Available","Waardering is niet beschikbaar"
"Rating with the same title","Kenmerk met dezelfde titel"
"Save Rating","Waardering opslaan"
"Sort Order","Sorteervolgorde"
"Visible In","Zichtbaar in"
