"Add Recipient","Voeg ontvanger toe"
"Allow for Guests","Toestaan voor gasten"
"Back","Terug"
"Email Address","E-mail adres"
"Email Address:","Emailadres:"
"Email Templates","E-mailsjablonen"
"Email to a Friend","E-mail naar een vriend"
"Email:","E-mail:"
"Enabled","Ingeschakeld"
"Invalid Sender Information","Ongeldige informatie afzender"
"Limit Sending By","Beperk verzending door"
"Max Products Sent in 1 Hour","Max. producten verzonden in 1 uur"
"Max Recipients","Max. geadresseerden"
"Maximum %d email addresses allowed.","Maximum %d e-mailadressen toegestaan."
"Message:","Bericht:"
"Name","Naam"
"Name:","Naam:"
"Recipient:","Ontvanger:"
"Remove Email","Verwijder e-mail"
"Select Email Template","Selecteer e-mail-sjabloon"
"Send Email","Verstuur e-mail"
"Send product to a friend","Verstuur product aan een vriend"
"Sender:","Afzender:"
"Some emails were not sent.","Sommige e-mails zijn niet verzonden."
"The link to a friend was sent.","De link is naar een vriend verzonden."
