"%d Review(s)","%d review(s)"
"%s Review(s)","%s review(s)"
"(Posted on %s)","(Geplaatst op %s)"
"1 star","1  ster"
"2 stars","2 sterren"
"3 stars","3 sterren"
"4 stars","4 sterren"
"5 stars","5 sterren"
"Add New Review","Nieuwe review toevoegen"
"Add Your Review","Schrijf een review"
"Administrator","Admin"
"All Reviews","Alle reviews"
"Allow Guests to Write Reviews","Reviews door gasten toestaan"
"Approved","Akkoord"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
"Are you sure?","Weet u het zeker?"
"Average Customer Rating","Gemiddelde klantwaardering"
"Average Customer Rating:","Gemiddelde klantwaardering:"
"Back","Terug"
"Back to Main Product Info","Terug naar productpagina"
"Back to My Reviews","Terug naar reviews-overzicht"
"Back to Product Reviews","Terug naar productreviews"
"Be the first to review this product","Schrijf de eerste review over dit product"
"Created On","Aangemaakt Op"
"Customer","Klant"
"Customer Reviews","Klantenreviews"
"Customers Reviews","Klanten-reviews"
"Delete","Verwijder"
"Delete Review","Review verwijderen"
"Detailed Rating","Gedetailleerde waardering"
"Edit Review '%s'","Review wijzigen: ‘%s’"
"Guest","Bezoeker"
"How do you rate this product?","Hoe waardeert u dit product?"
"Manage Ratings","Beheer waarderingen"
"My Product Reviews","Productreviews"
"My Recent Reviews","Recente reviews"
"Name","Naam"
"New Review","Nieuwe review"
"Nickname","Uw naam"
"Not Approved","Niet Akkoord"
"Pending","In afwachting"
"Pending Reviews","Te beoordelen reviews"
"Please select a product","Selecteer een product aub"
"Please select one of each of the ratings above","Selecteer een van de waarderingen hierboven"
"Posted By","Geplaatst door"
"Price","Prijs"
"Product Name","Product Naam"
"Product Rating","Productwaardering"
"Product Rating:","Productwaardering:"
"Product Review (submitted on %s):","Productreview (ingestuurd op %s):"
"Product Reviews","Productreviews"
"Product SKU","Artikelnummer"
"Products Reviews","Reviews"
"Qty","Aantal"
"Rating:","Waardering:"
"Review Details","Review details"
"Review by %s","Review door %s"
"Reviews and Ratings","Reviews en ratings"
"SKU","Art.nr."
"Save Review","Review opslaan"
"Status","status"
"Submit Review","Review versturen"
"Summary Rating","Samenvatting waardering"
"Summary of Review","Titel van review"
"Summary of Your Review","Samenvatting van uw review"
"Title","Titel"
"Type","Soort"
"Update Status","Status bijwerken"
"View All Reviews","Alle reviews bekijken"
"View Details","Bekijk details"
"Visible In","Zichtbaar in"
"Write Your Own Review","Schrijf uw eigen review"
"You have submitted no reviews.","U hebt nog geen reviews geschreven."
"You're reviewing:","U plaatst een review over:"
"Your Rating:","Uw waardering:"
"Your Review (submitted on %s):","Uw review (verstuurd op %s):"
