"Active","Actief"
"Add Attribute Mapping","Attribuut-toewijzing toevoegen"
"Add New Attribute","Voeg nieuw attribuut toe"
"Add to Google Base","Toevoegen aan Google Base"
"Are you sure?","Weet u het zeker?"
"Attribute","Attribuut"
"Attribute Set","Attributenset"
"Attribute Set and Item Type","Attributen-set en artikeltype"
"Attributes","Attributen"
"Attributes Set","Attributen-set"
"Available Products","Beschikbare producten"
"Captcha confirmation error: %s","Fout bij bevestiging captcha: %s"
"Catalog","Catalogus"
"ClientLogin","Klant-login"
"Confirm","Bevestigen"
"Current Mapping will be reloaded. Continue?","Huidige toewijzing wordt opnieuw geladen. Doorgaan?"
"Custom attribute, no mapping","Toegevoegd attribuut, geen toewijzing"
"Delete","Verwijder"
"Delete Mapping","Toewijzing verwijderen"
"Edit Item Type","Artikeltype bewerken"
"Edit Item Type ""%s""","Artikeltype ""%s"" bewerken"
"Error: %s","Fout: %s"
"Expires","Verloopt"
"Google Base Attribute","Google basis-attribuut"
"Google Base ID","Google basis-ID"
"Google Base Item Type","Google basis-artikeltype"
"Google Base Item type","Google basis-artikeltype"
"Hide","Verbergen"
"Invalid Product Model for Google Base Item","Ongelding productmodel voor Google basisartikel"
"Item Type was deleted","Artikeltype is verwijderd"
"Item Types","Artikeltypes"
"Items","Producten"
"Manage Attribute Mapping","Beheer attribuuttoewijzing"
"Manage Attributes","Beheer attributen"
"Manage Items","Beheer Items"
"New Item Type","Nieuw artikeltype"
"No","Nee"
"No items were deleted from Google Base","Er zijn geen artikelen verwijderd uit Google Base"
"No items were published","Er zijn geen artikelen gepubliceerd"
"No products were added to Google Base","Er zijn geen producten toegevoegd aan Google Base"
"Please, select Attribute Set and Google Item Type to load attributes","Selecteer attributen-set en Google artikeltype om attributen te laden"
"Product Name","Product Naam"
"Publish","Publiceren"
"Published","Gepubliceerd"
"Remove","Verwijder"
"Save Mapping","Toewijzing opslaan"
"Synchronize","Synchroniseren"
"Target Country","Doel-land"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Deze procedure zal de artikelstatistieken updaten en de artikelen verwijderen die niet beschikbaar zijn in Google Base. Doorgaan?"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Kan niet verbinden met Google Base. Controleer uw account-instellingen in de configuratie."
"View Available Products","Beschikbare producten bekijken"
"View Item in Google Base","Artikel in Google Base bekijken"
"Yes","Ja"
