"Alert Email Sender","Afzender Waarschuwing E-mail"
"Alert subscription has been saved.","Meldingsbericht is opgeslagen."
"Allow Alert When Product Comes Back in Stock","Melding toestaan als product weer op voorraad is"
"Allow Alert When Product Price Changes","Melding toestaan bij prijswijziging"
"Click here not to receive alerts for this product","Klik hier om geen meldingen meer te ontvangen over dit product"
"Error Email Recipient","E-mailadres ontvanger van foutmelding"
"Error Email Sender","Afzender Foutmelding Email"
"Error Email Template","Foutmelding Email Template"
"Frequency","Frequentie"
"Price Alert Email Template","Sjabloon e-mail met prijsmelding"
"Price:","Prijs:"
"Product Alerts","Product-notificaties"
"Product Alerts Run Settings","Product notificaties uitvoer-instellingen"
"Product alerts Cron error","Product notificaties Cron error"
"Product price alert","Prijsmelding"
"Product stock alert","Voorraadmelding"
"Regular Price:","Normale prijs:"
"Sign up for price alert","Opgeven voor prijsmeldingen"
"Sign up to get notified when this product is back in stock","Opgeven voor een melding wanneer dit product weer in voorraad is"
"Special price:","Speciale prijs"
"Start Time","Begin Tijd"
"Stock Alert Email Template","Sjabloon e-mail met voorraadmelding"
"The product was not found.","Dit product is niet gevonden"
"Unable to update the alert subscription.","Het opslaan van het meldingsbericht is niet mogelijk."
"Unsubscribe from all price alerts","Opzeggen van alle prijswijzigingen"
"Unsubscribe from all stock alerts","Opzeggen van alle voorraadwijzigingen"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","U ontvangt dit bericht omdat u zich hebt opgegeven voor meldingen wanneer de volgende producten weer in voorraad zijn:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","U krijgt dit bericht omdat u zich hebt opgegeven voor meldingen wanneer de prijzen van de volgende producten zijn gewijzigd:"
"You will no longer receive price alerts for this product.","Voor dit product ontvangt u niet langer meldingen van prijswijzigingen"
"You will no longer receive stock alerts for this product.","Voor dit product ontvangt u niet langer meldingen van gewijzigde voorraadstatussen."
"You will no longer receive stock alerts.","U ontvangt niet langer meldingen van gewijzigde voorraadstatussen."
