"(Excl. Tax)","(Excl. BTW)"
"(Incl. Tax)","(Incl. BTW)"
"* Required Fields","* Verplichte velden"
"Add New Address","Adres toevoegen"
"Add New Condition","Nieuwe voorwaarde toevoegen"
"Add to Cart","In Winkelwagen"
"Add to Compare","Toevoegen om te vergelijken"
"Add to Wishlist","Toevoegen aan verlanglijst"
"Address","Adres"
"Address %s of %s","Adres %s van %s"
"After Adding a Product Redirect to Shopping Cart","Winkelmandje tonen na toevoegen van een product"
"Allow Guest Checkout","Afrekenen als gast toestaan"
"Already registered?","Een vorige keer uw gegevens bewaard?"
"An error occurred in the process of payment","Er is een fout opgetreden tijdens het betalen"
"Apply","Toepassen"
"Apply Coupon","Pas kortingscode Toe"
"Are you sure you would like to remove this item from the shopping cart?","Weet u zeker dat u dit product wilt verwijderen uit de winkelwagen?"
"Back","Terug"
"Back to Billing Information","Terug naar factuurinformatie"
"Back to Select Addresses","Terug naar adressen selecteren"
"Back to Shipping Information","Terug naar verzendinformatie"
"Back to Shopping Cart","Terug naar winkelwagen"
"Based on your selection, you may be interested in the following items:","Gebaseerd op uw selectie, bent u wellicht ook geïnteresseerd in de volgende producten:"
"Billing Address","Factuuradres"
"Billing Information","Factuurinformatie"
"Billing Information - %s","Betaalgegevens - %s"
"Cancel","Annuleer"
"Cancel Coupon","Kortingscode annuleren"
"Cannot process the item.","Kan het item niet verwerken."
"Card Verification Number Visual Reference","Visuele referentie Kaartverificatienummer"
"Cart Subtotal:","Subtotaal winkelwagen:"
"Change","Verander"
"Change Billing Address","Verander Factuuradres"
"Checkbox Text","Tekst checkbox"
"Checkout","Afrekenen"
"Checkout Conditions","Betalingsvoorwaarden"
"Checkout Options","Betaalopties"
"Checkout Terms and Conditions","Algemene Voorwaarden Afrekenen"
"Checkout as Guest","Eenmalige aankoop. Geen account aanmaken"
"Checkout as a Guest or Register","Voor het eerst in deze webshop?"
"Checkout with Multiple Addresses","Afrekenen met meerdere adressen"
"City","Plaatsnaam"
