"%s's Wishlist","Verlanglijst van %s"
"* Required Fields","* Verplichte velden"
"Add All to Cart","Alles toevoegen aan winkelwagen"
"Add to Cart","In Winkelwagen"
"Add to Compare","Toevoegen om te vergelijken"
"Add to Wishlist","Toevoegen aan verlanglijst"
"Added From","Toegevoegd vanaf"
"Are you sure you want to remove this product from your wishlist?","Weet u zeker dat u dit product van uw verlanglijst wilt verwijderen?"
"Are you sure you would like to remove this item from the wishlist?","Popular Weet u zeker dat u dit product van uw verlanglijst wilt verwijderen?"
"Back","Terug"
"Can't save description %s","Kan beschrijving '%s' niet opslaan"
"Cannot specify product.","Kan product niet specificeren"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Vink het vakje aan om een link toe te voegen naar een RSS Feed van uw verlanglijst"
"Click for price","Klik voor de prijs"
"Comment","Opmerking"
"Comment:","Opmerking:"
"Date Added","Datum toegevoegd"
"Days in Wishlist","Dagen op verlanglijst"
"Edit","Bewerken"
"Email Sender","Afzender E-mail"
"Email Template","E-mail template"
"Email address can't be empty.","E-mailadres mag niet leeg zijn."
"Email addresses, separated by commas","E-mailadressen, gescheiden door komma’s"
"Enabled","Ingeschakeld"
"General Options","Algemene Opties"
"Go to Wishlist","Ga naar verlanglijst"
"In stock","Op voorraad"
"Last Added Items","Laatst toegevoegde artikelen"
"Message","Bericht"
"My Wishlist","Mijn verlanglijst"
"My Wishlist (%d item)","Mijn verlanglijst (%d artikel)"
"My Wishlist (%d items)","Mijn verlanglijst (%d artikelen)"
"Options Details","Optie Details"
"Out of stock","Niet op voorraad"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Voer geldige e-mailadressen in, gescheiden door komma’s. Bijvoorbeeld iemand@domein.com, iemandanders@domein.com."
"Please, enter your comments...","Voeg uw notities toe aub."
"Price","Prijs"
"Product Details and Comment","Productdetails en opmerkingen"
"Qty","Aantal"
"RSS Feed","RSS feed"
"RSS link to %s's wishlist","RSS-link naar %s’s verlanglijst"
"Remove Item","Product verwijderen"
"Remove This Item","Verwijder dit artikel"
"Remove item","Verwijder dit artikel"
"SKU","Art.nr."
"Share Options","Delen Opties"
"Share Wishlist","Deel verlanglijst"
"Share Your Wishlist","Deel uw verlanglijst"
"Sharing Information","Informatie delen"
"Update Wishlist","Verlanglijst updaten"
"User Description","Omschrijving gebruiker"
"View Details","Bekijk details"
"View Product","Product bekijken"
"What's this?","Wat is dit?"
"Wishlist","Verlanglijst"
"Wishlist Section","Sectie Verlanglijst"
"Wishlist Sharing","Verlanglijst delen"
"Wishlist is empty now.","Verlanglijst is nu leeg"
"You have no items in your wishlist.","U hebt niets op uw verlanglijst staan"
