" [deleted]"," [verwijderd]"
" and ","en"
"(For US 2-letter state names)","(Voor 2-letter-codes van staten in VS)"
"(If left empty will be auto-generated)","(Als u deze leeg laat, wordt er een gegenereerd)"
"(Leave empty for first spreadsheet)","(Laat leeg voor eerste spreadsheet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Producten worden toegevoegd/ge&uuml;pdate naar deze winkel als de kolom Winkel ontbreekt of  leeg is in het importbestand.)"
"(Shift-)Click or drag to change value","Wijzig de waarde met (shift-)klik of slepen"
"(Starting with)","(Beginnend met)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Bij &34;Nee &34; worden alleen ingedeelde velden ge&iuml;mporteerd. Gebruik voor indelen &34;kolom1 &34;,  &34;kolom &34;, etc.)"
"(You have to increase php memory_limit before changing this value)","(U moet de php memory_limit verhogen voordat u deze waarde verandert.)"
"(\t for tab)","(t voor tab)"
"* Required Fields","* Verplichte velden"
"- Click on any of the time parts to increase it","- Klik op een deel van de tijdnotatie om het te verhogen"
"- Hold mouse button on any of the above buttons for faster selection.","Houd muisknop vast op een knop hierboven voor snelle selectie"
"- Use the %s buttons to select month","-- Selecteer de maand met de %s knoppen"
"- Use the %s, %s buttons to select year","-- Selecteer het jaar met de %s, %s knoppen"
"- or Shift-click to decrease it","of shift-klik om het te verlagen"
"- or click and drag for faster selection.","of klik en sleep voor snelle selectie"
"-- Please Select --","-- Selecteer --"
"-- Please Select Billing Agreement--","-- Selecteer incasso-overeenkomst--"
"-- Please Select a Category --","-- Selecteer een categorie --"
"-- Please select --","-- Selecteer --"
"--Please Select--","--Maak een keuze--"
"1 Hour","1 uur"
"12 Hours","12 uur"
"12h AM/PM","12uur Ochtend/Avond"
"2 Hours","2 uur"
"24 Hours","24 uur"
"24h","24uur"
"2YTD","Afgelopen 2 jaar."
"6 Hours","6 uur"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Pagina niet gevonden.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Let op</strong>: Captcha is hoofdletter gevoelig."
"A user with the same user name or email already exists.","Een gebruiker met deze gebruikersnaam of dit emailadres bestaat reeds."
"API Key","API-sleutel"
"Abandoned Carts","Achtergelaten winkelwagens"
"About the calendar","Over de kalender"
"Account Created in:","Account gemaakt in:"
"Account Created on (%s):","Account gemaakt op (%s):"
"Account Created on:","Account gemaakt op:"
"Account Information","Account Gegevens"
"Account Status","Accountinstellingen"
"Account status","Account-status"
"Action","Actie"
"Actions","Acties"
"Actions XML","Acties XML"
"Active","Actief"
"Add","Toevoegen"
"Add Exception","Uitzondering toevoegen"
"Add Field Mapping","Veldverwijzingen toevoegen"
"Add Field with URL:","Veld met URL toevoegen"
"Add New","Voeg nieuwe toe"
"Add New Block","Nieuw blok toevoegen"
"Add New Image","Nieuwe afbeelding toevoegen"
"Add New Profile","Nieuw profiel toevoegen"
"Add New Role","Nieuwe rol toevoegen"
"Add New Template","Nieuw sjabloon toevoegen"
"Add New URL Rewrite","Voeg nieuwe URL Rewrite toe"
"Add New User","Nieuwe gebruiker toevoegen"
"Add New Variable","Voeg nieuwe variabele toe"
"Add Products","Voeg producten toe"
"Add URL Rewrite","URL Rewrite toevoegen"
"Add URL Rewrite for a Category","Voeg URL Rewrite toe voor categorie"
"Add URL Rewrite for a Product","Voeg URL Rewrite toe voor product"
"Add after","Toevoegen na"
"Additional Cache Management","Additionele cacheopties"
"Address Type:","Adrestype:"
"Admin","Beheerder"
"Advanced Profiles","Geavanceerde profielen"
"All","Alle"
"All Allowed Countries","Alle toegestane landen"
"All Cache","Gehele cache"
"All Files","Alle bestanden"
"All Reviews","Alle reviews"
"All Store Views","Alle Winkelaanzichten"
"All Tags","Alle tags"
"All Websites","Alle Websites"
"All countries","Alle landen"
"All fields","Alle velden"
"All valid rates have been saved.","Alle beoordelingen zijn opgeslagen."
"Always (during development)","Altijd (tijdens ontwikkeling)"
"Amounts","Bedragen"
"An error occurred while clearing the JavaScript/CSS cache.","Er is een fout opgetreden bij het vernieuwen van de JavaScript/CSS cache."
"An error occurred while clearing the image cache.","Er is een fout opgetreden bij het vernieuwen van de afbeeldingen cache."
"An error occurred while deleting this role.","Er is een fout opgetreden bij het verwijderen van deze rol"
"An error occurred while saving account.","Er is een fout opgetreden bij het opslaan van dit account"
"An error occurred while saving this role.","Er is een fout opgetreden bij het opslaan van deze rol."
"Any","Elke"
"Any Attribute Set","Iedere attributen-set"
"Any Group","Elke groep"
"Any Status","Elke status"
"Any Store","Elke winkel"
"Any Type","Elk type"
"Any Visibility","Elke zichtbaarheid"
"Archive file name:","Bestandsnaam archief:"
"Are you sure that you want to delete this template?","Weet u zeker dat u deze template wilt verwijderen?"
"Are you sure that you want to strip tags?","Weet u zeker dat u tags wilt verwijderen?"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
"Area","Gebied"
"As low as:","Slechts"
"Assigned","Toegewezen"
"Attribute Set Name:","Naam attributen-set:"
"Attributes","Attributen"
"Authorize","Autoriseer"
"Automatic (equalize price ranges)","Automatisch (equalize price ranges)"
"Automatic (equalize product counts)","Automatisch (equalize product counts)"
"Average Order Amount","Gemiddeld bestelbedrag"
"Average Orders","Gemiddeld aantal orders"
"Back","Terug"
"Back to Login","Terug naar log-in venster"
"Backup","Back-up"
"Backup Name","Naam backup"
"Backup options","Backup opties"
"Backups","Back-ups"
"Base currency","Basis-valuta"
"Bcc","Bcc (Blinde kopie)"
"Bestsellers","Meest verkochte producten"
"Billing Address","Factuuradres"
"Billing Address: ","Factuuradres: "
"Billing Agreement","Incasso-overeenkomt"
"Billing Agreements","Incasso-overeenkomsten"
"Block Information","Blok informatie"
"Blocks","Blokken"
"Both (without and with tax)","Beide (met en zonder BTW)"
"Browse Files...","Blader door bestanden..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Een bundel met dynamische prijzen kan geen eigen opties bevatten. Opties worden niet opgeslagen."
"By Email","Per E-mail"
"By IP","Via IP"
"By IP and Email","Via IP en Email"
"CRITICAL","KRITIEK"
"CSV / Tab separated","CSV / Tab-gescheiden"
"Cache Control","Beheer cache"
"Cache Control (beta)","Cache-instellingen (beta)"
"Cache Management","Cache beheer"
"Cache Type","Cache Soort"
"Cancel","Annuleer"
"Cannot add new comment.","Kan nieuwe opmerking niet toevoegen."
"Cannot add tracking number.","Kan geen traceernummer toevoegen"
"Cannot do shipment for the order separately from invoice.","Kan geen verzendopdracht aanmaken zonder factuur"
"Cannot do shipment for the order.","Kan geen verzendopdracht voor deze order aanmaken"
"Cannot save shipment.","Kan deze zending niet opslaan"
"Cannot send shipment information.","Kan de verzend details niet versturen"
"Cannot update item quantity.","Kan de aantallen niet wijzigen"
"Card Verification Number","Verificatienummer"
"Catalog","Catalogus"
"Catalog Price Rules","Catalogusprijs Regels"
"Catalog Rewrites","URL-herschrijvingen"
"Categories","Categorieën"
"Category","Categorie"
"Category:","Categorie:"
"Checkbox","Selectievakje"
