"""Remember Me"" Default Value","""Onthoud mij"" Standaardwaarde"
"* Required Fields","* Verplichte velden"
"Address","Adres"
"Address Information","Adres Gegevens"
"Already registered?","Een vorige keer uw gegevens bewaard?"
"Back","Terug"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Door een account aan te maken in deze winkel kunt u het betalingsproces sneller doorlopen, meerdere verzendadressen opslaan, bestellingen bekijken en volgen en meer."
"Checkout as Guest","Eenmalige aankoop. Geen account aanmaken"
"Checkout as a Guest or Register","Voor het eerst in deze webshop?"
"City","Plaatsnaam"
"Close","Sluiten"
"Company","Bedrijf"
"Confirm Password","Bevestig wachtwoord"
"Continue","Doorgaan"
"Country","Land"
"Create an Account","Account aanmaken"
"Easy access to your order history and status","Extra mogelijkheden: verlanglijst (bookmarks), meerdere afleveradressen, tags, reviews, etc."
"Email Address","E-mail adres"
"Enable ""Remember Me""","Activeer ""Onthoud mij"""
"Enable Persistence","Activeer het volgen van de winkelwagen"
"Fast and easy check out","Maar &eacute;&eacute;n keer invoeren, inzicht in uw eerdere bestellingen, met een muisklik opnieuw bestellen"
"Forgot Your Password?","Wachtwoord vergeten?"
"Forgot your password?","Wachtwoord vergeten?"
"General Options","Algemene Opties"
"If you have an account with us, please log in.","Als u een account bij ons hebt, log dan in a.u.b."
"Loading next step...","Bezig met laden van de volgende stap..."
"Login","Log in"
"Login Information","Login-gegevens"
"Login or Create an Account","Inloggen of een account aanmaken"
"New Customers","Nieuwe klanten"
"Password","Wachtwoord"
"Persist Shopping Cart","Winkelwagen volgen"
"Persistence Lifetime (seconds)","Levensduur in seconden"
"Persistent Shopping Cart","Winkelwagen volgen"
"Personal Information","Persoonlijke informatie"
"Please log in below:","U kunt hieronder inloggen met uw e-mail adres en wachtwoord."
"Please select region, state or province","Selecteer alstublieft regio, staat of provincie"
"Register","Bewaar mijn gegevens voor een volgende keer"
"Register and save time!","Voordelen van een account"
"Register to Create an Account","Registreer om een account aan te maken"
"Register with us for future convenience:","Bewaar uw gegevens. Dat werkt sneller en makkelijker."
"Registered Customers","Geregistreerde klanten"
"Remember Me","Onthoud mij"
"Save in address book","Opslaan in adresboek"
"Select State/Province...","Provincie selecteren"
"Select a billing address from your address book or enter a new address.","Selecteer een factuuradres uit uw adresboek of voer een nieuw adres in."
"Ship to different address","Naar ander adres verzenden"
"Ship to this address","Naar dit adres verzenden"
"Sign Up for Newsletter","Aanmelden voor de nieuwsbrief"
"State/Province","Staat/Provincie"
"Street Address","Adres"
"Submit","Verstuur"
"Telephone","Telefoon"
"VAT Number","BTW nummer"
"Welcome, %s!","Welkom, %s!"
"What's this?","Wat is dit?"
"Zip/Postal Code","Postcode"
