"Add Option","Adicionar Opção"
"Attribute Code","Código de Atributo"
"Attribute Label","Etiqueta do Atributo"
"Attribute Properties","Propriedade do Atributo"
"Attribute object is undefined","O objeto de atributo está indefinido"
"Attribute with the same code","Atributo com o mesmo código"
"Catalog Input Type for Store Owner","Tipo de Input de Catálogo para o Dono da Loja"
"Date","Data"
"Decimal Number","Número Décimal"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","A Ordenação de Produtos Pré-definida não existe na Lista de Ordenações de Produto Disponíveis."
"Default Value","Valor Pré-definido"
"Delete","Eliminar"
"Dropdown","Menu"
"Email","Correio electrónico"
"Entity is not initialized","A entidade não foi inicializada"
"Entity object is undefined","O objeto entidade não está definido"
"Form Element with the same attribute","Elemento do Formulário com o mesmo atributo"
"Form Fieldset with the same code","Conjunto de Campos de Formulário com o mesmo código"
"Form Type with the same code","Tipo de Formulário com o mesmo código"
"Input Validation for Store Owner","Validação de Input para o Dono da Loja"
"Integer Number","Número Inteiro"
"Invalid alias, already exists in joint attributes","Nome inválido, já existe nos atributos combinados"
"Invalid date","Data inválida"
"Invalid joint fields","Campos combinados inválidos"
"Joint field or attribute expression with this alias is already declared","Já está declarado um campo combinado ou uma expressão de atributo com este nome"
"Letters","Letras"
"Letters (a-z, A-Z) or Numbers (0-9)","Letras (a-z, A-Z) ou Números (0-9)"
"Multiple Select","Seleção Múltipla"
"No","Não"
"None","Nenhum"
"Required","Obrigatório"
"System","Sistema"
"Text Area","Área de Texto"
"Text Field","Campo de Texto"
"Unique Value","Valor Único"
"Unique Value (not shared with other products)","Valor único (não partilhado com outros produtos)"
"Values Required","Valores Necessários"
"Yes","Sim"
"Yes/No","Sim/Não"
