"* Required Fields","* Campos Obrigatórios"
"-- Please Select --","-- Por favor, selecione --"
"-- Please Select Billing Agreement--","-- Por favor Selecione um Acordo de Faturação --"
"-- Please Select a Category --","-- Por favor selecione uma categoria --"
"-- Please select --","-- Por favor selecione --"
"--Please Select--","-- Por favor escolha uma opção --"
"1 Hour","1 hora"
"12 Hours","12 horas"
"2 Hours","2 horas"
"24 Hours","24 horas"
"2YTD","Desde o início do ano passado"
"6 Hours","6 horas"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Erro 404</h1><p>Página não encontrada.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Atenção</strong>: O Captcha diferencia maiúsculas de minúsculas."
"A user with the same user name or email already exists.","Já existe um utilizador com o mesmo nome de utilizador ou com o mesmo email."
"About the calendar","Sobre o calendário"
"Account Created in:","Conta Criada em:"
"Account Information","Informações da Conta"
"Account Status","Estado da Conta"
"Action","Ação"
"Actions","Ações"
"Active","Ativo"
"Add","Adicionar"
"Add New","Adicionar novo"
"Add New Block","Adicionar Novo Bloco"
"Add New Image","Adicionar nova imagem"
"Add New Role","Adicionar Nova Função"
"Add New Template","Adicionar Novo Template"
"Add New User","Adicionar Novo Utilizador"
"Add New Variable","Adicionar a nova variável"
"Add Products","Adicionar produtos"
"Add URL Rewrite for a Category","Adicionar Reescrita de URL para a Categoria"
"Add URL Rewrite for a Product","Adicionar Reescrever URL para um Produto"
"Add after","Adicionar depois de"
"Additional Cache Management","Gestão de Cache Adicional"
"Admin","Administrador"
"All","Todos"
"All Allowed Countries","Todos os Países Permitidos"
"All Cache","Toda a Cache"
"All Files","Todos os arquivos"
"All Reviews","Todas as avaliações"
"All Store Views","Todas as Vistas de Loja"
"All Websites","Todos os Sites"
"All countries","Todos os países"
"All valid rates have been saved.","Todas as taxas válidas foram gravadas."
"Always (during development)","Sempre (durante o desenvolvimento)"
"Amounts","Quantidades"
"An error occurred while clearing the JavaScript/CSS cache.","Ocorreu um erro ao limpar a cache de JavaScript/CSS."
"An error occurred while clearing the image cache.","Ocorreu um erro ao limpar a cache de imagens."
"An error occurred while deleting this role.","Ocorreu um erro ao remover esta função."
"An error occurred while saving account.","Ocorreu um erro a gravar a conta."
"An error occurred while saving this role.","Ocorreu um erro a gravar esta função."
"Any","Qualquer"
"Are you sure you want to do this?","Tem certeza que quer fazer isso?"
"Assigned","Atribuído"
"Attributes","Atributos"
"Authorize","Autorizar"
"Automatic (equalize price ranges)","Automático (igualar os intervalos de preço)"
"Automatic (equalize product counts)","Automatico (igualar as contagens do produto)"
"Back","Voltar"
"Backup Name","Nome do backup"
"Backup options","Opções de backup"
"Base currency","Moeda base"
"Bestsellers","Best-sellers"
"Billing Address","Morada de Faturação"
"Billing Address: ","Morada de faturação: "
"Billing Agreement","Acordo de Faturação"
"Billing Agreements","Acordos de Facturamento"
"Block Information","Informação de Blocos"
"Blocks","Blocos"
"Browse Files...","Procurar Ficheiros..."
"By Email","Por E-mail"
"By IP","Por IP"
"By IP and Email","Por IP e E-mail"
"Cache Control","Controlo de Cache"
"Cache Management","Gestão de Cache"
"Cache Type","Tipo de Cache"
"Cancel","Cancelar"
"Cannot add new comment.","Não é possível adicionar novo comentário."
"Cannot add tracking number.","Não é possível adicionar o número de expedição."
"Cannot do shipment for the order separately from invoice.","Não pode fazer a expedição da encomenda separadamente da fatura."
"Cannot do shipment for the order.","Não é possível enviar a encomenda."
"Cannot save shipment.","Não é possível guardar a expedição."
"Cannot send shipment information.","Não é possível enviar informações de expedição."
"Card Verification Number","Número de verificação de cartão"
"Catalog","Catálogo"
"Catalog Price Rules","Regras de Preço do Catálogo"
"Catalog Rewrites","Regravações de Catálogo"
"Categories","Categorias"
"Category","Categoria"
"Category:","Categoria:"
"Checkbox","Caixa de seleção"
"Choose Store View:","Escolha a Vista de Loja:"
"Clear","Limpar"
"Close","Fechar"
"Code","Código"
"Complete","Concluído"
"Config form fieldset clone model required to be able to clone fields","É necessário um modelo de clone dos campos do formulário para poder clonar os campos"
"Configuration","Configuração"
"Confirm New Password","Confirmar Nova Palavra-passe"
"Confirmed email:","Email confirmado:"
"Continue","Continuar"
"Convert to Plain Text","Converter para Texto sem Formatação"
"Cookie (unsafe)","Cookie (inseguro)"
"Country","País"
"Country:","País:"
"Coupons","Cupões"
"Create","Criar"
"Create DB Backup","Criar Backup BD"
"Create New Attribute","Criar Novo Atributo"
"Created At","Criado em"
"Credit Card Number","Número de cartão de crédito"
"Credit Card Type","Tipo de cartão de crédito"
"Credit Memos","Notas de Crédito"
"Currency","Moeda"
"Current Configuration Scope:","Configuração de Escopo Atual:"
"Current Month","Mês atual"
"Custom","Personalizado"
"Custom Variables","Variáveis Personalizadas"
"Customer","Cliente"
"Customer Group:","Grupo de Cliente:"
"Customer Groups","Grupos de Clientes"
"Customer Name","Nome de Cliente"
"Customer Reviews","Avaliações dos Clientes"
"Customer Shopping Carts","Carrinhos de compras de cliente"
"Customer Tax Classes","Classes de Impostos dos Clientes"
"Customers","Clientes"
"Dashboard","Painel de Administração"
"Database","Base de Dados"
"Date","Data"
"Date & Time","Data & Hora"
"Date Added","Data de Adição"
"Date selector","Seletor de data"
"Day","Dia"
"Debug","Depurar"
"Default Billing Address","Morada de Faturação Pré-definida"
"Default Config","Configuração Pré-definida"
"Default Values","Valores por omissão"
"Default scope","Escopo pré-definido"
"Delete","Eliminar"
"Delete Block","Remover Bloco"
"Delete File","Apagar Ficheiro"
"Delete Image","Apagar Imagem"
"Delete Role","Remover Função"
"Delete Store","Apagar Loja"
"Delete Store View","Apagar Vista de Loja"
"Delete Template","Remover Template"
"Delete User","Remover Utilizador"
"Description","Descrição"
"Design","Desenho"
"Details","Detalhes"
"Disable","Desativar"
"Disabled","Inativo"
"Display default currency","Mostrar moeda pré-definida"
"Download","Transferir"
"Drop-down","Menu"
"Edit","Editar"
"Edit Block","Editar Bloco"
"Edit Design Change","Editar Alteração de Design"
"Edit Email Template","Editar Template de Email"
"Edit Queue","Editar Fila"
"Edit Review","Editar Avaliação"
"Edit Role","Editar Função"
"Edit Store View","Editar Vista de Loja"
"Edit System Template","Editar Template de Sistema"
"Edit Template","Editar Template"
"Edit User","Editar Utilizador"
"Email","Correio electrónico"
"Email Address:","Endereço de e-mail:"
"Email to a Friend","Enviar por Email a um Amigo"
"Email:","E-mail:"
"Enable","Ativar"
"Enabled","Ativo"
"Entity Attributes","Atributos de Entidade"
"Entity Type","Tipo de Entidade"
"Error","Erro"
"Excel XML","XML Excel"
"Excl. Tax","Excluindo impostos"
"Exclude media folder from backup","Excluir a pasta de ficheiros Media do backup"
"Expiration Date","Data de validade"
"Export","Exportar"
"Export CSV","Exportar CSV"
"Export to:","Exportar para:"
"FTP Host","Host FTP"
"FTP Login","Login FTP"
"FTP Password","Palavra-passe FTP"
