"Add Your Review","Adicione a sua avaliação"
"Administrator","Administrador"
"All Reviews","Todas as avaliações"
"Allow Guests to Write Reviews","Permitir que os convidados escrevam avaliações"
"Approved","Aprovado"
"Are you sure you want to do this?","Tem certeza que quer fazer isso?"
"Are you sure?","Tem a certeza?"
"Average Customer Rating","Avaliação média do cliente"
"Average Customer Rating:","Avaliação média do cliente:"
"Back","Voltar"
"Back to Main Product Info","Voltar para a Informação de Produto"
"Back to My Reviews","Voltar para as minhas avaliações"
"Back to Product Reviews","Voltar para as Avaliações do Produto"
"Be the first to review this product","Seja o primeiro a avaliar este produto"
"Created On","Criada Em"
"Customer","Cliente"
"Customer Reviews","Avaliações dos Clientes"
"Delete","Eliminar"
"Delete Review","Apagar Avaliação"
"Detailed Rating","Avaliação detalhada"
"Guest","Convidado"
"ID","Id."
"Manage Ratings","Gerir Classificações"
"My Product Reviews","Minhas Avaliações de Produto"
"My Recent Reviews","Minhas classificações recentes"
"Name","Nome"
"New Review","Nova análise"
"Nickname","Pseudónimo"
"Not Approved","Não aprovado"
"Pending","Pendente"
"Pending Reviews","Avaliações pendentes"
"Price","Preço"
"Product","Produto"
"Product Name","Nome do Produto"
"Product Rating","Classificação do Produto"
"Product Rating:","Classificação do Produto:"
"Product Reviews","Avaliação do Produto"
"Qty","Qtd"
"Review","Avaliação"
"Review Details","Rever Detalhes"
"Reviews","Avaliações"
"SKU","REF"
"Save Review","Guardar análise"
"Status","Estado"
"Submit Review","Enviar avaliação"
"Summary Rating","Resumo da Avaliação"
"Summary of Review","Resumo de análise"
"Title","Título"
"Type","Tipo"
"Update Status","Estado da Atualização"
"View Details","Ver Detalhes"
"Websites","Sites"
"Write Your Own Review","Escreva a sua própria avaliação"
"You have submitted no reviews.","Ainda não enviou classificações."
"You're reviewing:","Está a avaliar:"
