"Actions","Ações"
"Are you sure?","Tem a certeza?"
"Date Added","Data de Adição"
"Last Update","Última Atualização"
"Mark as Read","Marcar como Lido"
"Message","Mensagem"
"Messages Inbox","Caixa de entrada de mensagens"
"Notifications","Notificações"
"Please select messages.","Por favor, seleccione as mensagens."
"Read Details","Ver Detalhes"
"Remove","Eliminar"
"Severity","Gravidade"
"Show List","Mostrar Lista"
"Show Toolbar","Mostrar Barra de Ferramentas"
"The message has been removed.","A mensagem foi removida."
"Update Frequency","Frequência de Atualização"
"Use HTTPS to Get Feed","Use HTTPS para obter o Feed"
"Wrong message type","Tipo de mensagem errada"
"critical","crítico"
"major","alto"
"minor","baixo"
"notice","aviso"
