"* Required Fields","* Campos Obrigatórios"
"-- Please Select --","-- Por favor, selecione --"
"A group with the same name already exists.","Já existe um grupo com o mesmo nome."
"A product type is not defined for the indexer.","Não está definido um tipo de produto para o indexador."
"ALL GROUPS","TODOS OS GRUPOS"
"Action","Ação"
"Actual Price","Preço Atual"
"Add","Adicionar"
"Add Attribute","Adicionar Atributo"
"Add Design Change","Adicionar alteração ao Design"
"Add Group","Adicionar Grupo"
"Add New","Adicionar novo"
"Add New Attribute","Adicionar Novo Atributo"
"Add New Attribute Set","Adicionar Novo Conjunto de Atributos"
"Add New Group","Adicionar Novo Grupo"
"Add New Images","Adicionar Novas Imagens"
"Add New Option","Adicionar Nova Opção"
"Add New Row","Adicionar Nova Linha"
"Add New Search Term","Adicionar Novo Termo de Pesquisa"
"Add Product","Adicionar Produto"
"Add Product To Websites","Adicionar Produto aos Sites"
"Add Root Category","Adicionar Categoria Raiz"
"Add Subcategory","Adicionar Subcategoria"
"Add Tax","Adicionar Imposto"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar à Comparação"
"Add to Wishlist","Adicionar à Lista de Desejos"
"All","Todos"
"All Product Types","Todos os Tipos de Produto"
"All Websites","Todos os Sites"
"All products","Todos os produtos"
"All products - recently added products, New products - products marked as new","Todos os produtos - produtos recentemente adicionados, Novos produtos - produtos marcados como novos"
"Allow All Products per Page","Permitir Todos os Produtos por Página"
"Amount","Valor"
"Anchor Custom Text","Texto Personalizado da Âncora"
"Anchor Custom Title","Título Personalizado da Âncora"
"Apply To","Aplicar a"
"Approved","Aprovado"
"Are you sure you want to delete this category?","Tem a certeza que deseja remover esta categoria?"
"Are you sure?","Tem a certeza?"
"Assign","Atribuir"
"Associated Products","Produtos Associados"
"Attribute Information","Informações de Atributo"
"Attribute Set","Conjunto de Atributos"
"Attribute Sets","Conjuntos de Atributo"
"Attributes","Atributos"
"Availability:","Disponibilidade:"
"Back","Voltar"
"Backorders","Encomendas pendentes"
"Based On","Baseado Em"
"Before Order Confirmation","Antes da Confirmação da Encomenda"
"Block after Info Column","Bloco após a coluna de informações"
"Bottom/Left","Fundo/Esquerda"
"Bottom/Right","Fundo/Direita"
"Bundle Items","Items do pacote"
"Cache Lifetime (Seconds)","Tempo de Vida da Cache (Segundos)"
"Cancel","Cancelar"
"Cart Item Attribute","Atributo de Item do Carrinho"
"Catalog","Catálogo"
"Catalog Category Link","Link da Categoria do Catálogo"
"Catalog New Products List","Lista de Novos Produtos do Catálogo"
"Catalog Price Scope","Escopo do Preço de Catálogo"
"Catalog Product Link","Link de Produto do Catálogo"
"Catalog, Search","Catálogo, Pesquisa"
"Categories","Categorias"
"Category","Categoria"
"Category Flat Data","Dados Flat da Categoria"
"Category Link Block Template","Template do Bloco de Link de Categoria"
"Category Link Inline Template","Template de Link Inline de Categoria"
"Category Products","Produtos da Categoria"
"Category Top Navigation","Categoria de Navegação Superior"
"Category URL Suffix","Sufixo URL da Categoria"
"Center","Centrar"
"Change","Modificar"
"Change status","Alterar estado"
"Check items to add to the cart or","Verifique os itens a adicionar ao carrinho ou"
"Choose an Option...","Escolha uma Opção..."
"Clear All","Limpar Tudo"
"Clear Price","Apagar Preço"
"Click for price","Clique para ver o preço"
"Close Window","Fechar janela"
"Collapse All","Esconder Todos"
