"-- Please Select --","-- Por favor, selecione --"
"Attribute Code","Código de Atributo"
"Attribute Label","Etiqueta do Atributo"
"Begin data validation","Iniciar validação de dados"
"Cannot get autoincrement value","Não foi possível obter o valor de incremento automático"
"Check Data","Verificar Dados"
"Customers","Clientes"
"Delete Entities","Eliminar Entidades"
"Destination file is not writable","O ficheiro de destino não é gravável"
"Entity Type","Tipo de Entidade"
"Entity is unknown","A entidade é desconhecida"
"Export","Exportar"
"Export File Format","Exportar Formato de Ficheiro"
"Export Settings","Exportar Configurações"
"File is valid! To start import process press ""Import"" button","O ficheiro é válido! Para iniciar a importação carregue no botão ""Importar"""
"Filter","Filtro"
"From","De"
"Import","Importar"
"Import Behavior","Comportamento de Importação"
"Import Settings","Importar Definições"
"Import/Export","Importar/Exportar"
"No valid data sent","Nenhuns dado válidos enviados"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Por favor, corrija os erros e faça upload do ficheiro ou simplesmente pressione o botão ""Importar"" para ignorar linhas com erros"
"Products","Produtos"
"Select File to Import","Selecione ficheiro a importar"
"Status","Estado"
"There are no product types available for export","Não existem tipos de produto disponíveis para exportação"
"To","Para"
"Unknown attribute filter type","Tipo de filtro de atributo desconhecido"
