"* Required Fields","* Campos Obrigatórios"
"--Please Select--","-- Por favor escolha uma opção --"
"Bank Transfer Payment","Pagamento por Transferência Bancária"
"Card Verification Number","Número de verificação de cartão"
"Cash On Delivery Payment","Pagamento Contra Entrega"
"Check / Money Order","Encomenda por Cheque / Dinheiro"
"Credit Card Number","Número de cartão de crédito"
"Credit Card Type","Tipo de cartão de crédito"
"Credit Card Types","Tipos de Cartão de Crédito"
"Credit card type is not allowed for this payment method.","O tipo de cartão de crédito não é permitido para este método de pagamento."
"Currency","Moeda"
"Day","Dia"
"Debug Mode","Modo Debug"
"Enabled","Ativo"
"Expiration Date","Data de validade"
"Incorrect credit card expiration date.","Data de validade de cartão de crédito incorrecto."
"Instructions","Instruções"
"Invalid Credit Card Number","Número de Cartão de Crédito Inválido"
"Issue Number","Número de Emissão"
"Make Check Payable to","Passe o cheque à ordem de"
"Make Check payable to:","Passe o cheque à ordem de:"
"Maximum Order Total","Valor Máximo da Encomenda"
"Merchant ID","ID do Comerciante"
"Minimum Order Total","Valor Mínimo da Encomenda"
"Month","Mês "
"N/A","N/D"
"New Order Status","Estado da Nova Encomenda"
"Password","Palavra-passe"
"Payment Method","Método de Pagamento"
"Payment Methods","Métodos de Pagamento"
"Payment Methods Section","Secção de Métodos de Pagamento"
"Payment Services","Serviços de Pagamento"
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento de Países Específicos"
"Please enter a valid credit card verification number.","Por favor insira um número de verificação do cartão de crédito válido."
"Purchase Order","Comprar Encomenda"
"Purchase Order Number","Nº de Aquisição"
"Selected payment type is not allowed for billing country.","O tipo de pagamento selecionado não é permitido para o país de faturação."
"Send Check to","Enviar Cheque para"
"Send Check to:","Enviar cheque para:"
"Shipping Amount","Valor de portes"
"Sort Order","Ordenação"
"Start Date","Data de Início"
"Switch/Solo/Maestro Issue Number","Número de Emissão Switch/Solo/Maestro"
"Switch/Solo/Maestro Only","Apenas Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Data de Início Switch/Solo/Maestro"
"Tax Amount","Valor do imposto"
"Test Mode","Modo de Teste"
"The payment review action is unavailable.","A ação de revisão de pagamento não está disponível."
"The requested Payment Method is not available.","O Método de Pagamento solicitado não está disponível."
"Title","Título"
"Unable to save Billing Agreement:","Não foi possível gravar o Acordo de Faturação:"
"What is this?","O que é isto?"
"Year","Ano"
