"* Required Fields","* Campos Obrigatórios"
"Comment","Comentário"
"Contact Form","Formulário de Contacto"
"Contact Information","Informação de Contacto"
"Contact Us","Contacte-nos"
"Contacts","Contactos"
"Contacts Section","Secção de Contactos"
"Email","Correio electrónico"
"Email Options","Opções de E-mail"
"Email Sender","Remetente de E-mail"
"Email Template","Template de Email"
"Enable Contact Us","Ativar a opção Contacte-nos"
"Name","Nome"
"Send Emails To","Enviar E-mails Para"
"Submit","Submeter"
