"* Required Fields","* Campos Obrigatórios"
"-- Select --","-- Seleccione --"
"Add New Option","Adicionar Nova Opção"
"As Low as","Tão baixo como"
"As low as","Tão baixo quanto"
"Bundle Items","Items do pacote"
"Checkbox","Caixa de seleção"
"Choose a selection...","Selecione uma opção..."
"Click for price","Clique para ver o preço"
"Close","Fechar"
"Default","Pré-definido"
"Default Qty","Qtd Pré-definida"
"Default Title","Título por Omissão"
"Drop-down","Menu"
"Dynamic","Dinâmico"
"Excl. Tax","Excluindo impostos"
"Fixed","Fixo"
"From","De"
"From:","De:"
"Gift Message","Mensagem da Oferta"
"Incl. Tax","Imposto incl."
"Input Type","Tipo de input"
"Is Required","É Necessário"
"Message:","Mensagem:"
"Multiple Select","Seleção Múltipla"
"N/A","N/D"
"No options of this product are available.","Nenhuma das opções deste produto está disponível."
"None","Nenhum"
"Percent","Por cento"
"Percent Discount","Disconto de Percentagem"
"Please enter a number greater 0 in this field.","Por favor insira um número superior a 0 neste campo."
"Please specify product option(s).","Por favor escolha a configuração do produto."
"Position","Posição"
"Price Range","Intervalo de Preços"
"Price Type","Tipo de Preço"
"Radio Buttons","Botões de radio"
"SKU","REF"
"Separately","Separadamente"
"Ship Bundle Items","Enviar Produtos de Pack"
"Shipment","Expedição"
"Store View Title","Título da Vista de Loja"
"To","Para"
"To:","Para:"
"Together","Em conjunto"
"Use Default Value","Usar o Valor Pré-definido"
