"Add","Adicionar"
"Add New Row","Adicionar Nova Linha"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","São recomendados caracteres alfanumérico, hífens e underscores para nomes de ficheiro. Caracteres impróprios são substituídos com '_'."
"Availability:","Disponibilidade:"
"Back","Voltar"
"Canceled","Cancelada"
"Date","Data"
"Default Link Title","Título de Link Pré-definido"
"Default Maximum Number of Downloads","Número Máximo de Downloads Pré-definido"
"Default Sample Title","Título de Amostra Pré-definido"
"Delete","Eliminar"
"Disable Guest Checkout if Cart Contains Downloadable Items","Desativar Checkout para Utilizadores Não Registados se o Carrinho Contiver Itens com Download"
"Downloadable Information","Download de Informação"
"Downloadable Product Options","Opções de Produto com Download"
"Edit","Editar"
"Edit item parameters","Editar os parâmetros do item"
"Excl. Tax","Excluindo impostos"
"File","Ficheiro"
"From:","De:"
"Gift Message","Mensagem da Oferta"
"Guest checkout will only work with shareable.","O checkout para utilizadores não registados apenas funcionará com conteúdo partilhável."
"In stock","Em stock"
"Incl. Tax","Imposto incl."
"Invalid download link type.","Tipo de link de download inválido."
"Invoiced","Faturada"
"Links can be purchased separately","Os Links podem ser comprados em separado"
"List","Lista"
"Max. Downloads","Máx. Downloads"
"Message:","Mensagem:"
"Move","Mover"
"My Downloadable Products","Os meus Produtos para Download"
"Open Links in New Window","Abrir Links numa Nova Janela"
"Order #","Encomenda #"
"Order Item Status to Enable Downloads","Estado do Item da Encomenda para Ativar Downloads"
"Order id cannot be null","O id da encomenda não pode ser null"
"Order item id cannot be null","O id do item da encomenda não pode ser null"
"Ordered","Encomendada"
"Out of stock","Esgotado"
"Pending","Pendente"
"Please set resource file and link type.","Por favor defina o ficheiro de recurso e o tipo de link."
"Please specify product link(s).","Por favor especifique o(s) link(s) do produto."
"Price","Preço"
"Qty","Qtd"
"Refunded","Reembolsada"
"Remaining Downloads","Downloads Restantes"
"Remove","Eliminar"
"Remove Item","Remover Item"
"SKU","REF"
"Sample","Amostra"
"See price before order confirmation.","Consulte o preço antes da confirmar a encomenda."
"Shareable","Partilhável"
"Shipped","Enviada"
"Sorry, there was an error getting requested content. Please contact the store owner.","Desculpe, houve um erro ao obter o conteúdo solicitado. Por favor contacte o dono da loja."
"Sort Order","Ordenação"
"Start Download","Iniciar Download"
"Status","Estado"
"Subtotal","Sub-total"
"The link has expired.","O link expirou."
"The link is not available.","O link não está disponível."
"Title","Título"
"To:","Para:"
"Unlimited","Ilimitado"
"Update","Actualizar"
"Use Content-Disposition","Usar Disposição de Conteúdo"
"Use Default Value","Usar o Valor Pré-definido"
"View Order","Ver Encomenda"
"What's this?","O que é isto?"
"You have not purchased any downloadable products yet.","Ainda não comprou nenhum produto passível de download."
"attachment","anexo"
"sample","amostra"
