" Copy"," Copiar"
"Action","Ação"
"Add New Template","Adicionar Novo Template"
"Add to Queue","Adicionar à Fila"
"Allow Guest Subscription","Permitir Subscrição a Utilizadores Não Registados"
"Are you sure that you want to strip all tags?","Tem a certeza que pretende remover as tags?"
"Back","Voltar"
"Cancel","Cancelar"
"Cancelled","Cancelada"
"Confirmation Email Sender","Remetente do Email de Confirmação"
"Confirmation Email Template","Template do E-mail de Confirmação"
"Convert to Plain Text","Converter para Texto sem Formatação"
"Create Newsletter Template","Novo Template de Newsletter"
"Customer","Cliente"
"Customer First Name","Nome do Cliente"
"Customer Last Name","Sobrenome do Cliente"
"Date Added","Data de Adição"
"Delete","Eliminar"
"Delete Selected Problems","Excluir problemas selecionados"
"Delete Template","Remover Template"
"Do you really want to cancel the queue?","Quer cancelar a fila?"
"Edit Newsletter","Editar Newsletter"
"Edit Newsletter Template","Editar Template de Newsletter"
"Edit Queue","Editar Fila"
"Edit Template","Editar Template"
"Email","Correio electrónico"
"Enter your email address","Insira o seu endereço de email"
"Error Code","Código do Erro"
"Error Text","Texto do Erro"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Clique neste link para cancelar a sua subscrição <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Convidado"
"ID","Id."
"Message","Mensagem"
"Need to Confirm","Pedir Confirmação"
"New Newsletter Template","Novo Template de Newsletter"
"New Template","Novo Template"
"Newsletter Message Preview","Pré-visualização da Mensagem da Newsletter"
"Newsletter Problem Reports","Relatórios de Problemas da Newsletter"
"Newsletter Queue","Fila de Newsletter"
"Newsletter Section","Secção da Newsletter"
"Newsletter Styles","Estilos de Newsletter"
"Newsletter Subscribers","Subscritores da Newsletter"
"Newsletter Subscription","Subscrição da Newsletter"
"Newsletter Subscriptions","Subscrições da Newsletter"
"Newsletter Templates","Template de Newsletter"
"Newsletter subscription confirmation","Confirmação de subscrição da Newsletter"
"Newsletter subscription success","Sucesso na subscrição da Newsletter"
"Newsletter unsubscription success","Sucesso de cancelamento da Newsletter"
"No Templates Found","Nenhum Template Encontrado"
"Not Activated","Não Ativado"
"Not Sent","Não Enviada"
"Pause","Pausa"
"Paused","Pausada"
"Please enter a valid email address.","Por favor introduza um endereço de email válido."
"Preview","Pré-Visualizar"
"Preview Template","Pré-Visualizar Template"
"Processed","Processada"
"Queue Date Start","Data de Início da Fila"
"Queue Information","Informações de Fila"
"Queue Start","Início da Fila"
"Queue Subject","Assunto da Fila"
"Recipients","Destinatários"
"Reset","Repor"
"Resume","Resumir"
"Return HTML Version","Retornar a Versão Html"
"Save As","Guardar Como"
"Save Newsletter","Gravar Newsletter"
"Save Template","Gravar Template"
"Save and Resume","Gravar e Continuar"
"Sender","Remetente"
"Sender Email","Email do Remetente"
"Sender Name","Nome do Remetente"
"Sending","Enviando"
"Sent","Enviada"
"Sign Up for Our Newsletter:","Subscreva a nossa Newsletter:"
"Start","Ínicio"
"Status","Estado"
"Store","Loja"
"Store View","Vista da Loja"
"Subject","Assunto"
"Submit","Submeter"
"Subscribe","Subscrever"
"Subscribed","Subscrito"
"Subscriber","Subscritor"
"Subscribers","Subscritores"
"Subscribers From","Subscritores De"
"Subscription Options","Opções de Subscrição"
"Success Email Sender","Remetente do Email de Sucesso"
"Success Email Template","Template do Email de Sucesso"
"Template Content","Conteúdo do Template"
"Template Information","Informação do Template"
"Template Name","Nome do Template"
"Template Styles","Estilos do Template"
"Template Subject","Assunto do Template"
"Template Type","Tipo de Template"
"Thank you for your subscription.","Obrigado pela sua subscrição."
"This email address is already assigned to another user.","Este endereço de email já está associado a outra conta."
"Type","Tipo"
"Unconfirmed","Não Confirmado"
"Unsubscribe","Cancelar Subscrição"
"Unsubscribe Selected","Remover Subscrição aos Selecionados"
"Unsubscribed","Não Subscrito"
"Unsubscription Email Sender","Remetente do E-mail de Cancelamento"
"Unsubscription Email Template","Template do E-mail de Cancelamento"
"View Newsletter","Ver Newsletter"
"Website","Site"
"Your subscription has been confirmed.","A sua subscrição foi confirmada."
