"Actions","Ações"
"Active","Ativo"
"Add New Rule","Adicionar Nova Regra"
"Alphabetical","Alfabético"
"Alphanumeric","Alfanumérico"
"Apply","Aplicar"
"Apply To","Aplicar a"
"Apply to Shipping Amount","Aplicar à Quantidade de Envio"
"Are you sure you want to delete the selected coupon(s)?","Tem a certeza que pretende remover os cupões selecionados?"
"Auto","Automático"
"Auto Generated Specific Coupon Codes","Códigos de Cupão Gerados Automaticamente Específicos"
"Buy X get Y free (discount amount is Y)","Compre X receba Y grátis (o valor do desconto é Y)"
"By Fixed value","Por Valor Fixo"
"By Percentage","Por Percentagem"
"Can't acquire coupon.","Não foi possível obter o cupão."
"Cart Attribute","Atributo do Carrinho"
"Catalog","Catálogo"
"Code Format","Formato do Código"
"Code Length","Tamanho do Código"
"Code Prefix","Prefixo do Código"
"Code Suffix","Sufixo de código"
"Conditions","Condições"
"Conditions combination","Combinação de condições"
"Coupon","Cupão"
"Coupon Code","Código do Cupão"
"Coupon Qty","Qtde de cupão"
"Coupon with the same code","Cupão com o mesmo código"
"Created On","Criada Em"
"Customer Groups","Grupos de Clientes"
"Dash Every X Characters","Hífen a Cada X Caracteres"
"Default Label","Etiqueta Pré-definida"
"Default Rule Label for All Store Views","Etiqueta de Regra Pré-definida para Todas as Vistas de Loja"
"Description","Descrição"
"Discount Amount","Desconto"
"Discount Qty Step (Buy X)","Incremento de Desconto de Qtd (Compre X)"
"Edit Rule","Editar Regra"
"Excluding prefix, suffix and separators.","Excluindo o prefixo, sufixo e separadores."
"FOUND","ENCONTRADO"
"Fixed amount discount","Desconto de montante fixo"
"Fixed amount discount for whole cart","Desconto de montante fixo para todo o carrinho"
"For matching items only","Apenas para itens correspondentes"
"For shipment with matching items","Para expedir com os itens que correspondam"
"Free Shipping","Portes Grátis"
"General Information","Informação Geral"
"Generate","Gerar"
"ID","Id."
"If empty no separation.","Se estiver vazio não há separação."
"Inactive","Inativo"
"Labels","Etiquetas"
"Maximum Qty Discount is Applied To","Desconto Máximo Qtd é Aplicado Para"
"NOT FOUND","NÃO ENCONTRADO"
"NOT LOGGED IN","NÃO LOGADOS"
"New Rule","Nova Regra"
"No","Não"
"No Coupon","Sem Cupão"
"Number of Uses","Número de Utilizações"
"Numeric","Numérico"
"Payment Method","Método de Pagamento"
"Percent of product price discount","Percentagem do desconto do preço do produto"
"Price in cart","Preço no carrinho"
"Priority","Prioridade"
"Product attribute combination","Combinação de atributos de produto"
"Products subselection","Sub-seleção de produtos"
"Promotions","Promoções"
"Public In RSS Feed","Público No Feed RSS"
"Quantity in cart","Quantidade no carrinho"
"Row total in cart","Total de linha no carrinho"
"Rule Information","Informação da Regra"
"Rule Name","Nome da Regra"
"Rule is not defined","Regra não definida"
"Save and Continue Edit","Gravar e Continuar Edição"
"Shipping Country","País de Envio"
"Shipping Method","Modo de Envio"
"Shipping Postcode","Código de Postal de Envio"
"Shipping Region","Região de Envio"
"Shipping State/Province","Região/Distrito de Envio"
"Special Price","Preço Especial"
"Specific Coupon","Cupão Específico"
"Status","Estado"
"Store View Specific Labels","Etiquetas Específicas a Vistas de Loja"
"Subtotal","Sub-total"
"This rule no longer exists.","Esta regra já não existe."
"Times Used","Vezes Utilizado"
"To Fixed Value","Para Valor Fixo"
"To Percentage","Para Percentagem"
"Total Amount","Montante Total"
"Total Items Quantity","Quantidade de Itens Total"
"Total Weight","Peso Total"
"Update the Product","Atualizar o Produto"
"Use Auto Generation","Usar Geração Automática"
"Used","Utilizado"
"Uses per Coupon","Usos por Cupão"
"Uses per Customer","Usos por Cliente"
"Website","Site"
"Websites","Sites"
"Yes","Sim"
"total amount","montante total"
"total quantity","quantidade total"
