"-- Please Select --","-- Por favor, selecione --"
"Actions","Ações"
"Add Layout Update","Adicionar Atualização de Layout"
"All","Todos"
"All Pages","Todas as Páginas"
"All Product Types","Todos os Tipos de Produto"
"Anchor Categories","Categorias de Âncora"
"Apply","Aplicar"
"Assign to Store Views","Atribuir a Vistas de Loja"
"Big Image","Imagem grande"
"Categories","Categorias"
"Choose...","Escolha..."
"Close","Fechar"
"Continue","Continuar"
"Default Template","Template Pré-definido"
"Delete","Eliminar"
"Design Package/Theme","Pacote/Tema"
"Export to:","Exportar para:"
"Generic Pages","Páginas Genéricas"
"Images","Imagens"
"Insert Widget","Inserir Widget"
"Layout Updates","Atualizações de Layout"
"Manage Widget Instances","Gerir Instâncias de Widgets"
"New Widget Instance","Nova Instância de Widget"
"Next page","Próxima página"
"Non-Anchor Categories","Categorias Não-Âncora"
"Not Selected","Não Selecionado"
"Open Chooser","Abrir o Seletor"
"Page","Página"
"Previous page","Página anterior"
"Products","Produtos"
"Remove Layout Update","Remover Atualização de Layout"
"Save and Continue Edit","Gravar e Continuar Edição"
"Select All","Selecionar tudo"
"Select Visible","Seleccionar Visíveis"
"Settings","Definições"
"Sort Order","Ordenação"
"Specified Page","Página Especificada"
"Template","Modelo"
"The information in this tab has been changed.","A informação deste separador foi modificada."
"The widget instance has been deleted.","A instância do widget foi removida."
"The widget instance has been saved.","A instância do widget foi gravada."
"Thumbnail","Imagem Miniatura"
"Type","Tipo"
"Unselect All","Desmarcar tudo"
"Unselect Visible","Desmarcar Visíveis"
"View","Visualizar"
"Widget ID","ID do Widget"
"Widget Insertion","Inserção de Widget"
"Widget Options","Opções do Widget"
"Widget Type","Tipo de Widget"
"per page","por página"
