"Add Minimum Qty","Adicionar Qtd mínima"
"Allow Qty Below 0","Permitir o Qtd abaixo de 0"
"Allow Qty Below 0 and Notify Customer","Permitir o Qtd abaixo de 0 e notificar o cliente"
"Automatically Return Credit Memo Item to Stock","Repor Stock Automaticamente do Item da Nota de Crédito"
"Backorders","Encomendas pendentes"
"By Fixed value","Por Valor Fixo"
"By Percentage","Por Percentagem"
"Decrease Stock When Order is Placed","Diminuir Stock Quando é Confirmada uma Encomenda"
"Display Out of Stock Products","Mostrar Produtos Sem Stock"
"Enable Qty Increments","Ativar Incrementos de Qtd"
"In Stock","Em Stock"
"Inventory","Inventário"
"Manage Stock","Gerir Stock"
"Maximum Qty Allowed in Shopping Cart","Qtd máxima permitida no carrinho de compras"
"Minimum Qty","Qtd mínima"
"Minimum Qty Allowed in Shopping Cart","Qtd Mínima Permitida no Carrinho de Compras"
"No Backorders","Sem encomendas pendentes"
"Notify for Quantity Below","Notificar quando a quantidade for inferior a"
"Only X left Threshold","Valor de Stock para Mostrar ""Só restam X"""
"Out of Stock","Sem Stock"
"Product Name","Nome do Produto"
"Product Stock Options","Opções de Stock do Produto"
"Products will still be shown by direct product URLs.","Os produtos serão mostrados através de URLs diretos para os mesmos."
"Qty","Qtd"
"Qty Increments","Incrementos de Qtd"
"Rule price","Preço de Regra"
"Set Items' Status to be In Stock When Order is Cancelled","Definir Estado dos Itens para Disponível Quando é Cancelada uma Encomenda"
"Stock Options","Opções de stock"
"Stock Status","Estado do Stock"
"The stock item for Product in option is not valid.","O item de stock para a opção do produto não é válido."
"To Fixed Value","Para Valor Fixo"
"To Percentage","Para Percentagem"
"Update","Actualizar"
"Update the Product","Atualizar o Produto"
