"-- Please Select --","-- Por favor, selecione --"
"Add Secret Key to URLs","Adicionar Chave Secreta aos URLs"
"Add Store Code to Urls","Adicionar o Código da Loja aos Url's"
"Admin","Administrador"
"Admin Base URL","URL Base de Administração"
"Admin User Emails","Admin User E-Mails"
"Advanced","Avançado"
"Allow Countries","Permitir Países"
"Allow Symlinks","Permitir Symlinks"
"Allowed IPs (comma separated)","IPs Permitidos (separados por vírgula)"
"Anchor Text for Next","Texto de âncora para página seguinte"
"Anchor Text for Previous","Texto de âncora para página anterior"
"Are you sure?","Tem a certeza?"
"Auto-redirect to Base URL","Redirecionar Automaticamente para o URL Base"
"Back","Voltar"
"Backup Options","Opções de backup"
"Base Link URL","URL Base do Link"
"Base URL","URL Base"
"Browser Capabilities Detection","Detecção de Recursos do Browser"
"CSS Settings","Definições CSS"
"Cache Storage Management","Gestão de armazenamento de cache"
"Cancel","Cancelar"
"Card type does not match credit card number.","Tipo de cartão não coincide com o número de cartão de crédito."
"Code","Código"
"Cookie Domain","Domínio do Cookie"
"Cookie Lifetime","Tempo de Vida do Cookie"
"Cookie Path","Caminho do Cookie"
"Cookie Restriction Mode","Modo de Restrição de Cookies"
"Copyright","Direitos de Autor"
"Country","País"
"Create Store","Criar Loja"
"Create Store View","Criar Vista de Loja"
"Create Website","Criar Website"
"Credit card number does not match credit card type.","Número de cartão de crédito não coincide com o tipo de cartão de crédito."
"Custom Admin Path","Caminho de Administração Personalizado"
"Custom Admin URL","URL de Administração Personalizado"
"Custom Design","Design personalizado"
"Custom Email 1","Email Personalizado 1"
"Custom Email 2","Email Personalizado 2"
"Custom Variables","Variáveis Personalizadas"
"Customer Support","Apoio ao Cliente"
"Dashboard","Painel de Administração"
"Date From","Data desde"
"Date To","Data até"
"Debug","Depurar"
"Default","Pré-definido"
"Default Country","País Pré-defindo"
"Default No-route URL","URL No-route Pré-definido"
"Default Pages","Páginas pré-definidas"
"Default Robots","Robôs Pré-definidos"
"Default Store","Loja por omissão"
"Default Store View","Vista de Loja por omissão"
"Default Title","Título por Omissão"
"Default Web URL","URL Web Pré-definido"
"Delete","Eliminar"
"Delete Store","Apagar Loja"
"Delete Store View","Apagar Vista de Loja"
"Design","Desenho"
"Design Change","Alteração ao Design"
"Developer","Programador"
"Developer Client Restrictions","Restrições de Cliente para Developers"
"Disable Email Communications","Desativar Comunicações por Email"
"Disable Modules Output","Desativar o Output dos Módulos"
"Display Demo Store Notice","Mostrar Aviso de Loja de Demonstração"
"Duplicate Of Template Name","Duplicado do Nome do Template"
"Edit Design Change","Editar Alteração de Design"
"Edit Store","Editar Loja"
"Edit Store View","Editar Vista de Loja"
"Enable Charts","Ativar Gráficos"
"Enabled","Ativo"
"Enabled for Admin","Ativado para Adminstradores"
"Environment Update Time","Tempo de Atualização do Ambiente"
"European Union Countries","Países da União Europeia"
"Favicon Icon","Ícone Favicon"
"File not found","Ficheiro não encontrado"
"File system","Sistema de ficheiros"
"File with an extension ""%value%"" is protected and cannot be uploaded","O ficheiro com a extensão ""%value%"" está protegido e não pode ser carregado"
"First Day of Week","Primeiro Dia da Semana"
"Flush Cache Storage","Descarregar o armazenamento em Cache"
"Flush OpenMage Cache","Limpar Cache do OpenMage"
"Footer","Rodapé"
"Forgot Password Email Template","Template de Email para Esqueci-me da Palavra-passe"
"General","Geral"
"General Contact","Contacto Geral"
"General Settings","Definições Gerais"
"HTML Head","Head HTML"
"Header","Cabeçalho"
"Host","Servidor"
"How many links to display at once.","Quantos links a mostrar de uma vez."
"Incorrect credit card expiration date.","Data de validade de cartão de crédito incorrecto."
"Input type ""%value%"" not found in the input types list.","O tipo de input ""%value%"" não está na lista de tipos de input."
"Invalid date","Data inválida"
"JavaScript Settings","Definições de JavaScript"
"Leave empty for access from any location.","Deixe em branco para aceder em qualquer lugar."
"Locale","Região"
"Locale Options","Opções de Linguagem"
"Login is Case Sensitive","Nome de Utilizador Sensível a Maiúsculas e Minúsculas"
"Logo Image","Imagem do Logótipo"
"Logo Image Alt","Texto Alternativo à Imagem do Logótipo"
"Mail Sending Settings","Definições de Envio de Email"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Certifique-se que o URL base termina com '/' (barra), e.g. http://oseudominio.com/magento/"
"Manage Stores","Gerir Lojas"
"Media Storage","Armazenamento Média"
"Merge CSS Files","Combinar Ficheiros CSS"
"Merge JavaScript Files","Combinar Ficheiros JavaScript"
"Miscellaneous HTML","HTML Miscelâneo"
"Name","Nome"
"New Store","Nova Loja"
"New Store View","Nova Vista de Loja"
"No","Não"
"Offloader header","Cabeçalho offloader"
"PHP SOAP extension is required.","A extensão SOAP para PHP é necessária."
"Package","Pacote"
"Pagination","Paginação"
"Pagination Frame","Quadro de Paginação"
"Pagination Frame Skip","Salto entre Quadros de Paginação"
"Path ""%value%"" is not available and cannot be used.","O caminho ""%value%"" não está disponível e não pode ser usado."
"Path ""%value%"" is protected and cannot be used.","O caminho ""%value%"" está protegido e não pode ser usado."
"Please enter a number 0 or greater in this field.","Por favor insira um número igual ou superior a 0 neste campo."
"Please enter a number 1 or greater in this field.","Por favor insira um número igual ou superior a 1 neste campo."
"Please enter a number greater than 0 in this field.","Por favor insira um número superior a 0 neste campo."
"Please enter a valid $ amount. For example $100.00.","Por favor insira um montante de € válido. Por exemplo, 100,00€."
"Please enter a valid credit card number.","Por favor insira um número de cartão de crédito válido."
"Please enter a valid credit card verification number.","Por favor insira um número de verificação do cartão de crédito válido."
"Please enter a valid date.","Por favor introduza uma data válida."
"Please enter a valid month (1-12).","Por favor introduza um mês válido (1-12)."
"Please enter a valid number in this field.","Por favor introduza um número válido neste campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor insira um número de telefone válido. Por exemplo (+351) 210 123 123 ou 910 123 123."
"Please enter a valid zip code.","Por favor insira um código de postal válido."
"Please enter issue number or start date for switch/solo card type.","Por favor insira o número de emissão ou data de início para o tipo de carta switch/solo."
"Please make sure your passwords match.","Por favor certifique-se que ambas as palavras-passe coincidem."
"Please select State/Province.","Por favor selecione a Região/Distrito."
"Please select an option.","Por favor selecione uma opção."
"Please select one of the options.","Selecione uma das opções."
"Please set available and/or protected paths list(s) before validation.","Por favor defina listas de caminhos disponíveis e/ou protegidos antes da validação."
"Please use letters only (a-z or A-Z) in this field.","Por favor use apenas letras (a-z ou A-Z) neste campo."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor use este formato de data: dd/mm/aaaa. Por exemplo 17/03/2006 de 17 de março de 2006."
"Port (25)","Porto (25)"
"Recovery Link Expiration Period (hours)","Validade do Link de Recuperação (horas)"
"Return-Path Email","Email do Caminho de Retorno"
"Root Category","Categoria raiz"
"Sales Representative","Representante de Vendas"
"Save","Gravar"
"Save Store","Gravar Loja"
"Save Store View","Gravar Vista de Loja"
"Security","Segurança"
"Select Media Database","Selecione a Base de Dados de Média"
"Sender Email","Email do Remetente"
"Sender Name","Nome do Remetente"
"Services","Serviços"
"Session Validation Settings","Definições de Validação de Sessão"
"Set Return-Path","Definir Caminho de Retorno"
"Set as Default","Definir como omissão"
"Sort Order","Ordenação"
"Startup Page","Página Inicial"
"Status","Estado"
"Storage Configuration for Media","Configuração de Armazenamento para Média"
"Store","Loja"
"Store Email Addresses","Endereços de Email da Loja"
"Store Hours of Operation","Horário de Funcionamento"
"Store Information","Informação da Loja"
"Store Name","Nome da loja"
"Store View","Vista da Loja"
"Store View Information","Informação da Vista de Loja"
"Store view doesn't exist","A vista de loja não existe"
"Store with the same code","Loja com o mesmo código"
"System","Sistema"
"Template Settings","Definições de Template"
"Template Variables","Variáveis do Template"
"The store does not exist","A loja não existe"
"The value is not within the specified range.","O valor não está dentro do intervalo especificado."
"The website does not exist.","O site não existe."
"Themes","Temas"
"This is a required field.","Este é um campo obrigatório."
"This store cannot be deleted.","Esta loja não pode ser eliminada."
"This store view cannot be deleted.","Esta vista de loja não pode ser apagada."
"This website cannot be deleted.","Este site não pode ser apagado."
"This will be included before head closing tag in page HTML.","Isto será incluído antes do fecho da tag head na página HTML."
"Timezone","Fuso horário"
"Transactional Emails","Emails Transacionais"
"Translate Inline","Traduzir em linha"
"Translations","Traduções"
"Url Options","Opções de Url"
"Use Custom Admin Path","Usar Caminho de Adminstração Personalizado"
"Use Custom Admin URL","Usar URL de Administração Personalizado"
"Use HTTP Only","Usar Apenas HTTP"
"None","Nenhum"
"Use Secure URLs in Admin","Usar URLs Seguros na Secção de Administração"
"Use Web Server Rewrites","Usar opção de Reescrever do Servidor Web"
"VAT Number","Número de Contribuinte"
