" for more information or "," para mais informação ou "
"# of Items (and above)","# de artigos (e acima)"
"# of Items vs. Destination","n º de Itens vs. Destino"
"Allow Shipping to Multiple Addresses","Permitir Envio para Várias Moradas"
"Calculate Handling Fee","Calcular Taxa de Processamento"
"Carrier:","Transportador:"
"City","Cidade"
"Close Window","Fechar janela"
"Condition","Condição"
"Country","País"
"Custom Value","Valor Personalizado"
"Date","Data"
"Delivered on:","Entregar em:"
"Description","Descrição"
"Displayed Error Message","Mensagem de Erro Apresentada"
"Divide to equal weight (one request)","Dividir o peso igual (um pedido)"
"Enabled","Ativo"
"Error:","Erro:"
"Export","Exportar"
"Fixed","Fixo"
"Flat Rate","Taxa Fixa"
"Free Shipping","Portes Grátis"
"Handling Fee","Taxa de Processamento"
"Import","Importar"
"Include Virtual Products in Price Calculation","Incluir Produtos Virtuais no Cálculo do Preço"
"Info:","Informação:"
"Local Time","Hora local"
"Location","Localização"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Qtd Máxima Permitida para Envio para Várias Moradas"
"Method Name","Nome do Método"
"Minimum Order Amount","Valor Mínimo do Pedido"
"N/A","N/D"
"None","Nenhum"
"Options","Opções"
"Order Subtotal (and above)","Subtotal da Encomenda (e acima)"
"Origin","Origem"
"Per Order","Por encomenda"
"Per Package","Por pacote"
"Percent","Por cento"
"Price","Preço"
"Price vs. Destination","Preço vs. destino"
"Region/State","Região/Concelho"
"Ship to Applicable Countries","Envio para Países Aplicáveis"
"Ship to Specific Countries","Envio para Países Específicos"
"Shipment #","Expedição #"
"Shipping Methods","Métodos de Envio"
"Shipping Settings","Definições de envio"
"Shipping Settings Section","Secção de definições de envio"
"Show Method if Not Applicable","Mostrar Método se Não Aplicável"
"Sort Order","Ordenação"
"Status:","Estado:"
"Store Pickup","Levantamento em Loja"
"Street Address","Morada"
"Street Address Line 2","Morada (Linha 2)"
"Table Rates","Taxas Tabeladas"
"The shipping module is not available.","O módulo de envio não está disponível."
"There is no tracking available for this shipment.","Não existe informação de envio disponível para esta expedição."
"There is no tracking available.","Não existe informação de envio disponível."
"Title","Título"
"Track:","Seguir:"
"Tracking Information","Informação de envio"
"Tracking Number:","Número de envio:"
"Tracking information is currently not available. Please ","A informação de envio não está disponível. Por favor, "
"Type","Tipo"
"Use origin weight (few requests)","Utilizar peso original (poucos pedidos)"
"Weight (and above)","Peso (e acima)"
"Weight vs. Destination","Peso vs. Destino"
"ZIP/Postal Code","Código Postal"
"contact us","contacte-nos"
"email us at ","envie-nos e-mail para "
