"* Required Fields","* Campos Obrigatórios"
"ALL GROUPS","TODOS OS GRUPOS"
"Account Information","Informações da Conta"
"Account Sharing Options","Opções de Partilha de Conta"
"Action","Ação"
"Add New Address","Adicionar Nova Morada"
"Add New Customer","Adicionar Novo Cliente"
"Add New Customer Group","Adicionar grupo de cliente"
"Additional Address Entries","Entradas Adicionais da Morada"
"Address","Morada"
"Address Book","As Minhas Moradas"
"Address Information","Informação da Morada"
"Address Templates","Templates de Morada"
"Addresses","Moradas"
"Admin","Administrador"
"All","Todos"
"All Store Views","Todas as Vistas de Loja"
"All countries","Todos os países"
"Always optional.","Sempre opcional."
"Amount","Valor"
"Approved","Aprovado"
"Are you sure you want to delete this address?","Tem a certeza que deseja apagar esta morada?"
"Are you sure?","Tem a certeza?"
"Assign a Customer Group","Atribuir um Grupo de Cliente"
"Average Sale","Venda Média"
"Back","Voltar"
"Bad request.","Pedido Inválido."
"By Email","Por E-mail"
"By IP","Por IP"
"By IP and Email","Por IP e E-mail"
"Cancel","Cancelar"
"Change Billing Address","Alterar Morada de Faturação"
"Change Password","Alterar Palavra-passe"
"Change Shipping Address","Alterar Morada de Envio"
"City","Cidade"
"Company","Empresa"
"Configure","Configurar"
"Confirm New Password","Confirmar Nova Palavra-passe"
"Confirm Password","Confirmar Palavra-passe"
"Confirmation Link Email","Email do Link de Confirmação"
"Confirmed","Confirmado"
"Contact Information","Informação de Contacto"
"Continue Shopping","Continuar a Comprar"
"Country","País"
"Create","Criar"
"Create New Account Options","Criar Novas Opções de Conta"
"Create Order","Criar a encomenda"
"Create an Account","Criar uma Conta"
"Current Password","Palavra-passe Atual"
"Customer","Cliente"
"Customer Configuration","Configuração do Cliente"
"Customer Group","Grupos de Clientes"
"Customer Groups","Grupos de Clientes"
"Customer Information","Informação do Cliente"
"Customer Since","Cliente Desde"
"Customer View","Visão do Cliente"
"Customer will stay on the current page if ""No"" is selected.","O cliente fica na página atual se ""Não"" estiver selecionado."
"Customers","Clientes"
"Customers Section","Secção de Clientes"
"Date","Data"
"Date Added","Data de Adição"
"Date of Birth","Data de Nascimento"
"Day","Dia"
"Default Addresses","Moradas Pré-definidas"
"Default Billing Address","Morada de Faturação Pré-definida"
"Default Group","Grupo Pré-definido"
"Default Shipping Address","Morada de Envio Pré-definida"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valor Pré-definido para Desativar Mudanças de Grupo Automáticas Baseadas em NIF"
"Default Welcome Email","Email de Boas Vindas Pré-definido"
"Delete","Eliminar"
"Delete Customer","Remover cliente"
"Delete Customer Group","Remover grupo de cliente"
"Deleted Stores","Lojas eliminadas"
"Details","Detalhes"
"Disabled","Inativo"
"Edit","Editar"
"Edit Account Information","Editar Informação de Conta"
"Edit Address","Editar Morada"
"Edit Customer Groups","Editar Grupos de Clientes"
"Edit Group","Editar Grupo"
"Email","Correio electrónico"
"Email Address","Endereço de Email"
"Email Sender","Remetente de E-mail"
"Email:","E-mail:"
"Enable Automatic Assignment to Customer Group","Ativar Atribuição Automática a um Grupo de Clientes"
