"* Required Fields","* Campos Obrigatórios"
"Add New Address","Adicionar Nova Morada"
"Add New Condition","Adicionar Nova Condição"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar à Comparação"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Address","Morada"
"After Adding a Product Redirect to Shopping Cart","Depois de Adicionar um Produto, Redirecionar para o Carrinho de Compras"
"Allow Guest Checkout","Permitir Compras por Visitantes"
"Apply","Aplicar"
"Apply Coupon","Usar Cupão"
"Are you sure you would like to remove this item from the shopping cart?","Tem certeza que deseja remover este item do carrinho de compras?"
"Back","Voltar"
"Back to Billing Information","Voltar à Informação de Faturação"
"Back to Select Addresses","Voltar à Seleção de Moradas"
"Back to Shipping Information","Voltar às Informações de Envio"
"Back to Shopping Cart","Regressar ao Carrinho de Compras"
"Billing Address","Morada de Faturação"
"Billing Information","Informação de Faturação"
"Cancel","Cancelar"
"Cancel Coupon","Cancelar Cupão"
"Cannot process the item.","Não é possível processar o item."
"Card Verification Number Visual Reference","Referência Visual do Número de Verificação do Cartão"
"Change","Modificar"
"Change Billing Address","Alterar Morada de Faturação"
"Checkbox Text","Texto da Caixa de Seleção"
"Checkout","Finalizar Compra"
"Checkout Conditions","Condições de Finalizar Compra"
"Checkout Options","Opções de Finalizar Compra"
"Checkout Terms and Conditions","Termos e Condições do Checkout"
"City","Cidade"
"Clear Shopping Cart","Esvaziar Carrinho de Compras"
"Close","Fechar"
"Company","Empresa"
"Condition Name","Nome da Condição"
"Configurable Product Image","Imagem de Produto Configurável"
"Confirm Password","Confirmar Palavra-passe"
"Content","Conteúdo"
"Content Height","Altura do Conteúdo"
"Content Height (css)","Altura do Conteúdo (css)"
"Continue","Continuar"
"Continue Shopping","Continuar a Comprar"
"Continue to Billing Information","Continuar para a Informação de Faturação"
"Country","País"
"Create Billing Address","Criar Endereço de Facturação"
"Create Shipping Address","Criar Morada de Envio"
"Customer Information","Informação do Cliente"
"Data saving problem","Erro a gravar os dados"
"Default Billing","Faturação Pré-definida"
"Default Shipping","Envio Pré-definido"
"Delete Condition","Apagar Condição"
"Details","Detalhes"
"Disabled","Inativo"
"Display Cart Summary","Mostrar Resumo do Carrinho"
"Display item quantities","Mostrar as quantidades dos artigos"
"Display number of items in cart","Mostrar o número de itens no carrinho"
"Edit","Editar"
"Edit Address","Editar Morada"
"Edit Billing Address","Editar o endereço de facturação"
"Edit Condition","Editar Condição"
"Edit Items","Editar Itens"
"Edit Shipping Address","Editar Morada de Envio"
"Edit Terms and Conditions","Editar Termos e Condições"
"Edit Your Cart","Editar O Seu Carrinho"
"Edit item parameters","Editar os parâmetros do item"
"Email Address","Endereço de Email"
"Enable Onepage Checkout","Ativar Pagamento numa única Página"
"Enable Terms and Conditions","Ativar Termos e Condições"
"Enabled","Ativo"
"Enter a New Address","Insira uma Nova Morada"
"Estimate Shipping and Tax","Calcular Portes e Impostos"
"Excl. Tax","Excluindo impostos"
"Forgot an Item?","Esqueceu-se de um Item?"
"Forgot your password?","Esqueceu-se da sua palavra-passe?"
"Gift Message","Mensagem da Oferta"
"Grand Total:","Total:"
"Grouped Product Image","Imagem de Produto Agrupado"
"ID","Id."
"Incl. Tax","Imposto incl."
"Items","Itens"
"Load customer quote error","Erro ao carregar o orçamento do cliente"
"Login","Iniciar Sessão"
"Terms and Conditions","Termos e Condições"
"Move","Mover"
"Move to Wishlist","Mover para a Lista de Desejos"
"My Cart","O Meu Carrinho"
"My Cart Link","Link para O Meu Carrinho"
"New Address","Nova Morada"
"New Condition","Nova Condição"
"New Terms and Conditions","Novos Termos e Condições"
"No Payment Methods","Não há métodos de pagamento"
"Order #","Encomenda #"
"Order Review","Revisão da Encomenda"
"Order Success","Encomenda Bem-sucedida"
"Password","Palavra-passe"
"Payment Failed Email Sender","Remetente de Emails de Falha de Pagamento"
"Payment Failed Emails","Emails de Falha de Pagamento"
"Payment Failed Template","Template de Falha de Pagamento"
"Payment Information","Informação do Pagamento"
"Payment Method","Método de Pagamento"
"Place Order","Encomendar"
"Please agree to all Terms and Conditions before placing the order.","Por favor concorde com todos os termos e condições antes de fazer a encomenda."
"Please agree to all the terms and conditions before placing the order.","Por favor concorde com todos os termos e condições antes de confirmar a encomenda."
"Please select region, state or province","Por favor selecione a região, concelho ou distrito"
"Price","Preço"
"Proceed to Checkout","Avançar para Finalizar Compra"
"Product","Produto"
"Product Name","Nome do Produto"
"Products","Produtos"
"Qty","Qtd"
"Quantity","Quantidade"
"Quote Lifetime (days)","Tempo de Vida de Orçamento (dias)"
"Recently added item(s)","Itens adicionados recentemente"
"Remove Item","Remover Item"
"Remove This Item","Remover Este Item"
"Remove item","Remover item"
"Review Order","Revisão da Encomenda"
"SKU","REF"
"Sales","Vendas"
"Save Condition","Gravar Condição"
"Save in address book","Gravar no livro de endereços"
"See price before order confirmation.","Consulte o preço antes da confirmar a encomenda."
"Select Address","Seleccionar Morada"
"Select Addresses","Selecionar Moradas"
"Select Shipping Method","Selecionar Modo de Envio"
"Select a shipping address from your address book or enter a new address.","Selecione uma morada de envio do seu livro de endereços ou introduza uma nova morada."
"Send Payment Failed Email Copy Method","Método de Cópia do Email de Falha de Pagamento"
"Send Payment Failed Email Copy To","Enviar Cópia do Email de Falha de Pagamento Para"
"Send To","Enviar Para"
"Separate by "","".","Separados por "",""."
"Ship to Multiple Addresses","Enviar para vários endereços"
"Shipping Address","Morada de Envio"
"Shipping Information","Informação de Envio"
"Shipping Method","Modo de Envio"
"Shipping Methods","Métodos de Envio"
"Shipping To","Enviar Para"
"Shopping Cart","Carrinho de compras"
"Show Content as","Mostrar Conteúdo como"
"State/Province","Concelho/Distrito"
"Status","Estado"
"Store View","Vista da Loja"
"Street Address","Morada"
"Submitting order information...","Submetendo a informação da encomenda..."
"Subtotal","Sub-total"
"Terms and Conditions Information","Informação dos Termos e Condições"
"Text","Texto"
"Thank you for your purchase!","Agradecemos a sua compra!"
"The product does not exist.","O produto não existe."
"This condition no longer exists.","Esta condição já não existe."
"Total for this address","Total para este endereço"
"Unit Price","Preço unitário"
"Update","Actualizar"
"Update Cart","Atualizar Carrinho"
"Update Qty &amp; Addresses","Atualizar Qtd &amp; Moradas"
"Update Shopping Cart","Atualizar Carrinho de Compras"
"VAT Number","Número de Contribuinte"
"View Shopping Cart","Ver Carrinho de Compras"
"What's this?","O que é isto?"
"You have no items in your shopping cart.","Não tem nenhum item no seu carrinho de compras."
"Zip/Postal Code","Código Postal"
"or","ou"
