"Add","הוספה"
"Add New Row","הוסף שורה חדשה"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","אותיות אלפא-נומריים, מקף ותווים תחתון מומלץ עבור הגדרת שמות קבצים. תווים לא תקין, הוחלפו ב '_'."
"An error occurred while saving the file(s).","ארעה שגיאה בזמן שמירת הקובץ(ים)."
"Availability:","זמינות:"
"Back","חזור"
"Canceled","בוטל"
"Category API","ממשק קטגוריות"
"Date","תאריך"
"Default Link Title","ברירת מחדל של כותרת הקישור"
"Default Maximum Number of Downloads","מספר הורדות המרבי המוגדר כברירת מחדל"
"Default Sample Title","כותרת ברירת מחדל לדוגמה"
"Delete","מחק"
"Disable Guest Checkout if Cart Contains Downloadable Items","לבטל רכישת אורח אם העגלה מכילה פריטיפ להורדה"
"Downloadable Information","מידע להורדה"
"Downloadable Product","מוצר להורדה"
"Downloadable Product Options","אפשרויות המוצר להורדה"
"Edit","ערוך"
"Edit item parameters","עריכת אפשרויות הפריט"
"Excl. Tax","למעט מס"
"File","קובץ"
"From:","מ:"
"Gift Message","הודעת מתנה"
"Go to <a href=""%s"">My Downloadable Products</a>","עבור ל <a href=""%s"">המוצרים המורדים שלי</a>"
"Guest checkout will only work with shareable.","רכישת אורח תופעל רק עם מוצרים משותפים."
"In stock","במלאי"
"Incl. Tax","כולל מס"
"Invalid download link type.","סוג הקישור להורדה לא חוקי."
"Invoiced","חויב"
"Links can be purchased separately","קישורים ניתן לרכוש בנפרד"
"List","רשימה"
"Max. Downloads","מקסימום הורדות"
"Message:","הודעה:"
"Move","העברה"
"My Downloadable Products","המוצרים להורדה שלי"
"Open Links in New Window","פתיחת הקישורים בחלון חדש"
"Order #","# הזמנה"
"Order Item Status to Enable Downloads","סטטוס פריט ההזמנה כדי לאפשר הורדות"
"Order id cannot be null","מזהה ההזמנה אינו יכול להיות ריק"
"Order item id cannot be null","מזהה פריט סדר אינו יכול להיות ריק"
"Ordered","הוזמן"
"Out of stock","אזל מהמלאי"
"Pending","ממתינה"
"Please log in to download your product.","אנא, התחבר כדי להוריד את המוצר שלך"
"Please set resource file and link type.","אנא הגדר את קובץ המקור וסוג הקישור."
"Please specify product link(s).","נא ציין את קישורי המוצר."
"Price","מחיר"
"Qty","כמות"
"Refunded","זוכה"
"Remaining Downloads","הורדת הנותרים"
"Remove","הסר"
"Remove Item","הסר פריט"
"SKU","מק''ט"
"Sample","דוגמה"
"See price before order confirmation.","ראה מחיר לפני אישור ההזמנה."
"Shareable","ניתן לשיתוף"
"Shipped","נשלח"
"Sorry, there was an error getting requested content. Please contact the store owner.","מצטערים, הייתה שגיאה בקבלת התוכן המבוקש. נא ליצור קשר עם בעל החנות."
"Sort Order","סדר מיון"
"Start Download","התחל הורדה"
"Status","סטטוס"
"Subtotal","סכום ביניים"
"The link has expired.","הקישור פג תוקף."
"The link is not available.","הקישור אינו זמין."
"Title","כותרת"
"To:","ל:"
"Unlimited","בלתי מוגבל"
"Update","עדכן"
"Use Content-Disposition","השתמש בתוכן ממוזג"
"Use Default Value","השתמש בערך ברירת המחדל"
"View Order","	הצג הזמנה"
"What's this?","מה זה?"
"You have not purchased any downloadable products yet.","עדיין לא רכשת כל המוצרים להורדה."
"attachment","מצורף"
"download","להורדה"
"inline","בתוך השורה"
"sample","דוגמית"
