"Active","פעיל"
"Add Attribute Mapping","תכונה - הוסף מיפוי"
"Add New Attribute","הוסף תכונה חדשה"
"Add to Google Base","הוסף ל- Google Base"
"Are you sure?","האם אתה בטוח?"
"Attribute","תכונה"
"Attribute Set","קבוצת תכונות"
"Attribute Set and Item Type","סט תכונות וסוג פריט"
"Attributes","תכונות"
"Attributes Set","סט תכונות"
"Available Products","מוצרים זמינים"
"Cannot update Google Base Item for Store '%s'","לא ניתן לעדכן פריט  Google Base בחנות '%s'"
"Captcha confirmation error: %s","שגיאה באישור ויזואלי: %s"
"Catalog","קטלוג"
"Clicks","קליקים"
"ClientLogin","התחברות לקוחות"
"Confirm","אישור"
"Current Mapping will be reloaded. Continue?","מיפוי נוכחי יטען מחדש. האם להמשיך?"
"Custom attribute, no mapping","תכונה מותאמת אישית, ללא מיפוי"
"Delete","מחק"
"Delete Mapping","מחק מיפוי"
"Edit Item Type","ערוך סוג פריט"
"Edit Item Type ""%s""","ערוך סוג פריט ""%s"""
"Error: %s","שגיאה: %s"
"Expires","פג תוקף"
"Google Base Attribute","Google Base תכונות"
"Google Base Item Type","Google Base סוג פריט"
"Google Base Item type","Google Base סוג פריט"
"Google Base Items"," פריטי Google Base"
"Hide","הסתר"
"Impr.","ייבוא"
"Invalid Product Model for Google Base Item","מודל מוצר לא תקין עבור פריט Google Base "
"Item Type was deleted","סוג הפריט נמחק"
"Item Types","סוגי פריטים"
"Items","פריטים"
"Manage Attribute Mapping","ניהול מיפוי תכונות"
"Manage Attributes","ניהול תכונות/מאפיינים"
"Manage Items","נהל פריטים"
"New Item Type","סוג פריט חדש"
"No","לא"
"No items were deleted from Google Base","לא נמחקו פריטים מ Google Base"
"No items were published","לא פורסמו פריטים"
"No products were added to Google Base","לא נוספו פריטים ל Google Base"
"Please, select Attribute Set and Google Item Type to load attributes","אנא, בחר קובץ תכונות לסוג פריטי Google כדי לטעון תכונות"
"Product Name","שם מוצר"
"Publish","פרסם"
"Published","פורסם"
"Remove","הסר"
"Save Mapping","שמור מיפוי"
"Synchronize","סינכון"
"Target Country","מדינת יעד"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","פעולה זאת תעדכן סטאטוס פריטים ותסיר מוצרים אשר אינם זמינים ב Google Base. האם להמשיך?"
"Unable to connect to Google Base. Please, check Account settings in configuration.","לא ניתן להתחבר ל Google Base. אנא, בדוק הגדרות חשבון"
"View Available Products","סקור מוצרים זמינים"
"View Item in Google Base","סקור פריט ב Google Base"
"Yes","כן"
