"Action","פעולה"
"Add Sitemap","הוספת מפת אתר"
"Always","תמיד"
"CMS Pages Options","אפשרויות דפי CMS"
"Categories Options","אפשריות קטגוריות"
"Daily","יומי"
"Edit Sitemap","עריכת מפת האתר"
"Enabled","פעיל"
"Error Email Recipient","שגיאת נמען דואר אלקטרוני"
"Error Email Sender","שגיאת שולח דואר אלקטרוני"
"Error Email Template","שגיאת תבנית דואר אלקטרוני"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","לא יכול לשמור קובץ ""%s"". בדוק שלשרת ישנה הרשאת כתיבה לתיקיית ""%s""."
"Filename","שם קובץ"
"Frequency","תדירות"
"Generate","יצירה"
"Generation Settings","מאפייני יצירה"
"Google Sitemap","Google מפת אתר של "
"Hourly","שעתי"
"ID","מזהה"
"Last Time Generated","זמן אתחול/יצירה אחרונה"
"Link for Google","קישור עבור- Google"
"Monthly","חודשי"
"Never","לעולם לא"
"New Sitemap","מפת האתר החדשה"
"Path","נתיב"
"Please create the specified folder ""%s"" before saving the sitemap.","אנא , צור את התיקייה הנדרשת  ""%s"" לפני שמירת מפת אתר."
"Please define correct path","אנא, הגדר נתיב תנכון"
"Please make sure that ""%s"" is writable by web-server.","ודא כי על השרת   ""%s""  ניתן לבצע שכתובים."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","אנא השתמש באותיות (a-z או A-Z) או בספרות (0-9) או בקו תחתון (_) בשם הקובץ. רווחים ותווים אחרים לא מורשים."
"Priority","עדיפות"
"Products Options","אפשרויות מוצרים"
"Sitemap","מפת אתר"
"Sitemap generate Warnings","אזהרות שנוצרו ממפת האתר"
"Start Time","שעת התחלה"
"Store View","תצוגת חנות"
"The priority must be between 0 and 1.","העדיפות חייבת להיות בין 0 ל-1."
"This sitemap no longer exists.","מפת אתר זו אינה קיימת יותר."
"Weekly","שבועי"
"Yearly","שנתי"
