"(Excl. Tax)","(למעט מס)"
"(Incl. Tax)","(כולל מס)"
"* Required Fields","* שדות חובה"
"Add New Address","הוסף כתובת חדשה"
"Add New Condition","הוסף תנאי חדש"
"Add to Cart","הוסף לסל"
"Add to Compare","הוסף להשוואה"
"Add to Wishlist","הוספה למועדפים"
"Address","כתובת"
"Address %s of %s","כתובת %s של %s"
"After Adding a Product Redirect to Shopping Cart","לאחר הוספת מוצר הפנה לעגלת קניות"
"Allow Guest Checkout","אפשר תשלום בתור אורח"
"Already registered?","האם הינך כבר רשום?"
"An error occurred in the process of payment","ארעה שגיאה בתהליך התשלום"
"Apply","החל"
"Apply Coupon","השתמש בקופון"
"Are you sure you would like to remove this item from the shopping cart?","האם להסיר פריט זה מעגלת הקניות?"
"Back","חזור"
"Back to Billing Information","חזרה לפרטי חיוב"
"Back to Select Addresses","חזרה לבחירת כתובות"
"Back to Shipping Information","חזרה למידע עבור השילוח"
"Back to Shopping Cart","חזרה אל עגלת קניות"
"Based on your selection, you may be interested in the following items:","משתמשים אחרים שרכשו פריט זה, רכשו גם את הפריטים הבאים:"
"Billing Address","כתובת חיוב"
"Billing Information","פרטי חיוב"
"Billing Information - %s","פרטי תשלום - %s"
"Cancel","ביטול"
"Cancel Coupon","בטל קופון"
"Cannot process the item.","אין אפשרות לעבד את הפריט."
"Card Verification Number Visual Reference","מדריך כיצד לאמת את מספר הכרטיס"
"Cart Subtotal:","סיכום ביניים של העגלה"
"Change","שינוי"
"Change Billing Address","שנה כתובת לחיוב"
"Checkbox Text","תיבת סימון הטקסט"
"Checkout","קופה"
"Checkout Conditions","תנאי הקופה"
"Checkout Options","אפשרויות קופה"
"Checkout Section","איזור - מעבר לקופה"
"Checkout Terms and Conditions","התנאים וההגבלות של הקופה"
"Checkout as Guest","שלם כאורח"
"Checkout as a Guest or Register","שלם כאורח או הירשם"
"Checkout with Multiple Addresses","בצע תשלום עבור מספר כתובות"
"City","עיר"
"Clear Shopping Cart","ניקוי עגלת קניות"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","לחץ <a href=""%s"" onclick=""this.target='_blank'"">כאן כדי להדפיס</a>פרטי הזמנה."
"Close","סגור"
"Company","חברה"
"Condition Name","שם התנאי"
"Configurable Product Image","תמונת מוצר מורכב"
"Confirm Password","אימות סיסמה"
"Content","תוכן"
"Content Height","גובה התוכן"
"Content Height (css)","גובה התוכן (css)"
"Continue","המשך"
"Continue Shopping","המשך בקניות"
"Continue to Billing Information","המשך לפרטי חיוב"
"Continue to Review Your Order","המשך לבחון את הזמנתך"
"Continue to Shipping Information","המשך למידע על משלוח"
"Country","ארץ"
"Coupon code ""%s"" is not valid.","קוד קופון ""%s"" אינו חוקי."
"Create Billing Address","ליצור כתובת חיוב"
"Create Shipping Address","ליצור כתובת למשלוח"
"Customer Information","פרטים על הלקוח"
"Data saving problem","שגיאה בשמירת המידע"
