"Actions","פעולות"
"Active","פעיל"
"Add New Rule","הוסף כלל חדש"
"Alphabetical","אלפאביתי"
"Alphanumeric","אלפאנומרי"
"Apply","החל"
"Apply To","החל ל"
"Apply the rule only if the following conditions are met (leave blank for all products)","הפעל חוק בתנאים הבאים (השאר ריק להפעלה על כל המוצרים)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","הפעל חוק על פריטי העגלה שתואמים את התנאים הבאים (השאר ריק להפעלה על כל הפריטים)"
"Apply the rule to cart items matching the following conditions","הפעל חוק על פריטי העגלה שתואמים את התנאים הבאים"
"Are you sure you want to delete the selected coupon(s)?","האם אתה בטוח שברצונך למחוק את הקופונים שנבחרו?"
"Auto","אוטומטי"
"Buy X get Y free (discount amount is Y)","קנה X קבל Y בחינם (ההנחה היא Y)"
"By Fixed value","על ידי ערך קבוע"
"By Percentage","לפי אחוזים"
"Can't acquire coupon.","אין גישה לקופון."
"Cart Attribute","תכונות עגלת קניות"
"Catalog","קטלוג"
"Code Format","פורמט קוד"
"Code Length","אורך קוד"
"Code Prefix","קידומת קוד"
"Code Suffix","סיומת קוד"
"Conditions","תנאים"
"Conditions combination","שילוב תנאים"
"Coupon","קופון"
"Coupon Code","קוד קופון"
"Coupon Qty","כמות קופון"
"Created On","נוצר ב"
"Customer Groups","קבוצות לקוחות"
"Date Expire","תאריך פג תוקף"
"Date Start","תאריך התחלה"
"Default Label","תוית ברירת מחדל"
"Description","תיאור"
"Discount Amount","סכום הנחה"
"Discount Qty Step (Buy X)","מדרגת הנחה לכמות (קנה X)"
"Edit Rule","ערוך כלל"
"Edit Rule '%s'","ערוך חוק '%s'"
"FOUND","נמצא"
"Fixed amount discount","הנחה לכמות קבועה"
"Fixed amount discount for whole cart","הנחה לכמות קבועה - לכל העגלה"
"For matching items only","לפריטים תואמים בלבד"
"For shipment with matching items","עבור משלוח עם כתובות תואמות"
"Free Shipping","משלוח חינם"
"From Date","מתאריך"
"General Information","מידע כללי"
"Generate","יצירה"
"ID","מזהה"
"If empty no separation.","במידה וריק ללא הפרדה."
"Inactive","לא פעיל"
"Labels","תויות"
"NOT FOUND","לא נמצא"
"NOT LOGGED IN","לא מחובר/ת"
"New Rule","כלל חדש"
"No","לא"
"No Coupon","ללא קופון"
"Number of Uses","מספר השימושים"
"Numeric","ממוספר"
"Payment Method","שיטת התשלום"
"Percent of product price discount","אחוז הנחה ממחיר המוצר"
"Period","תקופה"
"Price in cart","מחיר לסל"
"Priority","עדיפות"
"Product attribute combination","קומבינציה של תכונות מוצר"
"Products subselection","תתי בחירות של מוצרים"
"Promotions","מבצעים"
"Public In RSS Feed","פומבי בפיד RSS"
"Quantity in cart","כמות בעגלת הקניות"
"Row total in cart","סה""כ פריטים לסל"
"Rule Information","מידע על הכלל"
"Rule Name","שם כלל"
"Rule is not defined","כלל לא מוגדר"
"Save and Continue Edit","שמור והמשך בעריכה"
"Shipping Country","ארץ המשלוח"
"Shipping Method","שיטת משלוח"
"Shipping Postcode","שילוח - מיקוד"
"Shipping Region","שילוח - איזור"
"Shipping State/Province","שילוח - מדינה/מחוז"
"Shopping Cart Price Rule","עגלת קניות - חוקי מחיר"
"Shopping Cart Price Rules","עגלת קניות - חוקי מחיר"
"Special Price","מחיר מיוחד"
"Specific Coupon","קופון ספציפי"
"Status","סטטוס"
"Subtotal","סכום ביניים"
"This rule no longer exists.","הכלל לא קיים יותר."
"Times Used","מספר שימושים"
"To Date","עד לתאריך"
"To Fixed Value","לערך קבוע"
"To Percentage","אחוז"
"Total","סה""כ"
"Total Amount","סכום כולל"
"Total Items Quantity","סה""כ כמות פריטים"
"Total Weight","המשקל הכולל"
"Update prices using the following information","עדכן מחירים באמצעות שימוש במידע הבא"
"Update product's %s %s: %s","עדכן מוצר %s %s: %s"
"Update the Product","עדכון המוצר"
"Used","בשימוש"
"Uses per Coupon","שימוש עבור קופון"
"Uses per Customer","שימשו עבור לקוח"
"Website","אתר"
"Websites","אתרים"
"Yes","כן"
"total amount","סך הכל"
"total quantity","כמות כוללת"
