"15 minutes","15 דקות"
"20 minutes","20 דקות"
"Cron (Scheduled Tasks) - all the times are in minutes","משימות מתוכננות (cron) – כל הזמנים בדקות"
"Daily","יומי"
"Failure History Lifetime","כשל היסטוריה תמידיים"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","כדי שיווצרו כתובות URL תקינות במהלך הרצת cron ודאו כי האתר> מאובטח וכתובת URL בסיסיות מוגדרות כלא מאובטחות"
"Generate Schedules Every","ליצור לוחות זמנים בכל"
"History Cleanup Every","ניקוי היסטוריה בכל"
"Hourly","שעתי"
"Invalid callback: %s::%s does not exist","קולבק (callback) לא תקין: %s::%s לא קיים"
"Invalid model/method definition, expecting ""model/class::method"".","  הגדרות שיטה/מודל לא תקין/, נדרש  ""model/class::method""."
"Missed if Not Run Within","חסר או לא יירוץ עם"
"Monthly","חודשי"
"No callbacks found","לא נמצאו קריאות קולבק (callbacks)"
"Schedule Ahead for","לוח זמנים מראש עבור"
"Success History Lifetime","היסטוריה עם הצלחה תמידית"
"Weekly","שבועי"
