"Add","הוספה"
"Add New Role","הוסף תפקיד חדש"
"Admin","ממשק ניהול"
"Allow","אפשר"
"Assigned","הוקצה"
"Attribute Set","קבוצת תכונות"
"Attributes","תכונות"
"Automatically Return Credit Memo Item to Stock","להחזיר באופן אוטומטי אשראי תזכיר עבור פריט במלאי"
"Back","חזור"
"Backorders","ממתינים"
"Base Currency","מטבע הבסיס"
"Catalog","קטלוג"
"Category ID","המזהה של הקטגוריה"
"City","עיר"
"Company","חברה"
"Country","ארץ"
"Coupon Code","קוד קופון"
"Create","יצירה"
"Create Permanent Redirect for old URL","צור הפנייה קבועה עבור כתובת ישנה"
"Customer","לקוח"
"Customer Address","כתובת לקוח"
"Customer First Name","השם הפרטי של הלקוח"
"Customer Last Name","שם המשפחה של הלקוח"
"Delete","מחק"
"Deny","דחה"
"Discount","הנחה"
"Discount Amount","סכום הנחה"
"Edit","ערוך"
"Edit Role","ערוך תפקיד"
"Email","דואר אלקטרוני"
"Enable Qty Increments","לאפשר כמות בהפרשים קבועים"
"Exclude","הוצא"
"File Name","שם קובץ"
"First Name","שם פרטי"
"Gift Message","הודעת מתנה"
"Grand Total","הסכום הכולל"
"Group","קבוצה"
"Guest","אורח"
"ID","מזהה"
"Label","תווית"
"Last Name","שם משפחה"
"Manage Stock","ניהול מלאי"
"Maximum Qty Allowed in Shopping Cart","כמות מרבית המותרת בעגלת הקניות"
"Minimum Qty Allowed in Shopping Cart","כמות מינימלית המותרת בעגלת הקניות"
"New Role","תפקיד חדש"
"Notify for Quantity Below","הודעה עבור כמות מתחת"
"Order","הזמנה"
"Order Comments","הערות הזמנה"
"Order Date","תאריך הזמנה"
"Order ID","מספר הזמנה"
"Order Status","סטטוס הזמנה"
"Orders","הזמנות"
"Original Price","מחיר מקורי"
"Payment Method","שיטת התשלום"
"Phone Number","מספר טלפון"
"Placed from IP","מוקם מ IP"
"Position","מיקום"
"Price","מחיר"
"Product","מוצר"
"Product ID","מזהה מוצר"
"Product Type","סוג מוצר"
"Qty","כמות"
"Qty Increments","כמות בהפרשים קבועים"
"Qty Uses Decimals","כמות משתמשת בנקודה עשרונית"
"Role Info","פרטי תפקיד"
"Role Information","מידע על התפקיד"
"Role Name","שם התפקיד"
"Role Users","תפקידי משתמשים"
"Roles","תפקידים"
"SKU","מק''ט"
"Sales","מכירות"
"Save","שמור"
"Shipping Amount","תעריף המשלוח"
"Shipping Method","שיטת משלוח"
"State","איזור"
"Stock Availability","זמינות המלאי"
"Stock Status","סטטוס מלאי"
"Store Name","שם החנות"
"Subtotal","סכום ביניים"
"System","מערכת"
"Tax Amount","סכום המס"
"Tax Percent","אחוז מע""מ"
"Tax Rate","שיעור מס"
"Total Due","סה""כ חוב"
"Total Paid","סה""כ שולם"
"Total Refunded","סה""כ הוחזר"
"Type","סוג"
"URL","כתובות URL"
"Update","עדכן"
"Web Services","שירותי רשת"
"Web services","שירותי רשת"
"ZIP/Postal Code","מיקוד"
