"Add Option","הוסף אפשרות"
"Attempt to add an invalid object","ניסיון להוסיף אובייקט שגוי"
"Attribute Code","קוד תכונה"
"Attribute Label","תווית תכונה"
"Attribute Properties","מאפייני תכונה"
"Attribute object is undefined","אובייקט התכונה אינו מוגדר"
"Attribute with the same code","תכונה עם אותו הקוד"
"Catalog Input Type for Store Owner","סוג הקלט של הקטלוג עבור בעל חנות"
"Data integrity: No header row found for attribute","תקינות נתונים: לא נמצאה שורת כותרות לתכונה"
"Date","תאריך"
"Decimal Number","מספר עשרוני"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","מיון מוצרים לפי ברירת מחדל לא קיים במיון רשימת מוצרים זמינים."
"Default Value","ערך ברירת מחדל"
"Default option value is not defined","ערך ברירת מחדל לא מוגדר"
"Delete","מחק"
"Dropdown","רשימה נפתחת"
"Email","דואר אלקטרוני"
"Entity is not initialized","ישות לא אותחלה"
"Entity object is undefined","יישות האובייקט אינה מוגדרת"
"Form Element with the same attribute","רכיב טופס עם אותה תכונה"
"Form Fieldset with the same code","סט שדות בטופס עם אותו קוד"
"Form Type with the same code","סוג טופס עם אותו קוד"
"Frontend label is not defined","תווית צד קדמי לא מוגדרת"
"Input Validation for Store Owner","אימות קלט עבור בעל חנות"
"Integer Number","מספר שלם"
"Invalid alias, already exists in joint attributes","כינוי לא חוקי, כבר קיימת בתכונות משותפות"
"Invalid attribute name: %s","שם מאפיין לא תקני %s"
"Invalid attribute requested: %s","בקשה לא תקנית למאפיין %s"
"Invalid attribute type","סוג מאפיין לא תקני"
"Invalid character encountered in increment ID: %s","תווים לא תקינים בקוד תוספת: %s"
"Invalid date","תאריך לא תקין"
"Invalid entity specified","צוינה יישות לא תקינה"
"Invalid entity_type specified: %s","צוין סוג יישות לא תקין: %s"
"Invalid joint fields","שדות משותפים לא חוקים"
"Invalid store specified","צויינה חנות שגויה"
"Joint field or attribute expression with this alias is already declared","הביטוי של שדה או התכונה המשותפת עם כינוי זה הוצהר בעבר"
"Letters","אותיות"
"Letters (a-z, A-Z) or Numbers (0-9)","אותיות (a-z, A-Z) או מספרים (0-9)"
"Loaded %d records","%d רשומות נטענו"
"Multiple Select","בחירה מרובה"
"No","לא"
"No options found in config node %s","לא נמצאו אפשרויות בהגדרות node %s"
"None","ללא"
"Not shared with other products","לא משותף עם מוצרים אחרים"
"Problem loading the collection, aborting. Error: %s","שגיאה בטעינת אוסף, מבטל. שגיאה: %s"
"Problem saving the collection, aborting. Error: %s","בעייה בשמירת אוסף, מבטל פעולה. שגיאה: %s"
"Required","נדרש"
"System","מערכת"
"Text Area","אזור טקסט"
"Text Field","שדה טקסט"
"URL","כתובות URL"
"Unique Value","ערך ייחודי"
"Unique Value (not shared with other products)","ערך ייחודי (לא ישותף עם מוצרים אחרים)"
"Unknown parameter","פרמטר לא ידוע"
"Values Required","הערכים הנדרשים"
"Wrong attribute group ID","מזהה ID קבוצת מאפיינים שגוי "
"Wrong attribute set ID","קוד סט מאפיינים שגוי"
"Yes","כן"
"Yes/No","כן/לא"
