"Alert Email Sender","התרע אימייל השולח"
"Alert subscription has been saved.","התראת המנוי נשמרה."
"Allow Alert When Product Price Changes","אפשר התראה כאשר מחיר המוצר משתנה"
"Click here not to receive alerts for this product","לחץ כאן כדי להפסיק לקבל התרעות לגבי מוצר זה"
"Error Email Recipient","שגיאת נמען דואר אלקטרוני"
"Error Email Sender","שגיאת שולח דואר אלקטרוני"
"Error Email Template","שגיאת תבנית דואר אלקטרוני"
"Frequency","תדירות"
"Price Alert Email Template","תבנית דואר אלקטרוני להתראות מחיר"
"Price:","מחיר:"
"Product Alerts","התראות מוצר"
"Product Alerts Run Settings","הגדרות הרצת התרעות מוצרים"
"Product alerts Cron error","שגיאת cron של התרעות מוצר"
"Product price alert","תזכורת מחיר מוצר"
"Product stock alert","תזכורת מלאי למוצר"
"Regular Price:","מחיר רגיל:"
"Sign up for price alert","הרשם לתזכורת מחיר"
"Sign up to get notified when this product is back in stock","הרשם כדי לקבל תזכורת כאשר מוצר זה יהיה במלאי"
"Special price:","מחיר מבצע:"
"Start Time","שעת התחלה"
"The product was not found.","המוצר לא נמצא."
"Unable to update the alert subscription.","אין אפשרות לעדכן את התראת המנוי."
"Unsubscribe from all price alerts","הסר רישום מכל תזכורות מחיר"
"Unsubscribe from all stock alerts","הסרה מכל התראות המלאי"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","ביקשת לקבל תזכורת כאשר המוצרים הבאים חוזרים למלאי:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","ביקשת לקבל תזכורות כאשר מחירי המוצרים הבאים משתנים:"
"You will no longer receive price alerts for this product.","כבר לא תקבל התראות מחיר עבור מוצר זה."
"You will no longer receive stock alerts for this product.","לא תישלחנה התראות מלאי עבור מוצר זה."
"You will no longer receive stock alerts.","כבר לא תקבל התראות עבור המלאי."
