"* Required Fields","* שדות חובה"
"Address","כתובת"
"Address Information","מידע אודות כתובת"
"Already registered?","האם הינך כבר רשום?"
"Back","חזור"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","ביצירת חשבון בחנות זו, תוכל לבצע תשלום בצורה מהירה יותר, להזין מספר כתובות למשלוח, לעקוב אחר הזמנותיך וכו'."
"Checkout as Guest","שלם כאורח"
"Checkout as a Guest or Register","שלם כאורח או הירשם"
"City","עיר"
"Close","סגור"
"Company","חברה"
"Confirm Password","אימות סיסמה"
"Continue","המשך"
"Country","ארץ"
"Create an Account","יצירת חשבון"
"Easy access to your order history and status","גישה קלה להיסטוריית ההזמנות והסטאטוס"
"Email Address","כתובת דוא""ל"
"Enable ""Remember Me""","אפשר ""זכור אותי"""
"Enable Persistence","לאפשר שימור נתונים"
"Fast and easy check out","תשלום מהיר וקל"
"Fax","פקס"
"Forgot Your Password?","שכחת סיסמה?"
"Forgot your password?","שכחת סיסמה?"
"General Options","אפשרויות כלליות"
"If you have an account with us, please log in.","אם הינך משתמש רשום, אנא היכנס."
"Loading next step...","טוען שלב הבא..."
"Login","כניסה"
"Login Information","פרטי כניסה"
"Login or Create an Account","היכנס או צור חשבון"
"New Customers","לקוחות חדשים"
"Password","סיסמה"
"Persist Shopping Cart","עגלת קניות תמידית"
"Persistent Shopping Cart","עגלת הקניות תמידית"
"Personal Information","פרטים אישיים"
"Please log in below:","אנא התחבר (בתחתית):"
"Please select region, state or province","נא בחר מדינה, אזור או מחוז"
"Register","הירשם"
"Register and save time!","הירשם וחסוך זמן!"
"Register to Create an Account","הרשם כדי ליצור חשבון"
"Register with us for future convenience:","הרשם לשירות שלנו למען נוחיותך בעתיד:"
"Registered Customers","לקוחות רשומים"
"Remember Me","זכור אותי"
"Save in address book","שמור בספר הכתובות"
"Select State/Province...","בחר אזורמחוז..."
"Select a billing address from your address book or enter a new address.","בחר כתובת למשלוח מספר הכתובת שלך או שהכנס <a href=""#"" onclick=""billing.newAddress(true); return false;"">כתובת חדשה</a>."
"Ship to different address","שלח לכתובת שונה"
"Ship to this address","שלח לכתובת זו"
"Sign Up for Newsletter","הרשמה לניוזלטר"
"State/Province","מדינה/מחוז"
"Street Address","כתובת רחוב"
"Submit","שליחה"
"Telephone","טלפון"
"VAT Number","מספר המע""מ"
"Welcome, %s!","s%, ברוך הבא!"
"What's this?","מה זה?"
"Zip/Postal Code","מיקוד"
