"# of Use","# שימוש"
"%1$s incl tax.","%1$s כולל מס."
"%s Item(s)","%s מוצר(ים)"
"(Copy data from: %s)","(העתק נתונים מ: %s)"
"* Required Fields","* שדות חובה"
"-- Please Select --","-- אנא בחר --"
"A group with the same name already exists.","קבוצה עם שם זהה כבר קיימת."
"A name is required","נדרש שם"
"A product type is not defined for the indexer.","סוג המוצר אינו מוגדר עבור בונה האינדקסים."
"ALL GROUPS","כל הקבוצות"
"Action","פעולה"
"Actual Price","מחיר עכשוויי"
"Add","הוספה"
"Add Attribute","הוסף תכונה"
"Add Design Change","הוסף שינויי עיצוב"
"Add Group","הוסף קבוצה"
"Add New","הוסף חדש"
"Add New Attribute","הוסף תכונה חדשה"
"Add New Attribute Set","הוסף קבוצת תכונות חדשה"
"Add New Group","הוסף קבוצה חדשה"
"Add New Images","הוסף תמונות חדשות"
"Add New Option","הוסף אפשרות חדשה"
"Add New Row","הוסף שורה חדשה"
"Add New Search Term","הוסף מונח חיפוש חדש"
"Add New Set","סט חדש"
"Add Product","הוסף מוצר"
"Add Product To Websites","הוסף מוצר לאתרים"
"Add Root Category","הוסף קטגוריה ראשית"
"Add Subcategory","הוסף קטגוריה משנית"
"Add Tax","הוסף מס"
"Add Tier","הוסף שכבה"
"Add to Cart","הוסף לסל"
"Add to Compare","הוסף להשוואה"
"Add to Wishlist","הוספה למועדפים"
"Additional Information","מידע נוסף"
"All","הכל"
"All Product Types","כל סוגי המוצרים"
"All Websites","כל האתרים"
"All products","כל המוצרים"
"All products - recently added products, New products - products marked as new","כל המוצרים - מוצרים שהוספו לאחרונה, מוצרים חדשים - המוצרים מסומנים כמו חדש"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","כל המוצרים של סט זה ימחקו! האם למחוק את סט התכונות?"
"Allow All Products per Page","לאפשר את כל המוצרים עבור כל עמוד"
"Allowed File Extensions","סיומות קבצים מורשות"
"Allowed file extensions to upload","סיומות קבצים מורשות להעלאה לשרת"
"Amount","סכום"
"Anchor Custom Text","קישור טקסט מותאם אישית"
"Anchor Custom Title","קישור כותרת מותאם אישית"
"Apply To","החל ל"
"Approved","אושרה"
"Are you sure you want to delete this category?","האם אתה בטוח שברצונך למחוק את הקטגוריה?"
"Are you sure you would like to remove all products from your comparison?","האם להסיר את כל המוצרים ממנגנון השוואת המוצרים?"
"Are you sure you would like to remove this item from the compare products?","האם להסיר פריט זה ממנגנון השוואת המוצרים?"
"Are you sure?","האם אתה בטוח?"
"As low as:","נמוך עד לרמה של:"
"Assign","שיוך"
"Assign product link","שייך לינק למוצר"
"Assign product to category","שייך מוצר לקטגוריה"
"Assigned Products","מוצרים משוייכים"
"Associated Products","מוצרים משויכים"
"Attrib. Set Name","מאפיין - קבע שם"
"Attribute Information","מידע אודות תכונה"
"Attribute Model","תכונה - מודל"
"Attribute Name:","שם תכונה:"
"Attribute Set","קבוצת תכונות"
"Attribute Sets","קבוצות תכונות"
"Attribute with the same code already exists","מאפיין עם קוד זהה כבר קיים"
"Attributes","תכונות"
"Attrribute names can be specified per store.","שמות תכונה יכולים להקבע פר חנות"
"Autogenerate","צור אוטומטית"
"Availability:","זמינות:"
"Back","חזור"
"Backend Model","מודל צד אחורי"
"Backend Table","טבלת צד אחורי"
"Backend Table Title","כותרת טבלת צד אחורי"
"Backorders","ממתינים"
"Based On","בהתבסס על"
"Before Order Confirmation","לפני אישור הזמנה"
"Best Value","הערך הגבוה ביותר"
"Block after Info Column","בלוק לאחר עמודת מידע"
"Bottom/Left","למטה / שמאלה"
"Bottom/Right","למטה / ימינה"
"Browse By","דפדף לפי"
"Bundle Items","מוצרי באנדל"
"Buy %1$s for %2$s","קנה %1$s עבור %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","קנה %1$s עבור %2$s (כולל מס %3$s) ליחידה"
"Buy %1$s for %2$s each","קנה %1$s עבור %2$s ליחידה"
"Cache Lifetime (Seconds)","תקופת חיים של המטמון (שניות)"
"Can be used only with catalog input type Dropdown","ניתן להשתמש רק עם קלט קטלוג מסוג Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","ניתן להשתמש רק עם קלט קטלוג מסוג Dropdown, בחירה מרובה ומחיר"
"Can't create image.","לא יכול ליצור תמונה."
"Cancel","ביטול"
"Cart Item Attribute","תכונות פריט בעגלה"
"Catalog","קטלוג"
"Catalog Category Link","קישור קטגוריית קטלוג"
"Catalog New Products List","רשימת המוצרים החדשים בקטלוג"
"Catalog Price Scope","טווח מחירי קטלוג"
"Catalog Product Link","קישור מוצר קטלוגי"
"Catalog, Search","קטלוג, חיפוש"
"Categories","קטגוריות"
"Categories Sitemap","מפת אתר לקטגוריות"
"Category","קטגוריה"
"Category API","ממשק קטגוריות"
"Category Data","נתוני קטגוריה"
"Category Flat Data","נתוני קטגוריה Flat"
"Category Link Block Template","תבנית של קישור קטגוריה חסום"
"Category Link Inline Template","תבנית קישור של קטגוריה בשורה"
"Category Products","מוצרים בקטגוריה"
"Category Top Navigation","הניווט העליון של קטגוריה"
"Category URL Suffix","סיומת כתובת URL לקטגוריה"
"Category attributes API","תכנות ממשק קטגוריות"
"Category move error","שגיאה בהזזת קטגוריה"
"Center","מרכז"
"Change","שינוי"
"Change or Retrieve attribute store view","שינוי או אחזור תכונות תצוגת חנות"
