"Authorize Only","מורשים בלבד"
"Authorize and Capture","אושר ונקלט"
"Continue Shopping","המשך בקניות"
"Debug","דיבאג"
"Email Sender","שולח דוא""ל"
"Enable","אפשר"
"Merchant ID","מספר מזהה של סוחר"
"Merchant Login","התחברות סוחר"
"New Order Status","סטטוס הזמנה חדשה"
"Payment Action","פעולת תשלום"
"Sandbox","תיבת שליחה"
"Thank you for your purchase!","תודה על הרכישה!"
"Title","כותרת"
"You will receive an order confirmation email with details of your order and a link to track its progress.","אישור הזמנה ישלח לכתובת האימייל שצויינה ובה קישור למעקב אחר התקדמות ההזמנה."
