" [deleted]"," [נמחק]"
" and ","ו/גם"
"(For US 2-letter state names)","(עבור ארה""ב - מדינה ב-2 אותיות)"
"(If left empty will be auto-generated)","(אם ריק, ייוצר אוטומטית)"
"(Leave empty for first spreadsheet)","(השאר ריק עבור הגליון הראשון)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(המוצרים יתווספו/יעודכו לחנות זו אם עמודת 'חנות' ריקה או חסרה בקובץ המיובא)"
"(Shift-)Click or drag to change value","(Shift-)Click או גרירה לשינו ערך"
"(Starting with)","(מתחיל ב)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(בבחירת 'לא' רק שדות ממופים ייובאו. בעת מיפוי השתמש ב- 'עמודה1', 'עמודה2' וכו')"
"(You have to increase php memory_limit before changing this value)","(עליך להגדיל את הגבלת זכרון ה php לפני ביצוע שינויים של ערך זה)"
"(\t for tab)","(t לטאב)"
"* Required Fields","* שדות חובה"
"- Click on any of the time parts to increase it","- לחץ על חלקי הזמן כדי להגדילם"
"- Hold mouse button on any of the above buttons for faster selection.","- השאר את כפתור העכבר לחוץ על אחד הכפתורים העליונים לבחירה מהירה."
"- Use the %s buttons to select month","- השתמש בכפתורי ה- % לבחירת חודש"
"- Use the %s, %s buttons to select year","- השתמש ב-%, כפתורי % לבחירת שנה"
"- or Shift-click to decrease it","- או Shift-click בכדי להוריד"
"- or click and drag for faster selection.","- או לחץ וגרור לבחירה מהירה יותר."
"-- Please Select --","-- אנא בחר --"
"-- Please Select a Category --","--אנא בחר קטגוריה --"
"-- Please select --","-- אנא בחר --"
"--Please Select--","-- נא לבחור --"
"1 Hour","שעה אחת"
"12 Hours","12 שעות"
"12h AM/PM","12 שעות AM/PM"
"2 Hours","שעתיים"
"24 Hours","24 שעות"
"24h","24 שעות"
"2YTD","שנתיים"
"6 Hours","6 שעות"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading""> שגיאה 404</h1> <p>דף לא נמצא.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>לתשומת לבך</strong>: Captcha תלוי רישיות."
"A user with the same user name or email already exists.","משתמש עם אותו שם משתמש או דואר אלקטרוני כבר קיים."
"About the calendar","על לוח השנה"
"Account Created in:","החשבון נוצר ב:"
