"%s's Wishlist","%s's רשימת חלומות"
"* Required Fields","* שדות חובה"
"Add All to Cart","הוסף הכל לעגלה"
"Add to Cart","הוסף לסל"
"Add to Compare","הוסף להשוואה"
"Add to Wishlist","הוספה למועדפים"
"Added From","נוסף מ"
"Are you sure you want to remove this product from your wishlist?","האם הנך בטוח שברצונך להסיר את המוצר מרשימת המוצרים האישית?"
"Are you sure you would like to remove this item from the wishlist?","האם להסיר פריט זה מרשימת החלומות?"
"Back","חזור"
"Can't save description %s","לא יכול לשמור תיאור"
"Cannot specify product.","אין אפשרות לציין מוצר."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","סמן אם ברצונך להוסיף קישור ל- RSS של רשימת החלומות"
"Click for price","לחץ לקבלת מחיר"
"Comment","הערה"
"Comment:","הערה:"
"Date Added","תאריך הוספה"
"Days in Wishlist","ימים ברשימת החלומות"
"Edit","ערוך"
"Email Sender","שולח דוא""ל"
"Email Template","תבנית דואר אלקטרוני"
"Email address can't be empty.","כתובת אימייל לא יכולה להיות ריקה."
"Email addresses, separated by commas","כתובות דוא""ל, מופרדים באמצעות פסיקים"
"Enabled","פעיל"
"General Options","אפשרויות כלליות"
"Go to Wishlist","עבור לרשימת מוצרים אישית"
"In stock","במלאי"
"Last Added Items","פריטים אחרונים שנוספו"
"Message","הודעה"
"My Wishlist","רשימת החלומות שלי"
"My Wishlist (%d item)","רשימת החלומות שלי (%d פריט)"
"My Wishlist (%d items)","רשימת החלומות שלי (%d פריטים)"
"Options Details","אפשרויות פרטים"
"Out of stock","אזל מהמלאי"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","הכנס כתובות מייל תקינות, מופרדות בפסיק, לדוגמא johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","הכנס הערה בבקשה..."
"Price","מחיר"
"Product","מוצר"
"Product Details and Comment","פרטי המוצר והערה"
"Qty","כמות"
"RSS Feed","עדכוני RSS"
"RSS link to %s's wishlist","קישור RSS לרשימת החלומות של %s"
"Remove Item","הסר פריט"
"Remove This Item","הסרת פריט זה"
"Remove item","הסר פריט"
"SKU","מק''ט"
"Share Options","אפשרויות שיתוף"
"Share Wishlist","שתף רשימת מוצרים אישית"
"Share Your Wishlist","שתף ברשימת מוצרים אישית"
"Sharing Information","שיתוף מידע"
"Update Wishlist","עדכן רשימת מוצרים אישית"
"User Description","תיאור משתמש"
"View Details","הצגת פרטים"
"View Product","הצג מוצר"
"What's this?","מה זה?"
"Wishlist","מועדפים"
"Wishlist Sharing","שיתוף רשימת מוצרים אישית"
"Wishlist is empty now.","רשימת החלומות ריקה כעת."
"You have no items in your wishlist.","אין פריטים ברשימת מוצרים אישית."
