"Abandoned carts","עגלות נטושות"
"Action","פעולה"
"Add to Cart","הוסף לסל"
"Add to Compare","הוסף להשוואה"
"Add to Wishlist","הוספה למועדפים"
"Any","כל"
"Applied Coupon","ממש קופון"
"Are you sure?","האם אתה בטוח?"
"Bestsellers","הנמכרים ביותר"
"Bought from wishlists","נקנה מרשימת החלומות"
"Carts","עגלות"
"Coupons","קופונים"
"Created At","נוצר ב-"
"Current Month Starts","החודש הנוכחי מתחיל"
"Customer","לקוח"
"Customer Name","שם לקוח"
"Customer Tags","תגיות לקוח"
"Customers","לקוחות"
"Customers Report","דוח לקוחות"
"Customers Reviews","ביקורות קונים"
"Customers Tags","תגיות לקוחות"
"Customers by Orders Total","לקוחות לפי סך ההזמנות"
"Customers by number of orders","לקוחות לפי מספר ההזמנות"
"Customers by orders total","לקוחות ע""פ ערך הזמנה"
"Customers that have wishlist: %s%","לקוחות עם רשימת חלומות: %s%"
"Dashboard","לוח בקרה"
"Day","יום"
"Description","תיאור"
"Detail","מידע מפורט"
"Downloads","הורדות"
"Email","דואר אלקטרוני"
"Empty Rows","שורות ריקות"
"Filter","סינון"
"First Name","שם פרטי"
"From","מ-"
"General","כללי"
"Guest","אורח"
"Hits","כניסות"
"ID","מזהה"
"IP Address","‏כתובת IP"
"Invoiced","חויב"
"Items in Cart","פריטים בסל"
"Last Name","שם משפחה"
"Last Review","משוב אחרון"
"Link","קישור"
"List of Products Recently Viewed by Visitor","רשימת המוצרים שנצפו לאחרונה על-ידי המבקרים"
"Low Stock","מלאי נמוך"
"Low stock","מלאי נמוך"
"Month","חודש"
"Most Viewed","הכי מוקלקים"
"Name","שם"
"New Accounts","חשבונות חדשים"
"No","לא"
"Number Added","כמות שהוספה"
"Number Fulfilled","כמות שהושגה/בוצעה/מולאה"
"Number Of Reviews","מספר סיקורים"
"Number Purchased","מספר רכישה"
"Number Viewed","כמות שנצפו"
"Number of Items","כמות פריטים"
"Number of New Accounts","כמות חשבונות חדשים"
"Number of Products to display","מספר המוצרים לתצוגה"
"Number of Reviews","מספר סיקורים"
"Number of Total Tags","כמות כוללת של תגים"
"Number of Unique Tags","מספר תגים ייחודיים"
"Number of Views","מספר צפיות"
"Number of items bought from a wishlist: %s","כמות פריטים שנקנתה מרשימת החלומות: %s"
"Number of times wishlists have been shared (emailed): %s","כמות הפעמים שרשימת החלומות שותפה (באימייל): %s"
"Number of wishlist conversions: %s","כמות המרות של רשימת חלומות: %s"
"Number of wishlist referrals: %s","כמות התייחסיות לרשימת החלומות: %s"
"Number of wishlists: %s","כמות רשימות חלומות: %s"
"Order Status","סטטוס הזמנה"
"Orders","הזמנות"
"Out of stock","אזל מהמלאי"
"Period","תקופה"
"Poducts Report","דוח מוצרים"
"Popular Tags","תגים פופולריים"
"Popularity","פופולריות"
"Price","מחיר"
"Product Name","שם מוצר"
"Product Reviews","חוות דעת מוצרים"
"Product SKU","קוד/מק""ט מוצר"
"Product Tags","תגיות מוצר"
"Products","מוצרים"
"Products Report","דו""ח מוצרים"
"Products Reviews","סקירות מוצר"
"Products Tags","תגיות מוצרים"
"Products in carts","מוצרים בעגלות"
"Purchases","רכישות"
"Quantity Ordered","כמות מוזמנת"
"Quantity of Items","כמות פריטים"
"Recently Compared Products","מוצרים שהושוו לאחרונה"
"Recently Viewed","נצפו לאחרונה"
"Recently Viewed Products","מוצרים שנצפו לאחרונה"
"Recently Viewed/Compared Products","מוצרים שנצפו/הושוו לאחרונה"
"Refresh Statistics","סטטיסטיקת רענון"
"Refunds","זיכויים"
"Report","דוח"
"Reports","דו""חות"
"Results","תוצאות"
"Revenue","הכנסה"
"Review","חוות דעת"
"Reviews","חוות דעת"
"Reviews for %s","סקירות עבור %s"
"Sales","מכירות"
"Sales Report","דו""חות מכירות"
"Search Query","שאילתת החיפוש"
"Search Terms","מילות חיפוש"
"Select day of the month.","נא לבחור יום בחודש."
"Shipping","משלוח"
"Shopping Cart","עגלת קניות"
"Shopping Cart Price Rule","עגלת קניות - חוקי מחיר"
"Show Actual Values","הצג ערכים עכשווים"
"Show Report","הצג דו""ח"
"Show for Current","הראה עבור נוכחי"
"Specified","צוין"
"Stock Qty","כמות מלאי"
"Submitted In","נרשם ב"
"Submitted On","נרשם ב"
"Subtotal","סכום ביניים"
"Tag","תג"
"Tag ""%s"" details","פרטי תג ""%s"""
"Tag Detail","פרטי תג"
"Tag Name","שם תג"
"Tags submitted to %s","תגים שהוזנו עבור %s"
"Tax","מס"
"Title","כותרת"
"To","ל-"
"Total","סה""כ"
"Total Tags","סה""כ תגים"
"Total invoiced","סה""כ בחשבונית"
"Total refunded","סה""כ הוחזר"
"Updated At","עודכן ב"
"Visible In","גלוי ב"
"Wishlist Report","דוח רשימת החלומות"
"Wishlist vs. Regular Order","רשימת חלומות מול הזמנה רגילה"
"Wishlists","רשימות חלומות"
"Year","שנה"
"Yes","כן"
"Your Recently Compared","השוואות אחרונות"
"Your Recently Viewed","מוצרים נצפים לאחרונה"
