"%d Review(s)","%d משוב(ים)"
"%s Review(s)","%s משוב(ים)"
"(Posted on %s)","(פורסם ב %s)"
"1 star","כוכב 1"
"2 stars","2 כוכבים"
"3 stars","3 כוכבים"
"4 stars","4 כוכבים"
"5 stars","5 כוכבים"
"Add New Review","הוסף סקירה חדשה"
"Add Your Review","הוסף את חוות הדעת שלך"
"Administrator","מנהל"
"All Reviews","כל חוות הדעת"
"Approved","אושרה"
"Are you sure you want to do this?","אתה בטוח שאתה רוצה לעשות את זה?"
"Are you sure?","האם אתה בטוח?"
"Average Customer Rating","ממוצע דירוג הלקוחות"
"Average Customer Rating:","דירוג הממוצע:"
"Back","חזור"
"Back to Main Product Info","חזור לפירוט מוצר"
"Back to My Reviews","חזרה לחוות דעת שלי"
"Back to Product Reviews","חזור אל חוות דעת על המוצר"
"Be the first to review this product","היה הראשון לכתוב חוות דעת ביקורת"
"Created On","נוצר ב"
"Customer","לקוח"
"Customer Reviews","חוות דעת של לקוחות"
"Customers Reviews","ביקורות קונים"
"Delete","מחק"
"Delete Review","מחק חוות דעת"
"Detailed Rating","פירטי דירוגים"
"Edit Review '%s'","עריכת ביקורת '%s'"
"Guest","אורח"
"How do you rate this product?","איך תדרג מוצר זה?"
"ID","מזהה"
"Manage Ratings","נהל דירוגים"
"My Product Reviews","ביקורות שלי"
"My Recent Reviews","חוות דעת אחרונות שלי"
"Name","שם"
"New Review","חוות דעת חדשה"
"Nickname","כינוי"
"Not Approved","לא אושרה"
"Pending","ממתינה"
"Pending Reviews","חוות דעת בהמתנה"
"Please select a product","בחר מוצר"
"Please select one of each of the ratings above","בחר ערך מכל אחד הדירוגים הנ""ל"
"Posted By","פורסם ע""י"
"Price","מחיר"
"Product","מוצר"
"Product Name","שם מוצר"
"Product Rating","דירוג מוצר"
"Product Rating:","דירוג מוצר:"
"Product Review (submitted on %s):","<strong>סקירת מוצר</strong> (הוגשה בתאריך %s):"
"Product Reviews","חוות דעת מוצרים"
"Product SKU","קוד/מק""ט מוצר"
"Products Reviews","סקירות מוצר"
"Qty","כמות"
"Rating:","דירוג:"
"Review","חוות דעת"
"Review Details","פרטי חוות דעת מוצר"
"Review by %s","סוקר ע""י <em>%s</em>"
"Reviews","חוות דעת"
"Reviews and Ratings","סקירות ודירוגים"
"SKU","מק''ט"
"Save Review","שמור חוות דעת"
"Status","סטטוס"
"Submit Review","שלח חוות דעת מוצר"
"Summary Rating","תקציר דירוג"
"Summary of Review","תקציר חוות הדעת"
"Summary of Your Review","סיכום סקירת המוצר"
"Title","כותרת"
"Type","סוג"
"Update Status","תאריך עדכון"
"View All Reviews","הצג כל הסיקורים"
"View Details","הצגת פרטים"
"Visible In","גלוי ב"
"Websites","אתרים"
"Write Your Own Review","כתוב חוות דעת שלך"
"You have submitted no reviews.","לא הגשת אף חוות דעת."
"You're reviewing:","הנך סוקר:"
"Your Rating:","הדירוג שלך:"
"Your Review (submitted on %s):","<strong>הסיקור שלח</strong> (נשלח ב %s"
