"* Required Fields","* שדות חובה"
"Comment","הערה"
"Contact Form","טופס יצירת קשר"
"Contact Information","מידע ליצירת קשר"
"Contact Us","צור קשר"
"Contacts","אנשי קשר"
"Contacts Section","אזור אנשי קשר"
"Email","דואר אלקטרוני"
"Email Options","אפשרויות דואר אלקטרוני"
"Email Sender","שולח דוא""ל"
"Email Template","תבנית דואר אלקטרוני"
"Enable Contact Us","אפשר יצירת קשר"
"Name","שם"
"Send Emails To","שלח מייל אל"
"Submit","שליחה"
"Telephone","טלפון"
"Unable to submit your request. Please, try again later","לא יכול לבצע את בקשתך. אנא נסה מאוחר יותר."
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","קיבלנו את פנייתך ואנחנו נענה עליה בהקדם. תודה לך על שפנית אלינו"
