"-- Please Select --","-- אנא בחר --"
"Add Block Names to Hints","הוסף שם בלוק לרמזים"
"Add Secret Key to URLs","המפתח הסודי להוסיף כתובות Url"
"Add Store Code to Urls","להוסיף קוד מאגר כתובות Url"
"Admin","ממשק ניהול"
"Admin Base URL","URL בסיס של מנהל"
"Admin User Emails","מיילים למשתמש מנהל"
"Advanced","מתקדם"
"Allow Countries","לאפשר מדינות"
"Allow Symlinks","לאפשר סימלינקס"
"Allowed IPs (comma separated)","כתובות IP מותרות (מופרדות בפסיק)"
"Anchor Text for Next","טקסט עוגן עבור הבא"
"Anchor Text for Previous","עוגן טקסט עבור הקודם"
"Are you sure?","האם אתה בטוח?"
"Auto-redirect to Base URL","הפנייה אוטומטים לכתובת URL בסיסית"
"Back","חזור"
"Backup Options","אפשרויות גיבוי"
"Base JavaScript URL","כתובת בסיס ל- JavaScript"
"Base Link URL","כתובת url של קישור הבסיס"
"Base Media URL","כתובת בסיס למדיה"
"Base Skin URL","כתובת בסיס לסקינים"
"Base URL","כתובת URL בסיסית"
"Block with name ""%s"" already exists","בלוק בשם ""%s"" כבר קיים"
"Browser Capabilities Detection","זיהוי יכולות הדפדפן"
"CSS Settings","הגדרות CSS"
"Cache Storage Management","ניהול אחסון הCache"
"Can't retrieve request object","לא יכול לקבל אובייקט מבוקש"
"Cancel","ביטול"
"Cannot complete this operation from non-admin area.","לא יכול להשלים פעולה מאזור שאינו איזור ניהול"
"Card type does not match credit card number.","סוג הכרטיס אינו תואם את מספר כרטיס האשראי."
"Code","קוד"
"Controller file was loaded but class does not exist","קובץ שליטה הועלה אבל סוג לא קיים "
"Cookie Domain","דומיין cookie"
"Cookie Lifetime","תוקף הcookie"
"Cookie Path","נתיב קובץ cookie"
"Cookie Restriction Mode","Cookie במצב הגבלה"
"Copyright","זכויות יוצרים"
"Country","ארץ"
"Create Store","צור חנות"
"Create Store View","צור תצוגת חנות"
"Create Website","צור אתר אינטרנט"
"Credit card number does not match credit card type.","מספר כרטיס האשראי אינו תואם סוג כרטיס אשראי."
"Custom Admin Path","נתיבי מנהל מותאמים אישית"
"Custom Admin URL","כתובת URL מותאמת אישית של מנהל"
"Custom Design","עיצוב מותאם"
"Custom Email 1","דואר אלקטרוני מותאם אישית 1"
"Custom Email 2","דואר אלקטרוני מותאם אישית 2"
"Custom Variables","משתנים מותאמים אישית"
"Customer Support","שירות לקוחות"
"Dashboard","לוח בקרה"
"Date From","תאריך מ"
"Date To","תאריך ל"
"Date/time format ""%s"" is not supported.","פורמט תאריך/שעה ""%s"" אינו נתמך."
"Debug","דיבאג"
"Default","ברירת מחדל"
"Default Country","מדינת בררת מחדל"
"Default Description","תיאור ברירת מחדל"
"Default Keywords","ברירת מחדל למילות מפתח"
"Default No-route URL","ברירת המחדל ללא-נתיב URL"
"Default Pages","דפי ברירת מחדל"
"Default Robots","רובוטים ברירת מחדל"
"Default Store","חנות ברירת מחדל"
"Default Store View","תצוגת חנות ברירת מחדל"
"Default Title","כותרת ברירת המחדל"
"Default Web URL","כתובת url של אתר ברירת המחדל"
"Delete","מחק"
"Delete Store","מחק חנות"
"Delete Store View","מחק תצוגת חנות"
"Delete Website","מחק אתר"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","מחיקת %1$s לא תמחק את המידע המקושר עם %1$s (קטגוריות, מוצרים וכו), אבל ה- %1$s לא יוכל להיות משוחזר. מומלץ לעשות גבוי לפני המחיקה של %1$s"
"Design","עיצוב"
"Design Change","שינוי עיצובי"
"Developer","מפתח"
"Developer Client Restrictions","הגבלותת מפתח צד-לקוח"
"Disable Email Communications","אל תאפשר הודעות דואר אלקטרוני"
"Disable Modules Output","בטל את פלט המודולים"
"Display Demo Store Notice","הצגת הודעה עבור חנות הדגמה"
"Duplicate Of Template Name","שכפול של שם תבנית"
"Edit Design Change","ערוך שינוי עיצוב"
"Edit Store","ערוך חנות"
"Edit Store View","ערוך תצוגת חנות"
"Edit Website","ערוך אתר"
"Empty identifier field name","שם מזהה שדה ריק"
"Empty main table name","שם טבלה עיקרית ריק"
"Enable Charts","לאפשר תרשימים"
"Enabled","פעיל"
"Enabled for Admin","זמין עבור מנהל"
"Enabled for Frontend","מופעל באתר"
"Environment Update Time","זמן עדכון סביבה"
"Error in file: ""%s"" - %s","שגיאה בקובץ: ""%s"" - %s"
"European Union Countries","מדינות האיחוד האירופי"
"Exceptions Log File Name","שמות קובת לוג יוצא מן הכלל"
"Favicon Icon","סמל מועדפים (Favicon)"
"File system","מערכת קבצים"
"File with an extension ""%value%"" is protected and cannot be uploaded","קובץ עם הסיומת ""%value%"" מוגן ולא ניתן להעלאה"
"First Day of Week","היום הראשון בשבוע"
"Flush Cache Storage","מחיקת Cache"
"Flush OpenMage Cache","נקה Cache של מגנטו"
"Footer","כותרת תחתונה"
"Forgot Password Email Sender","שכחתי סיסמא"
"Forgot Password Email Template","תבנית עבור דואר אלקטרוני של שכחתי סיסמה"
"General","כללי"
"General Contact","איש קשר כללי"
"General Settings","הגדרות כלליות"
"Global","גלובלי"
"HTML Head"," כותרת HTML"
"Header","כותרת עליונה"
"Host","אחסון"
"How many links to display at once.","כמה קישורים להציג בו-זמנית."
