"Add Recipient","הוסף נמען"
"Allow for Guests","אפשר לאורחים"
"Back","חזור"
"Email Address","כתובת דוא""ל"
"Email Address:","כתובת דואר אלקטרוני:"
"Email Templates","תבניות אימייל"
"Email to a Friend","דואר אלקטרוני לחבר"
"Email:","דואר אלקטרוני:"
"Enabled","פעיל"
"Invalid Sender Information","פרטי שולח לא חוקיים"
"Limit Sending By","הגבל שליחת מייל ב"
"Max Products Sent in 1 Hour","מספר מוצרים מקסימלי שנשלח בשעה אחת"
"Max Recipients","מקסימום נמענים/מקבלים"
"Maximum %d email addresses allowed.","מקסימום %d כתובות אימייל מורשה."
"Message:","הודעה:"
"Name","שם"
"Name:","שם:"
"Recipient:","נמען/מקבל:"
"Remove Email","הסר אימייל"
"Send Email","שליחת הודעת דוא""ל"
"Send product to a friend","שלח מוצר לחבר"
"Sender:","השולח:"
"Some emails were not sent.","כמה מיילים לא נשלחו."
"The link to a friend was sent.","הקישור לחבר נשלח."
