"-- Please Select --","-- אנא בחר --"
"Add New Class","מחלקה חדשה"
"Add New Tax Rate","להוסיף שיעור מס חדש"
"Add New Tax Rule","הוספת חוק מס חדש"
"After Discount","לאחר הנחה"
"Apply Discount On Prices","החל הנחה על מחירים"
"Apply Tax On","החלת מס על"
"Are you sure you want to do this?","אתה בטוח שאתה רוצה לעשות את זה?"
"Back","חזור"
"Class Name","שם מחלקה"
"Code","קוד"
"Country","ארץ"
"Custom price if available","מחיר מותאם אם קיים"
"Customer Tax Class Information","לקוח - מידע מדרגת מס"
"Customer Tax Classes","לקוח - מדרגות מס"
"Default Country","מדינת בררת מחדל"
"Default Post Code","מיקוד ברירת מחדל"
"Default State","מדינת ברירת מחדל"
"Delete Class","מחק מחלקה"
"Delete Rate","מחק שער/דירוג/ערך"
"Delete Rule","מחיקת כלל"
"Display Prices","הצגת מחירים"
"Display Product Prices In Catalog","הצגת מחירי המוצרים בקטלוג"
"Display Shipping Prices","תצוגת מחירי משלוח"
"Display Subtotal","הצגת ביניים"
"Display Zero Tax Subtotal","הצג סכום אפס למס בסיכום זמני"
"Edit Class","ערוך מחלקה"
"Edit Class '%s'","ערוך מחלקה '%s'"
"Edit Rule","ערוך כלל"
"Edit Tax Rate","לערוך שיעורי מס"
"Excl. Tax","למעט מס"
"Excl. Tax:","לא כולל מס:"
"Export Tax Rates","יצוא שיעורי מס"
"Grand Total Excl. Tax","סה""כ הזמנה ללא מע""מ"
"Grand Total Incl. Tax","סה""כ הזמנה כולל מע""מ"
"Import / Export Tax Rates","ייבוא/ייצוא תערפי מע""מ"
"Import Tax Rates","ייבוא שיעורי מס"
"Inc. Tax","כולל מס"
"Incl. Tax","כולל מס"
"Incl. Tax:","כולל מס:"
"Invalid file format upload attempt","ניסיון להעלות - סוג קובץ לא תקין"
"Invalid file upload attempt","ניסיון להעלות קבצים לא חוקיים"
"Manage Customer Tax Classes","נהל דרגות מס ללקוח"
"Manage Product Tax Classes","מוצרים - ניהול מחלקות/מדרגות מס"
"Manage Tax Rates","ניהול תערפי מע""מ"
"Manage Tax Rules","ניהול כללי המס"
"Manage Tax Zones & Rates","ניהול איזורי מס ותעריפים"
"Name","שם"
"New Class","מחלקה חדשה"
"New Rule","כלל חדש"
"New Tax Rate","תעריף מס חדש"
"No","לא"
"None","ללא"
"One of the country has invalid code.","אחת מהארצות עם קוד לא תקין."
"Original price only","מחיר מקורי בלבד"
"Price Display Settings","הגדרות תצוגת מחיר"
"Priority","עדיפות"
"Product Tax Class Information","מוצר - מידע על מדרגת/מחלקת המס"
"Product Tax Classes","מוצר - מדרגות/מחלקות מס"
"Range From","טווח בין"
"Range To","טווח ל"
"Rate","תעריף"
"Rate Percent","אחוז דירוג"
"Reset","איפוס"
"Row Total","סה״כ השורה"
"Sales","מכירות"
"Save Class","שמור מחלקה"
"Save Rate","שמירת שער"
"Save Rule","שמירת חוק"
"Save and Continue Edit","שמור והמשך בעריכה"
"Shopping Cart Display Settings","הגדרות תצוגת עגלת קניות"
"Sort Order","סדר מיון"
"State","איזור"
"State/Region","אזור/מדינה"
"Subtotal (Excl. Tax)","סכום ביניים (למעט מס)"
"Subtotal (Incl. Tax)","סכום ביניים (כולל מס)"
"Tax","מס"
"Tax Class for Shipping","מחלקת/מדרגת מס לשילוח"
"Tax Classes","רמות מע""מ"
"Tax Identifier","מזהה מס"
"Tax Rate","שיעור מס"
"Tax Rate Information","פרטי שיעור המס"
"Tax Rule Information","פרטי כללהמס"
"Tax Rules","חוקי מס"
"Tax Section","איזור - מיסים"
"Tax Titles","כותרות מס"
"Tax rates at the same priority are added, others are compounded.","שיעורי מע”מ באותה העדיפות נוספו, השאר הורכבו."
"The tax rate has been imported.","שיעור המס יובא."
"This class no longer exists","מחלקה זו לא קיימת יותר"
"This rule no longer exists","חוק זה לא קיים יותר"
"This rule no longer exists.","הכלל לא קיים יותר."
"Total","סה""כ"
"Unit Price","מחיר יחידה"
"Yes","כן"
"You cannot delete this tax class as it is used for %d customer groups."," .אתה לא יכול למחוק את סוג המס בגלל שהוא בשימוש עבור קבוצות הלקוחות  %d "
"You cannot delete this tax class as it is used for %d products.","אתה לא יכול למחוק את סוג המס בכלל שהוא בשימוש עבור המוצרים  %d "
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","אתה לא יכול למחק את סוג המס בגלל שהוא בשימוש בחוקי המס. עליך קודם למחוק את החוק בו מתבצע השימוש."
"Zip/Post Code","מספר מיקוד"
"Zip/Post is Range","מיקוד הוא בטווח"
