"Add Minimum Qty","להוסיף כמות מינימלית"
"Allow Qty Below 0","לאפשר כמות של מתחת ל-0"
"Allow Qty Below 0 and Notify Customer","לאפשר כמות של מתחת ל-0 והודע ללקוח"
"Automatically Return Credit Memo Item to Stock","להחזיר באופן אוטומטי אשראי תזכיר עבור פריט במלאי"
"Backorders","ממתינים"
"By Fixed value","על ידי ערך קבוע"
"By Percentage","לפי אחוזים"
"Catalog Inventory","מלאי קטלוג"
"Decrease Stock When Order is Placed","ירידה במלאי בעת ההזמנה התקבלה"
"Display Out of Stock Products","הצג מוצרים שאזלו מהמלאי"
"Enable Qty Increments","לאפשר כמות בהפרשים קבועים"
"In Stock","במלאי"
"Inventory","מלאי"
"Inventory API","ממשק ניהול מלאי"
"Inventory Section","אגף המלאי"
"Manage Stock","ניהול מלאי"
"Maximum Qty Allowed in Shopping Cart","כמות מרבית המותרת בעגלת הקניות"
"Minimum Qty","כמות מינימלית"
"Minimum Qty Allowed in Shopping Cart","כמות מינימלית המותרת בעגלת הקניות"
"No Backorders","אין הזמנות חזרות"
"Notify for Quantity Below","הודעה עבור כמות מתחת"
"Only X left Threshold","רק X נשאר במינימום"
"Out of Stock","אזל מהמלאי"
"Product Name","שם מוצר"
"Product Stock Options","אופציות מלאי עבור מוצר"
"Products will still be shown by direct product URLs.","המוצרים עדיין ייוצגו באמצעות כתובות Url עבור כל מוצר."
"Qty","כמות"
"Qty Increments","כמות בהפרשים קבועים"
"Retrieve stock data","אחזר מידע מלאי"
"Retrieve stock data by product ids","אחזר מידע מלאי לפי קוד מוצר"
"Rule price","כלל המחיר"
"Set Items' Status to be In Stock When Order is Cancelled","הגדר את סטטוס הפריטים להיות במלאי בעת ביטול"
"Stock Options","אופציות"
"Stock Status","סטטוס מלאי"
"The maximum quantity allowed for purchase is %s.","הכמות המקסימלית של רכישות היא  %s "
"The minimum quantity allowed for purchase is %s.","הכמות המינימלית של רכישות היא  %s "
"The requested quantity for ""%s"" is not available.","הכמות המבוקשת ל ""%s"" אינה זמינה."
"The stock item for Product in option is not valid.","פריט המנייה עבור מוצר באפשרות אינה חוקית."
"This product is currently out of stock.","המוצר לא במלאי כרגע"
"To Fixed Value","לערך קבוע"
"To Percentage","אחוז"
"Update","עדכן"
"Update product stock data","עדכן נתוני מלאי למוצר"
"Update the Product","עדכון המוצר"
