"-- Please Select --","-- אנא בחר --"
"Actions","פעולות"
"Add Layout Update","הוסף עדכון סידור"
"All","הכל"
"All Pages","כל העמודים"
"All Product Types","כל סוגי המוצרים"
"Anchor Categories","קטוגריות עם קישור"
"Apply","החל"
"Assign to Store Views","התאם לתצוגות החנות"
"Big Image","תמונה גדולה"
"CMS","ניהול תוכן"
"Categories","קטגוריות"
"Choose...","בחר..."
"Close","סגור"
"Continue","המשך"
"Delete","מחק"
"Design Package/Theme","חבילות/תבניות מעוצבות"
"Export to:","ייצוא ל-:"
"Frontend Properties","מאפייני חלק קדמי"
"Generic Pages","עמודים כלליים"
"Images","תמונות"
"Insert Widget","הכנס ווידגט"
"Layout Updates","עדכוני סידורים"
"Manage Widget Instances","ניהול מופעי ווידגט"
"New Widget Instance","הוסף מופע חדש של ווידגט"
"Next page","הדף הבא"
"Non-Anchor Categories","קטגוריות ללא קישור"
"Not Selected","לא נבחר"
"Open Chooser","לבחירה"
"Page","עמוד"
"Previous page","דף קודם"
"Products","מוצרים"
"Remove Layout Update","הסר עדכוני סידורים"
"Save and Continue Edit","שמור והמשך בעריכה"
"Select All","בחר הכל"
"Select Visible","בחר גלוי"
"Settings","הגדרות"
"Sort Order","סדר מיון"
"Specified Page","עמוד ספציפי"
"Template","תבנית"
"The information in this tab has been changed.","המידע בכרטיסיה זו השתנה."
"The widget instance has been deleted.","המופע של הווידגט נמחק."
"The widget instance has been saved.","מופע הווידגט נשמר."
"This tab contains invalid data. Please solve the problem before saving.","לשונית זו מכילה מידע לא תקין. אנא פתור את הבעיה לפני השמירה."
"Thumbnail","תמונה ממוזערת"
"Total %d records found","סה""כ %d רשומות נמצאי"
"Type","סוג"
"Unselect All","הסר הכל"
"Unselect Visible","ביטול בחירה של גלוי"
"View","הצגה"
"Widget","ווידג'ט"
"Widget ID","מספר מזהה של ווידגט"
"Widget Insertion","הכנסת ווידגט"
"Widget Options","אפשרויות ווידגט"
"Widget Type","סוג ווידגט"
"Widgets","ווידגטים"
"items selected","פריטים נבחרים"
"of %s pages","מתוך %s עמודים"
"per page","לכל עמוד"
