"API Password","סיסמת API"
"API Signature","חתימת API"
"Address","כתובת"
"Advanced Settings","הגדרות מתקדמות"
"All the address information matched","כל פרטי הכתובת מתאימים"
"Allowed Credit Card Types","סוגי כרטיסי אשראי מותרים"
"Ask Customer","שאל את הלקוח"
"Authorization","אישור"
"Auto","אוטומטי"
"Billing Information","פרטי חיוב"
"Buyer's Tax ID","מספר מזהה של המס של הקונה"
"Buyer's Tax ID Type","סוג מספר מזהה מס של הקונה"
"City","עיר"
"Close","סגור"
"Company","חברה"
"Complaint","תלונה"
"Configure","הגדר"
"Continue","המשך"
"Country","ארץ"
"Credit","אשראי"
"Custom","מותאם"
"Daily","יומי"
"Discount","הנחה"
"Display","הצג"
"Display on Shopping Cart","התצוגה על עגלת קניות"
"Dispute","מחלוקת"
"Dynamic","דינמי"
"Edit","ערוך"
"Edit Payment Information","עריכת פרטי התשלום"
"Edit Shopping Cart","עריכת עגלת קניות"
"Email Address","כתובת דוא""ל"
"Enable this Solution","לאפשר פתרון זה"
"Enabled","פעיל"
"Event","אירוע"
"Exact Match. Address and Postal Code. International","התאמה מדויקת. מיקוד וכתובת. בינלאומי"
"Express Checkout has been canceled.","תשלום באמצעות PayPal בוטל."
"Fax","פקס"
"Home Page","דף הבית"
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","אני מצטער - אבל אנחנו לא יכולים להשלים את העסקה. אנא פנה אלינו כדי שנוכל לסייע לך."
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","אני מצטער - אך לא הייתה אפשרות לעבד את התשלום שלך. נסה אמצעי תשלום אחר או צור איתנו קשר כדי שנוכל לסייע לך."
"Items in Your Shopping Cart","פריטים בעגלת הקניות שלך"
"Learn More","מידע נוסף"
"Login","כניסה"
"Matched (CVV2)","מתאימים (CVV2)"
"N/A","לא זמין"
"N/A. Service not Supported","לא זמין. השירות אינו נתמך"
"N/A. Unavailable","N/A. לא זמין"
"Never","לעולם לא"
"No","לא"
"No Details matched","אין פרטים תואמים"
"None of the address information matched","אף אחת מפרטי הכתובת מתאימים"
"Order","הזמנה"
"Order ID","מספר הזמנה"
"Page Style","סגנון עמוד"
"Part of the address information matched","חלק מפרטי הכתובת מתאימים"
"Partner","שותף"
"Password","סיסמה"
"PayPal Fee Information","פרטי עמלות PayPal"
"PayPal response hasn't required fields.","תגובת PayPal אינם שדות חובה."
"Payer Address Status","מצב כתובת המשלם"
"Payer ID","מזהה משלם"
"Payment Action","פעולת תשלום"
"Payment Method","שיטת התשלום"
"Payment transactions disallow storing objects.","תנועות התשלום לא מאפשרת אחסון אובייקטים."
"Payments by PayPal (150 X 40)","תשלומים באמצעות PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","תשלומים באמצעות PayPal (150 X 60)"
"Place Order","ביצוע הזמנה"
"Please agree to all the terms and conditions before placing the order.","בבקשה הסכם לכלל תנאי השימוש לפני ביצוע ההזמנה."
"Please select a shipping method...","אנא בחר שיטת המשלוח..."
"Please select region, state or province","נא בחר מדינה, אזור או מחוז"
"Position","מיקום"
"Price","מחיר"
"Product","מוצר"
"Product Name","שם מוצר"
"Qty","כמות"
"Reports","דו""חות"
"Require Customer's Billing Address","נדרשת כתובת החיוב של הלקוח"
"Review Order","סקירת הזמנה"
"Sale","מכירה"
"Sales","מכירות"
"Sandbox Mode","מודול Sandbox"
"Schedule","לוח זמנים"
"Shipping","משלוח"
"Shipping Address","כתובת למשלוח"
"Shipping Information","פרטי משלוח"
"Shipping Method","שיטת משלוח"
"Size","גודל"
"Sorry, no quotes are available for this order at this time.","אנו מתנצלים. בשלב זה אין הצעות מחיר להזמנה זו."
"Sort Order","סדר מיון"
"State/Province","מדינה/מחוז"
"Static","סטטי"
"Street Address","כתובת רחוב"
"Submitting order information...","מעבד פרטי הזמנה..."
"Subtotal","סכום ביניים"
"Telephone","טלפון"
"Test Mode","מצב בדיקה"
"There was an error processing your order. Please contact us or try again later.","ארעה שגיאה במהלך עיבוד ההזמנה. צור עמנו קשר או נסה שנית בזמן הקרוב."
"Title","כותרת"
"Transaction ID","מספר העברה"
"Unknown reason. Please contact PayPal customer service.","סיבה לא ידועה. אנא צרו קשר עם שירות לקוחות PayPal."
"Update Shipping Method","עדכן צורת משלוח"
"User","משתמש"
"VAT Number","מספר המע""מ"
"View","הצגה"
"View Demo","צפה בהדגמה"
"View Transaction","צפייה בעסקה"
"View Transaction Details","צפיה בפרטי הזמנה"
"Void","ריק"
"We prefer PayPal (150 X 40)","אנחנו מעדיפים PayPal (150 X 40)"
"We prefer PayPal (150 X 60)","אנחנו מעדיפים PayPal (150 X 60)"
"What is PayPal?","מה זה פייפאל?"
"Yes","כן"
"You will be redirected to the PayPal website.","בסיום ההזמנה תנותב לדף המאובטח של פייפאל לביצוע התשלום."
"Zip/Postal Code","מיקוד"
