"* Required Fields","* שדות חובה"
"ALL GROUPS","כל הקבוצות"
"Account Dashboard","חשבון - לוח ניהול"
"Account Information","פרטי חשבון"
"Account Sharing Options","אופציות שיתוף חשבון"
"Action","פעולה"
"Add New Address","הוסף כתובת חדשה"
"Add New Customer","לקוח חדש"
"Add New Customer Group","קבוצת לקוחות חדשה"
"Added From","נוסף מ"
"Additional Address Entries","ערכי כתובות נוספים"
"Address","כתובת"
"Address Book","ספר כתובות"
"Address Information","מידע אודות כתובת"
"Addresses","כתובות"
"Admin","ממשק ניהול"
"All","הכל"
"All Store Views","כל תצוגות החנויות"
"All countries","כל המדינות"
"Amount","סכום"
"Approved","אושרה"
"Are you sure that you want to remove this item?","אתה בטוח שברצונך להסיר פריט זה?"
"Are you sure you want to cancel adding of this address?","האם לבטל את הוספת הכתובת?"
"Are you sure you want to delete this address?","האם אתה בטוח שברצונך למחוק את הכתובת הזו?"
"Are you sure?","האם אתה בטוח?"
"Average Sale","מכירה ממוצעת"
"Back","חזור"
"Back to Login","בחזרה ל'כניסה'"
"Bad request.","בקשה שגויה."
"Bill to Name","שלח חיוב לשם"
"Bought From","נקנה מ"
"By Email","באמצעות דואר אלקטרוני"
"By IP","לפי IP"
"By IP and Email","על-ידי IP ודואר אלקטרוני"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","ביצירת חשבון בחנות זו, תוכל לבצע תשלום בצורה מהירה יותר, להזין מספר כתובות למשלוח, לעקוב אחר הזמנותיך וכו'."
"Cancel","ביטול"
"Change Account Password","שנה סיסמא לחשבון"
"Change Billing Address","שנה כתובת לחיוב"
"Change Password","שינוי סיסמה"
"Change Shipping Address","שנה כתובת למשלוח"
"City","עיר"
"Company","חברה"
"Config","הגדרות"
"Configure","הגדר"
"Confirm New Password","אימות סיסמה חדשה"
"Confirm Password","אימות סיסמה"
"Confirmation Link Email","הודעת קישור לאישור"
"Confirmed","מאושר"
"Contact Information","מידע ליצירת קשר"
"Continue Shopping","המשך בקניות"
