"1 star","כוכב 1"
"2 stars","2 כוכבים"
"3 stars","3 כוכבים"
"4 stars","4 כוכבים"
"5 stars","5 כוכבים"
"Add New Rating","הוסף דירוג חדש"
"Assigned Options","אופציות משוייכות"
"Be the first to review this product","היה הראשון לכתוב חוות דעת ביקורת"
"Default Value","ערך ברירת מחדל"
"Delete Rating","מחק דירוג"
"Edit Rating","ערוך ציון"
"ID","מזהה"
"If you do not specify a rating title for a store, the default value will be used.","אם לא תספק כותרת דירוג לחנות, ערך ברירת המחדל יהיה בשימוש."
"New Rating","דירוג חדש"
"Option Label","אפשרות - תוית"
"Option Title","כותרת האפשרות"
"Option Title:","אפשרות - כותרת:"
"Please select one of each ratings above","בחר ערך מכל אחד הדירוגים הנ""ל"
"Rating Information","דירוגים - מידע"
"Rating Name","שם דירוג"
"Rating Options","אפשרויות דירוג"
"Rating Title","כותרת דירוג"
"Rating Visibility","נראות דירוג"
"Rating isn't Available","דירוג לא זמין"
"Rating with the same title","דירוג עם אותה כותרת"
"Save Rating","שמור דירוג"
"Sort Order","סדר מיון"
"Visible In","גלוי ב"
