"Action","פעולה"
"Are you sure you want to delete the selected backup(s)?","האם אתה בטוח שברצונך למחוק את גיבויים שנבחרו?"
"Backups","גיבויים"
"Create Backup","צור גיבוי"
"Database","בסיס נתונים"
"Database Backup","גיבוי מסד הנתונים"
"Database and Media","בסיס נתונים ומדיה"
"Database and Media Backup","גיבוי מסד נתונים ומדיה"
"Database was successfuly backed up.","נסד הנתונים גובה בהצלחה"
"Download","הורדה"
"Enable Scheduled Backup","הפעלת גיבוי מתוזמן"
"Frequency","תדירות"
"Maintenance Mode","מצב תחזוקה"
"Name","שם"
"Rollback","חזרה למצב קודם"
"Start Time","שעת התחלה"
"System","מערכת"
"System (excluding Media)","קבצי מערכת (לא כולל קבצי מדיה)"
"System Backup","גיבוי המערכת"
"Time","זמן"
"Type","סוג"
"Unable to create backup. Please, try again later.","לא יכול ליצור גיבוי. אנא נסה מאוחר יותר."
