"All Websites","כל האתרים"
"Display Prices In Emails","הצגת מחירים באיימלים"
"Display Prices In Product Lists","הצגת מחירים ברשימות המוצר"
"Display Prices In Sales Modules","הצגת מחירים במודולים מכירות"
"Display Prices On Product View Page","הצגת מחירים בעמוד תצוגת המוצר"
"Enable FPT","אפשר FPT"
"Excluding FPT","למעט FPT"
"Excluding FPT, FPT description, final price","דחיית FPT, FPT תאורי, מחיר סופי"
"Fixed Product Tax","מס מוצר קבוע"
"Fixed Product Taxes","מיסים של מוצר קבוע"
"Include FPT In Subtotal","כלול FPT בסך ביניים"
"Including FPT and FPT description","כולל תיאור FPT ו- FPT"
"Including FPT and FPT description [incl. FPT VAT]","כלול  FPT ותאורי FPT  [incl. FPT VAT]"
"Including FPT only","כולל FPT בלבד"
"Total","סה""כ"
"Total Incl. Tax","סה״כ כולל מס"
"Total incl. tax","סה""כ מע""מ כלול"
"Total:","סך הכל:"
