"Add Option","Přidat volbu"
"Attempt to add an invalid object","Pokus o přidání neplatného objektu"
"Attribute Code","Kód atributu"
"Attribute Label","Označení atributu"
"Attribute Properties","Vlastnosti atributu"
"Attribute object is undefined","Objektu atributu není definován"
"Attribute with the same code","Atribut se stejným kódem"
"Catalog Input Type for Store Owner","Typ údaje pro správce obchodu"
"Data integrity: No header row found for attribute","Data integrity: Nenalezena hlavička pro atribut"
"Date","Datum"
"Decimal Number","Desetinné číslo"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Výchozí řazení seznamu produktů není v dostupných způsobech řazení."
"Default Value","Výchozí hodnota"
"Default option value is not defined","Výchozí hodnota možnosti není definována"
"Delete","Smazat"
"Dropdown","Rozbalovací seznam"
"Email","E-mail"
"Entity is not initialized","Entita není inicializována"
"Entity object is undefined","Objekt entity není definován"
"Form Element with the same attribute","Element formuláře se stejným atributem"
"Form Fieldset with the same code","Sada údajů formuláře se stejným kódem"
"Form Type with the same code","Typ formuláře se stejným kódem"
"Frontend label is not defined","Jmenovka obchodu není definována"
"Input Validation for Store Owner","Údaj ověření pro vlastníka obchodu"
"Integer Number","Celé číslo"
"Invalid alias, already exists in joint attributes","Neplatný alias, ve společných atributech již existuje"
"Invalid attribute name: %s","Neplatný název vlastnosti: %s"
"Invalid attribute requested: %s","Požadovaný neplatný objekt: %s"
"Invalid attribute type","Neplatný typ vlastnosti"
"Invalid character encountered in increment ID: %s","Neplatný znak ve zvyšovaném ID: %s"
"Invalid date","Neplatné datum"
"Invalid entity specified","Chybně specifikovaná entita"
"Invalid entity supplied: %s","Chybně dodaná entita: %s"
"Invalid entity type","Chybný typ entity"
"Invalid entity_type specified: %s","Specifikován chybný entity_type: %"
"Invalid foreign key","Neplatný cizí klíč"
"Invalid joint fields","Neplatné společné údaje"
"Invalid store specified","Chybně specifikovaný obchod"
"Joined field with this alias is already declared","Spojená pole s tímto aliasem jsou již deklarována"
"Joint field or attribute expression with this alias is already declared","Společný údaj nebo výraz atributu s tímto aliasem je již deklarován"
"Letters","Písmena"
"Letters (a-z, A-Z) or Numbers (0-9)","Písmena (a-z, A-Z) nebo čísla (0-9)"
"Loaded %d records","Nahráno záznamů: %d"
"Multiple Select","Vícenásobný výběr"
"No","Ne"
"No options found in config node %s","Nenalezeny žádné konfigurační volby pro uzel: %s"
"None","Nic"
"Not shared with other products","Nesdílet s dalšími produkty"
"Problem loading the collection, aborting. Error: %s","Problém při nahrávání kolekce, přerušuji. Chyba: %s"
"Problem saving the collection, aborting. Error: %s","Problém při ukládání kolekce, přerušuji. Chyba: %s"
"Required","Povinný"
"System","Systém"
"Text Area","Textová oblast"
"Text Field","Textové pole"
"Unique Value","Unikátní hodnota"
"Unique Value (not shared with other products)","Jedinečný údaj (není sdílen s ostatními produkty)"
"Unknown parameter","Neznámý parametr"
"Values Required","Povinné údaje"
"Wrong attribute group ID","Špatné id skupiny vlastností"
"Wrong attribute set ID","Špatné id sady vlastností"
"Wrong entity ID","Špatné ID entity"
"Yes","Ano"
"Yes/No","Ano/ne"
